uniqueID,waterYr,date,timeEST,site,pH,pHmetrohm,DIC,spCond,temp,ANCMet,gageHt,hydroGraph,flowGageHt,precipCatch,fieldCode,notes,datetime,Ca,Mg,K,Na,TMAl,OMAl,Al_ICP,NH4,SO4,NO3,Cl,PO4,DOC,TDN,DON,SiO2,Mn,Fe,F,cationCharge,anionCharge,theoryCond,ionBalance,ionError,duplicate,sampleType
HBK_20130603_1240,2013,6/3/13,12:40,HBK,6.16,NA,39,11,14.6,NA,NA,NA,NA,NA,907,NA,6/3/13 12:40,0.8334,0.2393,0.2025,0.9284,0.0604,0.0457,0.1043,0.0032,2.5912,0.015,0.6081,0.0029,3.8228,0.1148,0.1124,2.7192,0.0025,0.0265,0.0983,114.4238,-113.8441,14.0677,0.5798,0.0051,,Routine
HBK_20130610_1145,2013,6/10/13,11:45,HBK,6.31,NA,46,11.7,12.4,NA,NA,NA,NA,NA,NA,NA,6/10/13 11:45,0.9349,0.279,0.1717,0.8901,0.0337,0.0259,0.1063,0.0032,2.8037,0.015,0.4637,0.0063,2.5985,0.0974,0.0974,5.6502,0.0025,0.0125,0.0842,117.1397,-117.1986,14.3254,-0.0589,-0.0005,,Routine
HBK_20130617_1030,2013,6/17/13,10:30,HBK,6.4,NA,48,11.7,12.9,NA,NA,NA,NA,NA,NA,NA,6/17/13 10:30,0.897,0.2738,0.1897,0.9143,0.0337,0.0244,0.0913,0.0032,2.9067,0.015,0.3833,0.0076,2.5601,0.1107,0.1053,5.7918,0.0025,0.0125,0.0492,116.2368,-119.6093,14.3553,-3.3726,-0.0286,,Routine
HBK_20130624_1235,2013,6/24/13,12:35,HBK,6.51,NA,65,13.6,17.8,NA,NA,NA,NA,NA,NA,NA,6/24/13 12:35,1.0026,0.3113,0.2702,1.0429,0.0196,0.0153,0.0544,0.0032,3.0142,0.0346,0.3672,0.0047,2.1299,0.109,0.0963,6.6502,0.0025,0.0125,0.0611,130.5804,-129.5795,15.661,1.0009,0.0077,,Routine
HBK_20130701_0735,2013,7/1/13,7:35,HBK,6.36,NA,48,12.7,15.6,NA,NA,NA,NA,NA,NA,NA,7/1/13 7:35,0.9987,0.3035,0.2176,1.0581,0.0408,0.0311,0.1302,0.0032,2.4905,0.015,0.3354,0.001,2.9346,0.1074,0.1024,6.0883,0.0025,0.0277,0.0472,131.5611,-107.4254,14.3365,24.1356,0.202,,Routine
HBK_20130707_1120,2013,7/7/13,11:20,HBK,6.38,NA,51,12.4,17.8,NA,NA,NA,NA,NA,NA,NA,7/7/13 11:20,0.9427,0.294,0.231,1.1201,0.0359,0.0179,0.1077,0.0032,2.6871,0.0547,0.3647,0.001,2.7673,0.1145,0.098,6.5403,0.0025,0.0125,0.0484,130.4511,-112.0495,14.6402,18.4016,0.1518,,Routine
HBK_20130715_1140,2013,7/15/13,11:40,HBK,6.51,NA,55,12.8,19,NA,NA,NA,NA,NA,NA,NA,7/15/13 11:40,0.9624,0.2861,0.3022,1.3834,0.0265,0.0235,0.0936,0.0032,2.8904,0.1266,0.3814,0.0052,2.5354,0.141,0.1122,6.8896,0.0025,0.0125,0.0482,142.908,-119.9616,15.8061,22.9464,0.1746,,Routine
HBK_20130722_1130,2013,7/22/13,11:30,HBK,6.3,NA,62,14.4,17.1,NA,NA,NA,NA,NA,NA,NA,7/22/13 11:30,1.0336,0.301,0.2555,1.0943,0.0293,0.02,0.0809,0.0032,2.7449,0.1748,0.3512,0.0038,2.8066,0.1236,0.0854,7.0713,0.0025,0.0269,0.0725,134.4231,-130.9707,15.8345,3.4524,0.026,,Routine
HBK_20130729_1125,2013,7/29/13,11:25,HBK,6.49,NA,57,12.7,17.9,NA,NA,NA,NA,NA,NA,NA,7/29/13 11:25,0.9512,0.2831,0.2231,0.883,0.0283,0.022,0.0821,0.0032,2.625,0.0864,0.3495,0.001,2.9138,0.1033,0.0817,6.5083,0.0025,0.0258,0.0696,118.5248,-118.5723,14.2396,-0.0474,-0.0004,,Routine
HBK_20130805_1205,2013,8/5/13,12:05,HBK,6.69,NA,57,NA,15.1,NA,NA,NA,NA,NA,969,NA,8/5/13 12:05,1.1132,0.3236,0.2297,1.1998,0.0218,0.0164,0.0851,0.0066,2.6482,0.1239,0.3305,0.0135,2.786,0.1266,0.0935,7.5471,0.0025,0.0264,0.0681,143.227,-123.1949,15.708,20.0321,0.1504,,Routine
HBK_20130812_1140,2013,8/12/13,11:40,HBK,6.56,NA,70,13.6,15.5,NA,NA,NA,NA,NA,NA,NA,8/12/13 11:40,1.0465,0.3047,0.2709,1.2814,0.0307,0.02,0.0789,0.0032,2.7807,0.2024,0.3439,0.0033,2.6806,0.1603,0.1112,6.9507,0.0025,0.0264,0.0893,143.8325,-132.7868,16.3748,11.0457,0.0799,,Routine
HBK_20130812_1140_Dup,2013,8/12/13,11:40,HBK,6.56,NA,70,13.6,15.5,NA,NA,NA,NA,NA,NA,NA,8/12/13 11:40,1.0539,0.3027,0.2701,1.2581,0.0302,0.0197,0.0897,0.0032,2.6691,0.1613,0.3404,0.0028,2.6565,0.1421,0.106,6.8617,0.0025,0.0252,0.0856,142.9404,-129.5305,16.0855,13.41,0.0984,Dup,Routine
HBK_20130819_1255,2013,8/19/13,12:55,HBK,6.6,NA,81,15.5,15.9,NA,NA,NA,NA,NA,NA,NA,8/19/13 12:55,1.0576,0.3524,0.3057,1.4292,0.0241,0.0165,0.0582,0.0032,2.9288,0.2636,0.3604,0.0025,2.2845,0.1564,0.094,7.6348,0.0025,0.0125,0.0648,154.8712,-146.1612,17.7049,8.71,0.0579,,Routine
HBK_20130826_1210,2013,8/26/13,12:10,HBK,6.73,NA,112,18.8,15.5,NA,NA,NA,NA,NA,NA,NA,8/26/13 12:10,1.3814,0.4466,0.4152,1.7853,0.02,0.0121,0.0672,0.0032,3.1965,0.6733,0.4045,0.001,2.0544,0.2292,0.0729,8.5729,0.0025,0.0125,0.08,196.5443,-181.9923,22.0327,14.552,0.0769,,Routine
HBK_20130902_0850,2013,9/2/13,8:50,HBK,6.55,NA,77,14.7,18,NA,NA,NA,NA,NA,NA,NA,9/2/13 8:50,1.3971,0.3801,0.4418,1.4878,0.0364,0.0312,0.1201,0.0032,2.43,0.2588,0.2958,0.0032,4.6169,0.1915,0.1304,7.4242,0.0025,0.0499,0.0861,181.5243,-154.1062,19.2033,27.4181,0.1634,,Grab
HBK_20130903_1135,2013,9/3/13,11:35,HBK,6.27,NA,42,13.4,17,NA,NA,NA,NA,NA,NA,NA,9/3/13 11:35,1.2457,0.3324,0.2751,1.2741,0.0747,0.0657,0.2348,0.0089,2.599,0.1102,0.3123,0.0047,6.5987,0.1916,0.1598,7.0924,0.0025,0.0971,0.0689,161.3189,-136.347,17.3749,24.9719,0.1678,,Routine
HBK_20130909_0905,2013,9/9/13,9:05,HBK,6.73,NA,88,15.8,11.4,NA,NA,NA,NA,NA,NA,NA,9/9/13 9:05,1.4235,0.4286,0.3635,1.6663,0.0286,0.0177,0.0475,0.0113,3.0121,0.1653,0.3768,0.0061,2.4618,0.1185,0.0724,8.8977,0.0025,0.0125,0.096,192.0766,-163.9091,20.5817,28.1675,0.1583,,Routine
HBK_20130916_1135,2013,9/16/13,11:35,HBK,6.47,NA,52,11,12.4,NA,NA,NA,NA,NA,NA,NA,9/16/13 11:35,1.0418,0.3082,0.2312,1.0367,0.035,0.0281,0.1051,0.0032,2.8163,0.0967,0.3282,0.0027,3.4648,0.1177,0.0936,6.5555,0.0025,0.0125,0.0606,132.7699,-135.0436,15.8743,-2.2737,-0.017,,Routine
HBK_20130923_1130,2013,9/23/13,11:30,HBK,6.55,NA,59,13.2,10.6,NA,NA,NA,NA,NA,NA,NA,9/23/13 11:30,1.0751,0.3336,0.2958,1.1235,0.0356,0.0296,0.1048,0.0069,2.8302,0.015,0.3594,0.0021,3.4882,0.1064,0.1011,7.1891,0.0025,0.0353,0.0637,142.1607,-142.2563,16.7072,-0.0955,-0.0007,,Routine
HBK_20130930_1100,2013,9/30/13,11:00,HBK,6.69,NA,94,16.3,10.6,NA,NA,NA,NA,NA,NA,NA,9/30/13 11:00,1.2204,0.3853,0.3153,1.3211,0.0203,0.0154,0.0503,0.0032,3.1411,0.0363,0.3673,0.0027,2.4158,0.0789,0.071,8.1535,0.0025,0.0125,0.0657,160.78,-161.7824,18.8312,-1.0024,-0.0062,,Routine
HBK_20131007_0920,2013,10/7/13,9:20,HBK,6.66,NA,101,18,10.8,NA,NA,NA,NA,NA,969,NA,10/7/13 9:20,1.2695,0.422,0.9431,1.6313,0.0303,0.0257,0.0891,0.0032,3.1412,0.0381,0.478,0.0034,3.4992,0.0987,0.0872,8.2741,0.0051,0.0317,0.063,196.9282,-175.9258,21.7819,21.0024,0.1127,,Routine
HBK_20131015_1005,2013,10/15/13,10:05,HBK,6.61,NA,87,14.8,11.2,NA,NA,NA,NA,NA,NA,NA,10/15/13 10:05,1.178,0.3957,0.4741,1.536,0.0236,0.0171,0.0567,0.0104,3.0646,0.015,0.4062,0.0039,2.6254,0.0852,0.0771,8.1016,0.0025,0.0125,0.068,173.7313,-159.7088,19.4259,14.0225,0.0841,,Routine
HBK_20131021_1055,2013,10/21/13,10:55,HBK,6.57,NA,81,13.1,7.3,NA,NA,NA,NA,NA,NA,NA,10/21/13 10:55,1.0984,0.4293,0.3911,1.1407,0.0248,0.0198,0.0793,0.0032,2.9751,0.015,0.4346,0.0027,2.7761,0.0871,0.0863,7.0674,0.0025,0.0318,0.0607,152.9615,-148.89,17.8077,4.0714,0.027,,Routine
HBK_20131021_1055_Dup,2013,10/21/13,10:55,HBK,6.57,NA,81,13.1,7.3,NA,NA,NA,NA,NA,NA,NA,10/21/13 10:55,1.0894,0.4261,0.394,1.1301,0.0258,0.0202,0.0855,0.0032,2.8931,0.015,0.4388,0.005,2.7497,0.109,0.1114,6.9362,0.0025,0.0311,0.0562,151.9815,-147.3866,17.6302,4.5949,0.0307,Dup,Routine
HBK_20131028_1130,2013,10/28/13,11:30,HBK,6.82,NA,93,16.5,4.5,NA,NA,NA,NA,NA,NA,NA,10/28/13 11:30,1.131,0.4418,0.3341,1.1994,0.0215,0.014,0.0562,0.0032,3.085,0.015,0.3944,0.0025,2.1199,0.0704,0.07,7.3886,0.0025,0.0125,0.0674,156.2339,-153.6369,18.1887,2.597,0.0168,,Routine
HBK_20131104_1245,2013,11/4/13,12:45,HBK,6.32,NA,67,12.2,12.2,NA,NA,NA,NA,NA,NA,NA,11/4/13 12:45,0.9036,0.3146,0.3203,1.11,0.035,0.0275,0.0166,0.0079,3.0305,0.2042,0.5467,0.0024,2.9108,0.1273,0.075,1.2346,0.0025,0.0125,0.0642,132.2606,-136.1985,16.325,-3.9379,-0.0293,,Routine
HBK_20131111_1235,2013,11/11/13,12:35,HBK,6.43,NA,63,12.7,2.7,NA,NA,NA,NA,NA,NA,NA,11/11/13 12:35,0.9962,0.333,0.2628,1.1222,0.0294,0.0226,0.0569,0.0032,3.0697,0.1864,0.4283,0.0035,2.3892,0.1402,0.0988,6.9841,0.0025,0.0125,0.0688,136.4698,-134.0814,16.351,2.3885,0.0177,,Routine
HBK_20131118_1225,2013,11/18/13,12:25,HBK,5.79,NA,40,11.7,4.5,NA,NA,NA,NA,NA,NA,NA,11/18/13 12:25,1.0068,0.3198,0.4162,0.8194,0.1097,0.1011,0.2537,0.0106,2.5529,0.7055,0.4143,0.0039,6.7531,0.3068,0.1393,5.5382,0.0203,0.0754,0.0572,137.2473,-128.7611,16.5,8.4862,0.0638,,Routine
HBK_20131125_1145,2013,11/25/13,11:45,HBK,6.42,NA,79,13.8,0.1,NA,NA,NA,NA,NA,NA,NA,11/25/13 11:45,1.1099,0.3689,0.2474,1.1154,0.0265,0.0209,0.0747,0.0032,3.4175,0.3998,0.454,0.0025,2.3094,0.1795,0.0882,7.3851,0.0025,0.0125,0.0542,144.095,-146.0956,17.6916,-2.0006,-0.0138,,Routine
HBK_20131127_1035,2013,11/27/13,10:35,HBK,5.97,NA,50,9.9,0.1,NA,NA,NA,NA,NA,911,NA,11/27/13 10:35,0.7446,0.2473,0.3077,0.709,0.0596,0.0484,0.1421,0.0032,2.2881,0.4544,0.3403,0.0033,3.8188,0.2417,0.1357,4.5336,0.0091,0.0316,0.0426,104.0906,-105.1844,13.0287,-1.0939,-0.0105,,Grab
HBK_20131202_1315,2013,12/2/13,13:15,HBK,6.23,NA,52,11.1,0.1,NA,NA,NA,NA,NA,NA,NA,12/2/13 13:15,0.8095,0.2711,0.2033,0.9821,0.0339,0.0253,0.065,0.0032,2.8037,0.5934,0.3389,0.002,2.0901,0.2325,0.0968,5.7411,0.0025,0.0125,0.0414,115.1582,-113.6506,14.2134,1.5076,0.0132,,Routine
HBK_20131209_1330,2013,12/9/13,13:30,HBK,6.28,NA,58,12.2,0.1,NA,NA,NA,NA,NA,NA,NA,12/9/13 13:30,0.9395,0.3023,0.189,0.9127,0.0319,0.0241,0.0681,0.0075,3.0178,0.5741,0.4012,0.0024,2.1804,0.2387,0.1031,6.0707,0.0025,0.0125,0.0712,120.7804,-123.742,15.1716,-2.9616,-0.0242,,Routine
