uniqueID,site,date,timeEST,flowSensor,precipETI
RG11_20140602_1300,RG11,6/2/14,13:00,,11.4
RG11_20140609_0920,RG11,6/9/14,9:20,,0
RG11_20140616_1005,RG11,6/16/14,10:05,,51.6
RG11_20140623_0850,RG11,6/23/14,8:50,,5.8
RG11_20140630_1015,RG11,6/30/14,10:15,,117.9
RG11_20140707_1020,RG11,7/7/14,10:20,,23.1
RG11_20140714_1030,RG11,7/14/14,10:30,,36.8
RG11_20140721_0855,RG11,7/21/14,8:55,,24.9
RG11_20140729_0830,RG11,7/29/14,8:30,,85.9
RG11_20140804_0955,RG11,8/4/14,9:55,,0
RG11_20140811_1020,RG11,8/11/14,10:20,,2.5
RG11_20140818_1135,RG11,8/18/14,11:35,,85.8
RG11_20140825_1015,RG11,8/25/14,10:15,,7.1
RG11_20140901_1015,RG11,9/1/14,10:15,,4.8
RG11_20140908_1300,RG11,9/8/14,13:00,,25.7
RG11_20140915_0935,RG11,9/15/14,9:35,,16
RG11_20140922_0930,RG11,9/22/14,9:30,,5.1
RG11_20140929_0819,RG11,9/29/14,8:19,,0
RG11_20141006_0915,RG11,10/6/14,9:15,,31
RG11_20141013_1055,RG11,10/13/14,10:55,,43.2
RG11_20141020_1020,RG11,10/20/14,10:20,,98.8
RG11_20141027_0900,RG11,10/27/14,9:00,,20.3
RG11_20141103_1025,RG11,11/3/14,10:25,,8.4
RG11_20141110_1050,RG11,11/10/14,10:50,,9.9
RG11_20141118_0945,RG11,11/18/14,9:45,,26.7
RG11_20141125_1025,RG11,11/25/14,10:25,,34.3
RG11_20141201_1335,RG11,12/1/14,13:35,,24.3
RG11_20141208_1445,RG11,12/8/14,14:45,,41.7
RG11_20141215_1125,RG11,12/15/14,11:25,,32.5
RG11_20141222_0920,RG11,12/22/14,9:20,,19.6
RG11_20141229_1155,RG11,12/29/14,11:55,,53.8
RG11_20150105_0950,RG11,1/5/15,9:50,,30
RG11_20150112_1040,RG11,1/12/15,10:40,,3.8
RG11_20150120_0940,RG11,1/20/15,9:40,,36.1
RG11_20150126_1030,RG11,1/26/15,10:30,,0
RG11_20150203_0750,RG11,2/3/15,7:50,,28.7
RG11_20150210_1415,RG11,2/10/15,14:15,,21.6
RG11_20150217_1210,RG11,2/17/15,12:10,,10.4
RG11_20150223_1130,RG11,2/23/15,11:30,,22.4
RG11_20150302_1120,RG11,3/2/15,11:20,,3.6
RG11_20150309_1015,RG11,3/9/15,10:15,,9.9
RG11_20150316_1030,RG11,3/16/15,10:30,,14.7
RG11_20150323_1120,RG11,3/23/15,11:20,,6.4
RG11_20150331_0815,RG11,3/31/15,8:15,,16.8
RG11_20150406_1020,RG11,4/6/15,10:20,,7.1
RG11_20150413_1030,RG11,4/13/15,10:30,,27.9
RG11_20150420_1050,RG11,4/20/15,10:50,,7.1
RG11_20150427_0930,RG11,4/27/15,9:30,,40.1
RG11_20150504_0905,RG11,5/4/15,9:05,,0
RG11_20150513_1315,RG11,5/13/15,13:15,,17.5
RG11_20150518_1050,RG11,5/18/15,10:50,,0
RG11_20150526_1315,RG11,5/26/15,13:15,,14.7
RG11_20150603_1220,RG11,6/3/15,12:20,,89.4
RG11_20150608_0915,RG11,6/8/15,9:15,,1.3
RG11_20150616_0805,RG11,6/16/15,8:05,,73.7
RG11_20150622_0855,RG11,6/22/15,8:55,,50.8
RG11_20150629_1030,RG11,6/29/15,10:30,,69.1
RG11_20150706_0950,RG11,7/6/15,9:50,,42.4
RG11_20150713_0950,RG11,7/13/15,9:50,,5.1
RG11_20150720_1120,RG11,7/20/15,11:20,,141.2
RG11_20150727_0750,RG11,7/27/15,7:50,,10.4
RG11_20150803_1020,RG11,8/3/15,10:20,,15
RG11_20150810_1250,RG11,8/10/15,12:50,,16.7
RG11_20150817_1350,RG11,8/17/15,13:50,,54.2
RG11_20150824_0925,RG11,8/24/15,9:25,,9.9
RG11_20150831_0935,RG11,8/31/15,9:35,,13
RG11_20150907_1245,RG11,9/7/15,12:45,,0
RG11_20150914_0950,RG11,9/14/15,9:50,,56.2
RG11_20150921_1035,RG11,9/21/15,10:35,,8.4
RG11_20150928_1000,RG11,9/28/15,10:00,,0
RG11_20151005_1105,RG11,10/5/15,11:05,,95.5
RG11_20151012_1150,RG11,10/12/15,11:50,,32.8
RG11_20151019_1020,RG11,10/19/15,10:20,,2.5
RG11_20151026_1050,RG11,10/26/15,10:50,,14
RG11_20151102_1120,RG11,11/2/15,11:20,,46.2
RG11_20151109_1135,RG11,11/9/15,11:35,,1.5
RG11_20151115_0945,RG11,11/15/15,9:45,,30
RG11_20151123_1050,RG11,11/23/15,10:50,,53.1
RG11_20151130_1015,RG11,11/30/15,10:15,,0
RG11_20151207_0820,RG11,12/7/15,8:20,,36.3
RG11_20151216_1005,RG11,12/16/15,10:05,,19.7
RG11_20151221_0930,RG11,12/21/15,9:30,,21
RG11_20151228_0840,RG11,12/28/15,8:40,,60.6
RG11_20160104_0935,RG11,1/4/16,9:35,,
RG11_20160111_0925,RG11,1/11/16,9:25,,
RG11_20160119_0935,RG11,1/19/16,9:35,,
RG11_20160125_0910,RG11,1/25/16,9:10,,
RG11_20160201_1025,RG11,2/1/16,10:25,,
RG11_20160208_1045,RG11,2/8/16,10:45,,
RG11_20160215_1215,RG11,2/15/16,12:15,,
RG11_20160222_0940,RG11,2/22/16,9:40,,
RG11_20160229_1025,RG11,2/29/16,10:25,,
RG11_20160307_1040,RG11,3/7/16,10:40,,
RG11_20160314_1055,RG11,3/14/16,10:55,,
RG11_20160322_0825,RG11,3/22/16,8:25,,
RG11_20160330_0800,RG11,3/30/16,8:00,,
RG11_20160405_1145,RG11,4/5/16,11:45,,
RG11_20160413_1130,RG11,4/13/16,11:30,,
RG11_20160418_0925,RG11,4/18/16,9:25,,
RG11_20160425_1010,RG11,4/25/16,10:10,,
RG11_20160503_0800,RG11,5/3/16,8:00,,
RG11_20160509_0845,RG11,5/9/16,8:45,,
RG11_20160516_0935,RG11,5/16/16,9:35,,
RG11_20160523_1130,RG11,5/23/16,11:30,,
RG11_20160531_0950,RG11,5/31/16,9:50,,
RG11_20160606_1155,RG11,6/6/16,11:55,,
RG11_20160613_1030,RG11,6/13/16,10:30,,
RG11_20160620_1000,RG11,6/20/16,10:00,,
RG11_20160627_1155,RG11,6/27/16,11:55,,
RG11_20160705_0955,RG11,7/5/16,9:55,,
RG11_20160711_0925,RG11,7/11/16,9:25,,
RG11_20160717_1120,RG11,7/17/16,11:20,,
RG11_20160725_0940,RG11,7/25/16,9:40,,
RG11_20160801_0900,RG11,8/1/16,9:00,,
RG11_20160808_0950,RG11,8/8/16,9:50,,
RG11_20160815_0910,RG11,8/15/16,9:10,,
RG11_20160822_1055,RG11,8/22/16,10:55,,
