Availability,VariableName,VariableCode,Unit,Observations,Sites,MeanObsPerSite,FirstRecordUTC,LastRecordUTC
<button type='button' id='abs250'>view</button>,UV Absorbance at 250nm,abs250,unitless,22908,27,848,2014-10-22T00:00:00Z,2019-12-20T00:00:00Z
<button type='button' id='abs254'>view</button>,UV Absorbance at 254nm,abs254,unitless,14946,9,1661,2001-07-20T00:00:00Z,2018-08-28T00:00:00Z
<button type='button' id='abs280'>view</button>,UV Absorbance at 280nm,abs280,unitless,22908,27,848,2014-10-22T00:00:00Z,2019-12-20T00:00:00Z
<button type='button' id='Al'>view</button>,Aluminum,Al,mg/l,21892,18,1216,2001-07-20T00:00:00Z,2018-08-28T00:00:00Z
<button type='button' id='Al_ICP'>view</button>,Aluminum ICP,Al_ICP,mg/L,148038,9,16449,1964-03-17T00:00:00Z,2019-05-29T00:00:00Z
<button type='button' id='alk'>view</button>,Alkalinity,alk,mg/L,554521,40,13863,1968-10-09T00:00:00Z,2020-10-16T00:00:00Z
<button type='button' id='ANC'>view</button>,Acid Neutralizing Capacity,ANC,eq/L,76853,39,1971,1982-02-12T00:00:00Z,2020-10-16T00:00:00Z
<button type='button' id='ANC960'>view</button>,Acid Neutralizing Capacity 960,ANC960,ueq/L,13620,9,1513,2013-04-15T00:00:00Z,2017-09-19T00:00:00Z
<button type='button' id='AnCaR'>view</button>,Anion-Cation Ratio,AnCaR,unitless,356532,13,27426,1978-10-12T00:00:00Z,2019-05-22T00:00:00Z
<button type='button' id='ANCMet'>view</button>,Acid Neutralizing Capacity Met,ANCMet,ueq/L,72902,9,8100,1990-01-15T00:00:00Z,2019-05-29T00:00:00Z
<button type='button' id='anionCharge'>view</button>,TOTAL Anion Charge,anionCharge,ueq/L,367232,21,17487,1969-07-02T00:00:00Z,2019-05-29T00:00:00Z
<button type='button' id='B'>view</button>,Boron,B,mg/L,425,9,47,2009-06-18T00:00:00Z,2015-08-09T00:00:00Z
<button type='button' id='BPC'>view</button>,Benthic Particulate Carbon,BPC,mg/cm2,22859,33,693,1991-07-18T00:00:00Z,2016-09-25T00:00:00Z
<button type='button' id='BPN'>view</button>,Benthic Particulate Nitrogen,BPN,mg/cm2,22687,33,687,1991-07-18T00:00:00Z,2016-09-25T00:00:00Z
<button type='button' id='BPP'>view</button>,Benthic Particulate Phosphorus,BPP,mg/cm2,25921,33,785,1994-06-21T00:00:00Z,2017-09-22T00:00:00Z
<button type='button' id='Br'>view</button>,Bromide,Br,mg/L,41949,61,688,1994-11-30T00:00:00Z,2020-09-11T00:00:00Z
<button type='button' id='Ca'>view</button>,Calcium,Ca,mg/L,1350426,144,9378,1963-06-02T00:00:00Z,2020-09-11T00:00:00Z
<button type='button' id='cationCharge'>view</button>,TOTAL Cation Charge,cationCharge,ueq/L,361682,21,17223,1970-01-08T00:00:00Z,2019-05-29T00:00:00Z
<button type='button' id='Cd'>view</button>,Cadmium,Cd,mg/L,964,9,107,2010-06-13T00:00:00Z,2015-08-09T00:00:00Z
<button type='button' id='CH4'>view</button>,Methane,CH4,ppm,241,3,80,2008-05-27T00:00:00Z,2010-08-13T00:00:00Z
<button type='button' id='CHL'>view</button>,Chlorophyll,CHL,mg/L,32910,71,464,1994-03-29T00:00:00Z,2020-12-01T00:00:00Z
<button type='button' id='Cl'>view</button>,Chloride,Cl,mg/L,1248185,165,7565,1964-03-17T00:00:00Z,2020-09-11T00:00:00Z
<button type='button' id='CO2'>view</button>,Carbon Dioxide,CO2,ppm,394,6,66,2008-05-27T00:00:00Z,2010-08-13T00:00:00Z
<button type='button' id='CO3'>view</button>,Carbonate,CO3,mg/L,22968,27,851,2014-10-22T00:00:00Z,2019-12-20T00:00:00Z
<button type='button' id='Cr'>view</button>,Chromium,Cr,mg/L,254,9,28,2009-06-28T00:00:00Z,2015-08-09T00:00:00Z
<button type='button' id='Cu'>view</button>,Copper,Cu,mg/L,1418,9,158,2009-06-18T00:00:00Z,2015-08-09T00:00:00Z
<button type='button' id='d18O'>view</button>,Delta 18 Oxygen,d18O,ppt,20994,12,1750,1998-06-12T00:00:00Z,2017-07-07T00:00:00Z
<button type='button' id='DIC'>view</button>,Dissolved Inorganic Carbon,DIC,mg/L,194359,51,3811,1994-01-04T00:00:00Z,2020-06-24T00:00:00Z
<button type='button' id='discharge'>view</button>,Discharge,discharge,L/s,765323,113,6773,1949-10-01T00:00:00Z,2020-12-31T00:00:00Z
<button type='button' id='DO'>view</button>,Dissolved Oxygen,DO,mg/L,59168,45,1315,2001-06-22T00:00:00Z,2020-12-01T00:00:00Z
<button type='button' id='DOC'>view</button>,Dissolved Organic Carbon,DOC,mg/L,633081,169,3746,1978-05-21T00:00:00Z,2020-06-24T00:00:00Z
<button type='button' id='DON'>view</button>,Dissolved Organic Nitrogen,DON,mg/L,713715,39,18300,1968-10-09T00:00:00Z,2019-05-29T00:00:00Z
<button type='button' id='DOP'>view</button>,Dissolved Organic Phosphorus,DOP,mg/L,43882,17,2581,1993-09-21T00:00:00Z,2018-09-26T00:00:00Z
<button type='button' id='E_pheophy'>view</button>,Epilithic Phaeophytin,E_pheophy,mg/cm2,9217,27,341,2004-06-19T00:00:00Z,2017-09-22T00:00:00Z
<button type='button' id='ECHL_A'>view</button>,Epilithic Chlorophyll a,ECHL_A,mg/cm2,9239,27,342,2004-06-19T00:00:00Z,2017-09-22T00:00:00Z
<button type='button' id='Ecoli'>view</button>,Escherichia coli,Ecoli,#/mL,8227,13,633,2001-10-03T00:00:00Z,2016-06-16T00:00:00Z
<button type='button' id='F'>view</button>,Fluorine,F,mg/L,120755,72,1677,1994-11-30T00:00:00Z,2019-12-20T00:00:00Z
<button type='button' id='FDOM'>view</button>,Fluorescent Dissolved Organic Matter,FDOM,QSU,21521,27,797,2016-08-18T00:00:00Z,2020-12-01T00:00:00Z
<button type='button' id='Fe'>view</button>,Iron,Fe,mg/L,106519,45,2367,2009-06-18T00:00:00Z,2019-12-20T00:00:00Z
<button type='button' id='H'>view</button>,Hydrogen,H,mg/L,66486,12,5540,1982-02-12T00:00:00Z,2018-10-19T00:00:00Z
<button type='button' id='HCO3'>view</button>,Bicarbonate,HCO3,mg/L,35756,32,1117,1998-10-16T00:00:00Z,2019-12-20T00:00:00Z
<button type='button' id='ionBalance'>view</button>,Ion Balance,ionBalance,ueq/L,361038,21,17192,1970-01-08T00:00:00Z,2019-05-29T00:00:00Z
<button type='button' id='ionError'>view</button>,Ion Error,ionError,%,323172,9,35908,1970-01-08T00:00:00Z,2019-05-29T00:00:00Z
<button type='button' id='K'>view</button>,Potassium,K,mg/L,1352860,144,9395,1963-06-02T00:00:00Z,2020-09-11T00:00:00Z
<button type='button' id='Li'>view</button>,Lithium,Li,mg/L,12880,34,379,1994-11-30T00:00:00Z,2014-01-24T00:00:00Z
<button type='button' id='MF_C'>view</button>,Moss: Fontinalis: Carbon,MF_C,%,1,1,1,2009-07-23T00:00:00Z,2009-07-23T00:00:00Z
<button type='button' id='MF_N'>view</button>,Moss: Fontinalis: Nitrogen,MF_N,%,60,3,20,1998-06-13T00:00:00Z,2009-07-23T00:00:00Z
<button type='button' id='MF_P'>view</button>,Moss: Fontinalis: Phosphorus,MF_P,%,59,3,20,1998-06-13T00:00:00Z,1999-07-26T00:00:00Z
<button type='button' id='Mg'>view</button>,Magnesium,Mg,mg/L,1351210,144,9383,1963-06-02T00:00:00Z,2020-09-11T00:00:00Z
<button type='button' id='MH_Al'>view</button>,Moss: Hygrohypnum: Aluminum,MH_Al,%,14,10,1,2007-07-31T00:00:00Z,2015-07-22T00:00:00Z
<button type='button' id='MH_B'>view</button>,Moss: Hygrohypnum: Boron,MH_B,%,14,10,1,2007-07-31T00:00:00Z,2015-07-22T00:00:00Z
<button type='button' id='MH_C'>view</button>,Moss: Hygrohypnum: Carbon,MH_C,%,26,11,2,1996-08-13T00:00:00Z,2015-07-22T00:00:00Z
<button type='button' id='MH_Ca'>view</button>,Moss: Hygrohypnum: Calcium,MH_Ca,%,14,10,1,2007-07-31T00:00:00Z,2015-07-22T00:00:00Z
<button type='button' id='MH_Cu'>view</button>,Moss: Hygrohypnum: Copper,MH_Cu,%,14,10,1,2007-07-31T00:00:00Z,2015-07-22T00:00:00Z
<button type='button' id='MH_Fe'>view</button>,Moss: Hygrohypnum: Iron,MH_Fe,%,14,10,1,2007-07-31T00:00:00Z,2015-07-22T00:00:00Z
<button type='button' id='MH_K'>view</button>,Moss: Hygrohypnum: Potassium,MH_K,%,14,10,1,2007-07-31T00:00:00Z,2015-07-22T00:00:00Z
<button type='button' id='MH_Mg'>view</button>,Moss: Hygrohypnum: Magnesium,MH_Mg,%,14,10,1,2007-07-31T00:00:00Z,2015-07-22T00:00:00Z
<button type='button' id='MH_Mn'>view</button>,Moss: Hygrohypnum: Manganese,MH_Mn,%,14,10,1,2007-07-31T00:00:00Z,2015-07-22T00:00:00Z
<button type='button' id='MH_N'>view</button>,Moss: Hygrohypnum: Nitrogen,MH_N,%,448,13,34,1995-06-23T00:00:00Z,2015-07-22T00:00:00Z
<button type='button' id='MH_Na'>view</button>,Moss: Hygrohypnum: Sodium,MH_Na,%,14,10,1,2007-07-31T00:00:00Z,2015-07-22T00:00:00Z
<button type='button' id='MH_P'>view</button>,Moss: Hygrohypnum: Phosphorus,MH_P,%,448,13,34,1995-06-23T00:00:00Z,2015-07-22T00:00:00Z
<button type='button' id='MH_S'>view</button>,Moss: Hygrohypnum: Sulfur,MH_S,%,14,10,1,2007-07-31T00:00:00Z,2015-07-22T00:00:00Z
<button type='button' id='ML_Al'>view</button>,Moss: Lemanea: Aluminum,ML_Al,%,1,1,1,2007-07-31T00:00:00Z,2007-07-31T00:00:00Z
<button type='button' id='ML_B'>view</button>,Moss: Lemanea: Boron,ML_B,%,1,1,1,2007-07-31T00:00:00Z,2007-07-31T00:00:00Z
<button type='button' id='ML_C'>view</button>,Moss: Lemanea: Carbon,ML_C,%,1,1,1,2007-07-31T00:00:00Z,2007-07-31T00:00:00Z
<button type='button' id='ML_Ca'>view</button>,Moss: Lemanea: Calcium,ML_Ca,%,1,1,1,2007-07-31T00:00:00Z,2007-07-31T00:00:00Z
<button type='button' id='ML_Cu'>view</button>,Moss: Lemanea: Copper,ML_Cu,%,1,1,1,2007-07-31T00:00:00Z,2007-07-31T00:00:00Z
<button type='button' id='ML_Fe'>view</button>,Moss: Lemanea: Iron,ML_Fe,%,1,1,1,2007-07-31T00:00:00Z,2007-07-31T00:00:00Z
<button type='button' id='ML_K'>view</button>,Moss: Lemanea: Potassium,ML_K,%,1,1,1,2007-07-31T00:00:00Z,2007-07-31T00:00:00Z
<button type='button' id='ML_Mg'>view</button>,Moss: Lemanea: Magnesium,ML_Mg,%,1,1,1,2007-07-31T00:00:00Z,2007-07-31T00:00:00Z
<button type='button' id='ML_Mn'>view</button>,Moss: Lemanea: Manganese,ML_Mn,%,1,1,1,2007-07-31T00:00:00Z,2007-07-31T00:00:00Z
