VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
Ca,Calcium,grab-nonsensor,mg/L,66,2008-05-26T00:00:00Z,2008-07-30T00:00:00Z,1,19.7,68.18
CHL,Chlorophyll,grab-nonsensor,mg/L,99,2008-06-20T00:00:00Z,2010-08-18T00:00:00Z,0.1,0,91.92
Cl,Chloride,grab-nonsensor,mg/L,70,2009-06-08T00:00:00Z,2009-08-16T00:00:00Z,1,0,42.86
CO2,Carbon Dioxide,grab-nonsensor,ppm,67,2008-05-28T00:00:00Z,2010-06-22T00:00:00Z,0.1,29.85,83.58
DIC,Dissolved Inorganic Carbon,grab-nonsensor,mg/L,19,2009-07-19T00:00:00Z,2010-08-18T00:00:00Z,0,0,73.68
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,161,2008-05-25T00:00:00Z,2010-08-18T00:00:00Z,0.2,0,58.39
K,Potassium,grab-nonsensor,mg/L,67,2008-05-25T00:00:00Z,2008-07-30T00:00:00Z,1,19.4,67.16
Mg,Magnesium,grab-nonsensor,mg/L,67,2008-05-25T00:00:00Z,2008-07-30T00:00:00Z,1,19.4,67.16
Na,Sodium,grab-nonsensor,mg/L,67,2008-05-25T00:00:00Z,2008-07-30T00:00:00Z,1,19.4,67.16
NH4_N,Ammonium-N,grab-nonsensor,mg/L,111,2008-05-25T00:00:00Z,2010-08-03T00:00:00Z,0.1,18.02,85.59
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,154,2008-05-25T00:00:00Z,2010-08-18T00:00:00Z,0.2,0,57.79
phaeopig,Phaeopigment,grab-nonsensor,mg/L,100,2008-06-20T00:00:00Z,2010-08-18T00:00:00Z,0.1,0,91
SiO2_Si,NA,grab-nonsensor,NA,67,2008-05-25T00:00:00Z,2008-07-30T00:00:00Z,1,0,67.16
SO4_S,Sulfate-S,grab-nonsensor,mg/L,70,2009-06-08T00:00:00Z,2009-08-16T00:00:00Z,1,0,42.86
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,92,2008-05-25T00:00:00Z,2010-08-03T00:00:00Z,0.1,0,82.61
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,161,2008-05-25T00:00:00Z,2010-08-18T00:00:00Z,0.2,0,58.39
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,118,2008-05-25T00:00:00Z,2010-06-22T00:00:00Z,0.2,0,51.69
TPC,Total Particulate Carbon,grab-nonsensor,mg/L,159,2008-05-26T00:00:00Z,2010-08-18T00:00:00Z,0.2,0,60.38
TPN,Total Particulate Nitrogen,grab-nonsensor,mg/L,159,2008-05-26T00:00:00Z,2010-08-18T00:00:00Z,0.2,0,60.38
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,144,2008-05-25T00:00:00Z,2009-08-23T00:00:00Z,0.3,0,57.64
