VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
Ca,Calcium,grab-nonsensor,mg/L,65,2008-05-27T00:00:00Z,2008-07-30T00:00:00Z,1,0,64.62
CHL,Chlorophyll,grab-nonsensor,mg/L,80,2008-06-20T00:00:00Z,2009-07-19T00:00:00Z,0.2,0,91.25
Cl,Chloride,grab-nonsensor,mg/L,107,2009-06-11T00:00:00Z,2010-08-19T00:00:00Z,0.2,0,35.51
CO2,Carbon Dioxide,grab-nonsensor,ppm,65,2008-05-28T00:00:00Z,2009-07-19T00:00:00Z,0.2,0,86.15
DIC,Dissolved Inorganic Carbon,grab-nonsensor,mg/L,1,2009-07-19T00:00:00Z,2009-07-19T00:00:00Z,Inf,0,0
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,172,2008-05-27T00:00:00Z,2010-08-19T00:00:00Z,0.2,0,50
K,Potassium,grab-nonsensor,mg/L,65,2008-05-27T00:00:00Z,2008-07-30T00:00:00Z,1,0,64.62
Mg,Magnesium,grab-nonsensor,mg/L,65,2008-05-27T00:00:00Z,2008-07-30T00:00:00Z,1,0,64.62
Na,Sodium,grab-nonsensor,mg/L,65,2008-05-27T00:00:00Z,2008-07-30T00:00:00Z,1,0,64.62
NH4_N,Ammonium-N,grab-nonsensor,mg/L,104,2008-05-27T00:00:00Z,2009-07-19T00:00:00Z,0.2,0,87.5
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,172,2008-05-27T00:00:00Z,2010-08-19T00:00:00Z,0.2,0,44.77
phaeopig,Phaeopigment,grab-nonsensor,mg/L,80,2008-06-20T00:00:00Z,2009-07-19T00:00:00Z,0.2,0,91.25
SiO2_Si,NA,grab-nonsensor,NA,65,2008-05-27T00:00:00Z,2008-07-30T00:00:00Z,1,0,64.62
SO4_S,Sulfate-S,grab-nonsensor,mg/L,107,2009-06-11T00:00:00Z,2010-08-19T00:00:00Z,0.2,0,35.51
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,84,2008-05-27T00:00:00Z,2009-07-19T00:00:00Z,0.2,0,85.71
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,172,2008-05-27T00:00:00Z,2010-08-19T00:00:00Z,0.2,0,50
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,138,2008-05-27T00:00:00Z,2010-08-19T00:00:00Z,0.2,0,48.55
TPC,Total Particulate Carbon,grab-nonsensor,mg/L,171,2008-05-28T00:00:00Z,2010-08-19T00:00:00Z,0.2,0,56.14
TPN,Total Particulate Nitrogen,grab-nonsensor,mg/L,171,2008-05-28T00:00:00Z,2010-08-19T00:00:00Z,0.2,0,56.14
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,172,2008-05-27T00:00:00Z,2010-08-19T00:00:00Z,0.2,0,50.58
