VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
Al,Aluminum,grab-nonsensor,mg/l,221,2009-06-18T00:00:00Z,2015-07-28T00:00:00Z,0.1,0,61.09
B,Boron,grab-nonsensor,mg/L,58,2009-06-18T00:00:00Z,2015-06-18T00:00:00Z,0,0,50
Ca,Calcium,grab-nonsensor,mg/L,239,2009-06-18T00:00:00Z,2015-07-28T00:00:00Z,0.1,0.42,61.09
Cd,Cadmium,grab-nonsensor,mg/L,160,2010-06-13T00:00:00Z,2015-07-28T00:00:00Z,0.1,0,63.12
CHL,Chlorophyll,grab-nonsensor,mg/L,24,2013-07-04T00:00:00Z,2015-07-28T00:00:00Z,0,0,75
Cl,Chloride,grab-nonsensor,mg/L,240,2008-07-03T00:00:00Z,2015-07-28T00:00:00Z,0.1,0.42,60.83
Cr,Chromium,grab-nonsensor,mg/L,3,2009-06-28T00:00:00Z,2015-06-18T00:00:00Z,0,0,0
Cu,Copper,grab-nonsensor,mg/L,236,2009-06-18T00:00:00Z,2015-07-28T00:00:00Z,0.1,0,66.53
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,257,2007-07-26T00:00:00Z,2015-07-28T00:00:00Z,0.1,0,66.93
Fe,Iron,grab-nonsensor,mg/L,239,2009-06-18T00:00:00Z,2015-07-28T00:00:00Z,0.1,0,61.09
K,Potassium,grab-nonsensor,mg/L,239,2009-06-18T00:00:00Z,2015-07-28T00:00:00Z,0.1,0,61.09
Mg,Magnesium,grab-nonsensor,mg/L,239,2009-06-18T00:00:00Z,2015-07-28T00:00:00Z,0.1,0,61.09
Mn,Manganese,grab-nonsensor,mg/L,239,2009-06-18T00:00:00Z,2015-07-28T00:00:00Z,0.1,0,61.09
Na,Sodium,grab-nonsensor,mg/L,239,2009-06-18T00:00:00Z,2015-07-28T00:00:00Z,0.1,0.84,61.09
NH4_N,Ammonium-N,grab-nonsensor,mg/L,270,2007-07-26T00:00:00Z,2015-07-28T00:00:00Z,0.1,0,65.56
Ni,Nickel,grab-nonsensor,mg/L,209,2009-06-25T00:00:00Z,2015-07-28T00:00:00Z,0.1,0,64.11
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,183,2007-07-26T00:00:00Z,2015-07-28T00:00:00Z,0.1,0,65.57
Pb,Lead,grab-nonsensor,mg/L,108,2009-06-27T00:00:00Z,2015-06-18T00:00:00Z,0,0,89.81
pH,pH,grab-nonsensor,unitless,63,2007-07-26T00:00:00Z,2015-07-28T00:00:00Z,0,1.59,82.54
pheophy,Sestonic Phaeophytin,grab-nonsensor,mg/l,24,2013-07-04T00:00:00Z,2015-07-28T00:00:00Z,0,0,75
S,Sulfer,grab-nonsensor,mg/l,239,2009-06-18T00:00:00Z,2015-07-28T00:00:00Z,0.1,0,61.09
Si,Silicon,grab-nonsensor,mg/L,57,2009-06-18T00:00:00Z,2009-08-13T00:00:00Z,1,0,49.12
SO4_S,Sulfate-S,grab-nonsensor,mg/L,240,2008-07-03T00:00:00Z,2015-07-28T00:00:00Z,0.1,0.42,60.83
spCond,Specific Conductivity,grab-nonsensor,uS/cm,63,2007-07-26T00:00:00Z,2015-07-28T00:00:00Z,0,1.59,82.54
Sr,Strontium,grab-nonsensor,mg/L,57,2009-06-18T00:00:00Z,2009-08-13T00:00:00Z,1,0,49.12
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,283,2007-07-26T00:00:00Z,2015-07-28T00:00:00Z,0.1,0.71,67.49
TCHL,Sestonic Total Chlorophyll,grab-nonsensor,mg/l,24,2013-07-04T00:00:00Z,2015-07-28T00:00:00Z,0,0,75
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,257,2007-07-26T00:00:00Z,2015-07-28T00:00:00Z,0.1,0,66.93
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,283,2007-07-26T00:00:00Z,2015-07-28T00:00:00Z,0.1,0,66.78
temp,Water Temperature,grab-nonsensor,degrees C,63,2007-07-26T00:00:00Z,2015-07-28T00:00:00Z,0,1.59,82.54
TPC,Total Particulate Carbon,grab-nonsensor,mg/L,87,2008-07-04T00:00:00Z,2009-08-13T00:00:00Z,0.2,0,65.52
TPN,Total Particulate Nitrogen,grab-nonsensor,mg/L,87,2008-07-04T00:00:00Z,2009-08-13T00:00:00Z,0.2,0,65.52
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,138,2007-08-07T00:00:00Z,2015-07-28T00:00:00Z,0,0,68.84
TSS,Total Suspended Solids,grab-nonsensor,mg/L,46,2007-07-26T00:00:00Z,2015-07-28T00:00:00Z,0,0,86.96
Zn,Zinc,grab-nonsensor,mg/L,239,2009-06-18T00:00:00Z,2015-07-28T00:00:00Z,0.1,0,62.34
