VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
Al,Aluminum,grab-nonsensor,mg/l,144,2009-06-18T00:00:00Z,2015-06-18T00:00:00Z,0.1,0,86.81
B,Boron,grab-nonsensor,mg/L,25,2009-06-18T00:00:00Z,2011-08-18T00:00:00Z,0,0,76
Ca,Calcium,grab-nonsensor,mg/L,144,2009-06-18T00:00:00Z,2015-06-18T00:00:00Z,0.1,0,86.81
Cd,Cadmium,grab-nonsensor,mg/L,99,2010-07-18T00:00:00Z,2013-07-23T00:00:00Z,0.1,0,88.89
CHL,Chlorophyll,grab-nonsensor,mg/L,23,2013-07-04T00:00:00Z,2015-06-18T00:00:00Z,0,0,78.26
Cl,Chloride,grab-nonsensor,mg/L,179,2008-07-03T00:00:00Z,2015-06-18T00:00:00Z,0.1,0.56,88.27
Cr,Chromium,grab-nonsensor,mg/L,22,2010-07-18T00:00:00Z,2013-07-23T00:00:00Z,0,0,81.82
Cu,Copper,grab-nonsensor,mg/L,92,2009-07-23T00:00:00Z,2015-06-18T00:00:00Z,0,0,85.87
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,206,2007-08-08T00:00:00Z,2015-06-18T00:00:00Z,0.1,0,88.83
Fe,Iron,grab-nonsensor,mg/L,144,2009-06-18T00:00:00Z,2015-06-18T00:00:00Z,0.1,0,86.81
K,Potassium,grab-nonsensor,mg/L,144,2009-06-18T00:00:00Z,2015-06-18T00:00:00Z,0.1,0,86.81
Mg,Magnesium,grab-nonsensor,mg/L,144,2009-06-18T00:00:00Z,2015-06-18T00:00:00Z,0.1,0,86.81
Mn,Manganese,grab-nonsensor,mg/L,143,2009-07-23T00:00:00Z,2015-06-18T00:00:00Z,0.1,0,87.41
Na,Sodium,grab-nonsensor,mg/L,120,2009-06-18T00:00:00Z,2015-06-18T00:00:00Z,0.1,0.83,85.83
NH4_N,Ammonium-N,grab-nonsensor,mg/L,199,2007-08-08T00:00:00Z,2015-06-18T00:00:00Z,0.1,0,87.94
Ni,Nickel,grab-nonsensor,mg/L,99,2010-07-18T00:00:00Z,2015-06-18T00:00:00Z,0.1,0,88.89
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,98,2010-07-18T00:00:00Z,2015-06-18T00:00:00Z,0.1,0,85.71
Pb,Lead,grab-nonsensor,mg/L,87,2010-07-18T00:00:00Z,2013-07-23T00:00:00Z,0.1,0,89.66
pH,pH,grab-nonsensor,unitless,48,2008-08-02T00:00:00Z,2015-06-18T00:00:00Z,0,43.75,83.33
pheophy,Sestonic Phaeophytin,grab-nonsensor,mg/l,23,2013-07-04T00:00:00Z,2015-06-18T00:00:00Z,0,0,78.26
S,Sulfer,grab-nonsensor,mg/l,120,2009-06-18T00:00:00Z,2015-06-18T00:00:00Z,0.1,0,85.83
Si,Silicon,grab-nonsensor,mg/L,23,2009-06-18T00:00:00Z,2009-08-13T00:00:00Z,0.4,0,82.61
SO4_S,Sulfate-S,grab-nonsensor,mg/L,179,2008-07-03T00:00:00Z,2015-06-18T00:00:00Z,0.1,0.56,88.27
spCond,Specific Conductivity,grab-nonsensor,uS/cm,49,2007-08-08T00:00:00Z,2015-06-18T00:00:00Z,0,44.9,81.63
Sr,Strontium,grab-nonsensor,mg/L,23,2009-06-18T00:00:00Z,2009-08-13T00:00:00Z,0.4,0,82.61
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,218,2007-08-08T00:00:00Z,2015-06-18T00:00:00Z,0.1,0.92,88.99
TCHL,Sestonic Total Chlorophyll,grab-nonsensor,mg/l,23,2013-07-04T00:00:00Z,2015-06-18T00:00:00Z,0,0,78.26
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,206,2007-08-08T00:00:00Z,2015-06-18T00:00:00Z,0.1,0,88.83
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,218,2007-08-08T00:00:00Z,2015-06-18T00:00:00Z,0.1,0,88.99
temp,Water Temperature,grab-nonsensor,degrees C,49,2007-08-08T00:00:00Z,2015-06-18T00:00:00Z,0,44.9,81.63
TPC,Total Particulate Carbon,grab-nonsensor,mg/L,47,2008-06-25T00:00:00Z,2009-08-13T00:00:00Z,0.1,0,87.23
TPN,Total Particulate Nitrogen,grab-nonsensor,mg/L,47,2008-06-25T00:00:00Z,2009-08-13T00:00:00Z,0.1,0,87.23
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,144,2007-08-07T00:00:00Z,2015-06-18T00:00:00Z,0.1,0.69,88.89
TSS,Total Suspended Solids,grab-nonsensor,mg/L,41,2007-08-08T00:00:00Z,2015-06-18T00:00:00Z,0,21.95,87.8
Zn,Zinc,grab-nonsensor,mg/L,143,2009-07-23T00:00:00Z,2015-06-18T00:00:00Z,0.1,0,87.41
