VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
Ca,Calcium,grab-nonsensor,mg/L,154,2007-06-24T00:00:00Z,2016-07-31T00:00:00Z,0,31.17,89.61
CHL,Chlorophyll,grab-nonsensor,mg/L,159,2009-07-04T00:00:00Z,2016-07-31T00:00:00Z,0.1,0,89.94
Cl,Chloride,grab-nonsensor,mg/L,134,2006-07-02T00:00:00Z,2016-07-31T00:00:00Z,0,22.39,90.3
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,177,2006-07-02T00:00:00Z,2016-07-31T00:00:00Z,0,0.56,89.27
K,Potassium,grab-nonsensor,mg/L,46,2007-06-24T00:00:00Z,2014-07-03T00:00:00Z,0,39.13,82.61
Mg,Magnesium,grab-nonsensor,mg/L,154,2007-06-24T00:00:00Z,2016-07-31T00:00:00Z,0,31.17,89.61
Na,Sodium,grab-nonsensor,mg/L,129,2007-06-24T00:00:00Z,2016-07-06T00:00:00Z,0,38.76,88.37
NH4_N,Ammonium-N,grab-nonsensor,mg/L,135,2009-07-04T00:00:00Z,2016-07-31T00:00:00Z,0.1,0,89.63
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,107,2010-07-08T00:00:00Z,2016-07-31T00:00:00Z,0,0,87.85
pH,pH,grab-nonsensor,unitless,205,1999-07-10T00:00:00Z,2016-07-31T00:00:00Z,0,12.2,86.83
pheophy,Sestonic Phaeophytin,grab-nonsensor,mg/l,135,2009-07-04T00:00:00Z,2016-07-31T00:00:00Z,0.1,0,89.63
SO4_S,Sulfate-S,grab-nonsensor,mg/L,105,2006-07-02T00:00:00Z,2016-07-31T00:00:00Z,0,28.57,89.52
spCond,Specific Conductivity,grab-nonsensor,uS/cm,233,1999-07-10T00:00:00Z,2016-07-31T00:00:00Z,0,11.59,87.98
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,177,2007-06-24T00:00:00Z,2016-07-31T00:00:00Z,0.1,12.43,89.27
TCHL,Sestonic Total Chlorophyll,grab-nonsensor,mg/l,49,2013-06-26T00:00:00Z,2015-08-04T00:00:00Z,0.1,0,87.76
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,136,2006-07-02T00:00:00Z,2016-07-31T00:00:00Z,0,0.74,88.97
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,136,2006-07-02T00:00:00Z,2016-07-31T00:00:00Z,0,22.06,88.97
temp,Water Temperature,grab-nonsensor,degrees C,233,1999-07-10T00:00:00Z,2016-07-31T00:00:00Z,0,11.16,87.98
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,157,2001-07-14T00:00:00Z,2016-07-31T00:00:00Z,0,0,87.9
TSS,Total Suspended Solids,grab-nonsensor,mg/L,54,2006-07-02T00:00:00Z,2011-07-02T00:00:00Z,0,1.85,87.04
