VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
Ca,Calcium,grab-nonsensor,mg/L,154,2007-06-24T00:00:00Z,2016-07-31T00:00:00Z,0,31.17,89.61
CHL,Chlorophyll,grab-nonsensor,mg/L,159,2009-07-04T00:00:00Z,2016-07-31T00:00:00Z,0.1,0,89.94
Cl,Chloride,grab-nonsensor,mg/L,105,2009-08-01T00:00:00Z,2016-07-31T00:00:00Z,0,0.95,89.52
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,176,2008-07-08T00:00:00Z,2016-07-31T00:00:00Z,0.1,0,89.77
K,Potassium,grab-nonsensor,mg/L,99,2007-06-24T00:00:00Z,2015-08-04T00:00:00Z,0,48.48,87.88
Mg,Magnesium,grab-nonsensor,mg/L,154,2007-06-24T00:00:00Z,2016-07-31T00:00:00Z,0,31.17,89.61
Na,Sodium,grab-nonsensor,mg/L,154,2007-06-24T00:00:00Z,2016-07-31T00:00:00Z,0,32.47,89.61
NH4_N,Ammonium-N,grab-nonsensor,mg/L,135,2009-07-04T00:00:00Z,2016-07-31T00:00:00Z,0.1,0,89.63
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,78,2010-07-08T00:00:00Z,2016-07-31T00:00:00Z,0,0,85.9
pH,pH,grab-nonsensor,unitless,149,2007-07-24T00:00:00Z,2016-07-31T00:00:00Z,0,16.78,87.92
pheophy,Sestonic Phaeophytin,grab-nonsensor,mg/l,135,2009-07-04T00:00:00Z,2016-07-31T00:00:00Z,0.1,0,89.63
SO4_S,Sulfate-S,grab-nonsensor,mg/L,76,2009-08-01T00:00:00Z,2016-07-31T00:00:00Z,0,1.32,88.16
spCond,Specific Conductivity,grab-nonsensor,uS/cm,207,2007-06-24T00:00:00Z,2016-07-31T00:00:00Z,0.1,13.04,90.34
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,177,2007-06-24T00:00:00Z,2016-07-31T00:00:00Z,0.1,12.43,89.27
TCHL,Sestonic Total Chlorophyll,grab-nonsensor,mg/l,49,2013-06-26T00:00:00Z,2015-08-04T00:00:00Z,0.1,0,87.76
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,135,2009-07-04T00:00:00Z,2016-07-31T00:00:00Z,0.1,0,89.63
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,135,2009-07-04T00:00:00Z,2016-07-31T00:00:00Z,0.1,21.48,89.63
temp,Water Temperature,grab-nonsensor,degrees C,207,2007-06-24T00:00:00Z,2016-07-31T00:00:00Z,0.1,12.56,90.34
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,181,2007-06-24T00:00:00Z,2016-07-31T00:00:00Z,0.1,16.57,91.16
TSS,Total Suspended Solids,grab-nonsensor,mg/L,76,2007-06-24T00:00:00Z,2011-07-02T00:00:00Z,0.1,1.32,90.79
