VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,installed-sensor,L/s,3964,1978-05-21T00:00:00Z,2019-09-12T00:00:00Z,0.3,0,5.47
BPC,Benthic Particulate Carbon,grab-nonsensor,mg/cm2,100,2005-06-23T00:00:00Z,2006-08-05T00:00:00Z,0.2,21,94
BPN,Benthic Particulate Nitrogen,grab-nonsensor,mg/cm2,100,2005-06-23T00:00:00Z,2006-08-05T00:00:00Z,0.2,21,94
BPP,Benthic Particulate Phosphorus,grab-nonsensor,mg/cm2,198,2005-06-23T00:00:00Z,2017-09-22T00:00:00Z,0,10.61,91.92
CHL,Chlorophyll,grab-nonsensor,mg/L,26,2017-06-25T00:00:00Z,2017-08-27T00:00:00Z,0.4,0,88.46
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,71,2016-07-25T00:00:00Z,2017-09-08T00:00:00Z,0.2,0,61.97
E_pheophy,Epilithic Phaeophytin,grab-nonsensor,mg/cm2,98,2017-06-17T00:00:00Z,2017-09-22T00:00:00Z,1,0,89.8
ECHL_A,Epilithic Chlorophyll a,grab-nonsensor,mg/cm2,98,2017-06-17T00:00:00Z,2017-09-22T00:00:00Z,1,0,89.8
NH4_N,Ammonium-N,grab-nonsensor,mg/L,26,2017-06-25T00:00:00Z,2017-08-27T00:00:00Z,0.4,3.85,88.46
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,71,2016-07-25T00:00:00Z,2017-09-08T00:00:00Z,0.2,1.41,61.97
pH,pH,grab-nonsensor,unitless,26,2017-06-25T00:00:00Z,2017-08-27T00:00:00Z,0.4,0,88.46
pheophy,Sestonic Phaeophytin,grab-nonsensor,mg/l,26,2017-06-25T00:00:00Z,2017-08-27T00:00:00Z,0.4,0,88.46
spCond,Specific Conductivity,grab-nonsensor,uS/cm,26,2017-06-25T00:00:00Z,2017-08-27T00:00:00Z,0.4,0,88.46
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,71,2016-07-25T00:00:00Z,2017-09-08T00:00:00Z,0.2,1.41,61.97
T_ECHL,Epilithic Total Chlorophyll,grab-nonsensor,mg/cm2,54,1983-08-02T00:00:00Z,1985-08-10T00:00:00Z,0.1,0,90.74
TCHL,Sestonic Total Chlorophyll,grab-nonsensor,mg/l,14,1983-08-02T00:00:00Z,1983-08-15T00:00:00Z,1.1,0,85.71
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,71,2016-07-25T00:00:00Z,2017-09-08T00:00:00Z,0.2,0,61.97
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,71,2016-07-25T00:00:00Z,2017-09-08T00:00:00Z,0.2,1.41,61.97
temp,Water Temperature,grab-nonsensor,degrees C,26,2017-06-25T00:00:00Z,2017-08-27T00:00:00Z,0.4,0,88.46
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,26,2017-06-25T00:00:00Z,2017-08-27T00:00:00Z,0.4,0,88.46
BPC,Benthic Particulate Carbon,grab-nonsensor,mg/cm2,100,2005-06-23T00:00:00Z,2006-08-05T00:00:00Z,0.2,21,94
BPN,Benthic Particulate Nitrogen,grab-nonsensor,mg/cm2,100,2005-06-23T00:00:00Z,2006-08-05T00:00:00Z,0.2,21,94
BPP,Benthic Particulate Phosphorus,grab-nonsensor,mg/cm2,198,2005-06-23T00:00:00Z,2017-09-22T00:00:00Z,0,10.61,91.92
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,71,2016-07-25T00:00:00Z,2017-09-08T00:00:00Z,0.2,0,61.97
NH4_N,Ammonium-N,grab-nonsensor,mg/L,26,2017-06-25T00:00:00Z,2017-08-27T00:00:00Z,0.4,3.85,88.46
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,71,2016-07-25T00:00:00Z,2017-09-08T00:00:00Z,0.2,1.41,61.97
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,71,2016-07-25T00:00:00Z,2017-09-08T00:00:00Z,0.2,1.41,61.97
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,71,2016-07-25T00:00:00Z,2017-09-08T00:00:00Z,0.2,0,61.97
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,71,2016-07-25T00:00:00Z,2017-09-08T00:00:00Z,0.2,1.41,61.97
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,26,2017-06-25T00:00:00Z,2017-08-27T00:00:00Z,0.4,0,88.46
