VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,installed-sensor,L/s,3964,1978-05-21T00:00:00Z,2019-09-12T00:00:00Z,0.3,0,5.47
BPC,Benthic Particulate Carbon,grab-nonsensor,mg/cm2,451,1994-08-07T00:00:00Z,2015-08-01T00:00:00Z,0.1,20.18,93.13
BPN,Benthic Particulate Nitrogen,grab-nonsensor,mg/cm2,463,1994-08-07T00:00:00Z,2015-08-13T00:00:00Z,0.1,19.87,93.09
BPP,Benthic Particulate Phosphorus,grab-nonsensor,mg/cm2,417,1994-08-07T00:00:00Z,2015-08-13T00:00:00Z,0.1,5.04,92.57
Ca,Calcium,grab-nonsensor,mg/L,565,1988-07-05T00:00:00Z,2015-08-08T00:00:00Z,0.1,37.17,91.5
CHL,Chlorophyll,grab-nonsensor,mg/L,569,2004-06-24T00:00:00Z,2015-08-08T00:00:00Z,0.1,0.18,93.67
Cl,Chloride,grab-nonsensor,mg/L,701,1988-07-05T00:00:00Z,2015-08-08T00:00:00Z,0.1,28.25,91.87
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,880,1994-06-30T00:00:00Z,2015-08-08T00:00:00Z,0.1,3.64,92.39
E_pheophy,Epilithic Phaeophytin,grab-nonsensor,mg/cm2,417,2006-06-15T00:00:00Z,2015-08-13T00:00:00Z,0.1,2.88,93.29
ECHL_A,Epilithic Chlorophyll a,grab-nonsensor,mg/cm2,417,2006-06-15T00:00:00Z,2015-08-13T00:00:00Z,0.1,2.88,93.29
K,Potassium,grab-nonsensor,mg/L,538,1988-07-05T00:00:00Z,2015-08-08T00:00:00Z,0.1,34.01,91.08
Mg,Magnesium,grab-nonsensor,mg/L,586,1988-07-05T00:00:00Z,2015-08-08T00:00:00Z,0.1,39.42,91.64
MH_Al,Moss: Hygrohypnum: Aluminum,grab-nonsensor,%,1,2015-07-18T00:00:00Z,2015-07-18T00:00:00Z,Inf,0,0
MH_B,Moss: Hygrohypnum: Boron,grab-nonsensor,%,1,2015-07-18T00:00:00Z,2015-07-18T00:00:00Z,Inf,0,0
MH_C,Moss: Hygrohypnum: Carbon,grab-nonsensor,%,1,2015-07-18T00:00:00Z,2015-07-18T00:00:00Z,Inf,0,0
MH_Ca,Moss: Hygrohypnum: Calcium,grab-nonsensor,%,1,2015-07-18T00:00:00Z,2015-07-18T00:00:00Z,Inf,0,0
MH_Cu,Moss: Hygrohypnum: Copper,grab-nonsensor,%,1,2015-07-18T00:00:00Z,2015-07-18T00:00:00Z,Inf,0,0
