VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,installed-sensor,L/s,3964,1978-05-21T00:00:00Z,2019-09-12T00:00:00Z,0.3,0,5.47
BPC,Benthic Particulate Carbon,grab-nonsensor,mg/cm2,805,1991-07-18T00:00:00Z,2016-08-06T00:00:00Z,0.1,5.34,92.8
BPN,Benthic Particulate Nitrogen,grab-nonsensor,mg/cm2,805,1991-07-18T00:00:00Z,2016-08-06T00:00:00Z,0.1,8.82,92.8
BPP,Benthic Particulate Phosphorus,grab-nonsensor,mg/cm2,857,1995-07-18T00:00:00Z,2017-08-26T00:00:00Z,0.1,19.37,93
CHL,Chlorophyll,grab-nonsensor,mg/L,566,2005-06-21T00:00:00Z,2017-08-27T00:00:00Z,0.1,0.18,93.29
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,461,2006-07-06T00:00:00Z,2017-08-27T00:00:00Z,0.1,0.43,93.28
E_pheophy,Epilithic Phaeophytin,grab-nonsensor,mg/cm2,540,2005-06-23T00:00:00Z,2017-08-26T00:00:00Z,0.1,0,92.96
ECHL_A,Epilithic Chlorophyll a,grab-nonsensor,mg/cm2,540,2005-06-23T00:00:00Z,2017-08-26T00:00:00Z,0.1,5.37,92.96
MH_Al,Moss: Hygrohypnum: Aluminum,grab-nonsensor,%,1,2015-07-21T00:00:00Z,2015-07-21T00:00:00Z,Inf,0,0
MH_B,Moss: Hygrohypnum: Boron,grab-nonsensor,%,1,2015-07-21T00:00:00Z,2015-07-21T00:00:00Z,Inf,0,0
MH_C,Moss: Hygrohypnum: Carbon,grab-nonsensor,%,4,1996-08-14T00:00:00Z,2015-07-21T00:00:00Z,0,0,0
MH_Ca,Moss: Hygrohypnum: Calcium,grab-nonsensor,%,1,2015-07-21T00:00:00Z,2015-07-21T00:00:00Z,Inf,0,0
MH_Cu,Moss: Hygrohypnum: Copper,grab-nonsensor,%,1,2015-07-21T00:00:00Z,2015-07-21T00:00:00Z,Inf,0,0
MH_Fe,Moss: Hygrohypnum: Iron,grab-nonsensor,%,1,2015-07-21T00:00:00Z,2015-07-21T00:00:00Z,Inf,0,0
MH_K,Moss: Hygrohypnum: Potassium,grab-nonsensor,%,1,2015-07-21T00:00:00Z,2015-07-21T00:00:00Z,Inf,0,0
MH_Mg,Moss: Hygrohypnum: Magnesium,grab-nonsensor,%,1,2015-07-21T00:00:00Z,2015-07-21T00:00:00Z,Inf,0,0
MH_Mn,Moss: Hygrohypnum: Manganese,grab-nonsensor,%,1,2015-07-21T00:00:00Z,2015-07-21T00:00:00Z,Inf,0,0
MH_N,Moss: Hygrohypnum: Nitrogen,grab-nonsensor,%,87,1995-06-23T00:00:00Z,2015-07-21T00:00:00Z,0,0,88.51
MH_Na,Moss: Hygrohypnum: Sodium,grab-nonsensor,%,1,2015-07-21T00:00:00Z,2015-07-21T00:00:00Z,Inf,0,0
MH_P,Moss: Hygrohypnum: Phosphorus,grab-nonsensor,%,87,1995-06-23T00:00:00Z,2015-07-21T00:00:00Z,0,0,88.51
MH_S,Moss: Hygrohypnum: Sulfur,grab-nonsensor,%,1,2015-07-21T00:00:00Z,2015-07-21T00:00:00Z,Inf,0,0
MS_Al,Moss: Schistidium: Aluminum,grab-nonsensor,%,1,2015-07-21T00:00:00Z,2015-07-21T00:00:00Z,Inf,0,0
MS_B,Moss: Schistidium: Boron,grab-nonsensor,%,1,2015-07-21T00:00:00Z,2015-07-21T00:00:00Z,Inf,0,0
MS_C,Moss: Schistidium: Carbon,grab-nonsensor,%,3,1997-06-19T00:00:00Z,2015-07-21T00:00:00Z,0,0,0
MS_Ca,Moss: Schistidium: Calcium,grab-nonsensor,%,1,2015-07-21T00:00:00Z,2015-07-21T00:00:00Z,Inf,0,0
MS_Cu,Moss: Schistidium: Copper,grab-nonsensor,%,1,2015-07-21T00:00:00Z,2015-07-21T00:00:00Z,Inf,0,0
MS_Fe,Moss: Schistidium: Iron,grab-nonsensor,%,1,2015-07-21T00:00:00Z,2015-07-21T00:00:00Z,Inf,0,0
MS_K,Moss: Schistidium: Potassium,grab-nonsensor,%,1,2015-07-21T00:00:00Z,2015-07-21T00:00:00Z,Inf,0,0
MS_Mg,Moss: Schistidium: Magnesium,grab-nonsensor,%,1,2015-07-21T00:00:00Z,2015-07-21T00:00:00Z,Inf,0,0
MS_Mn,Moss: Schistidium: Manganese,grab-nonsensor,%,1,2015-07-21T00:00:00Z,2015-07-21T00:00:00Z,Inf,0,0
MS_N,Moss: Schistidium: Nitrogen,grab-nonsensor,%,67,1996-06-12T00:00:00Z,2015-07-21T00:00:00Z,0,0,89.55
MS_Na,Moss: Schistidium: Sodium,grab-nonsensor,%,1,2015-07-21T00:00:00Z,2015-07-21T00:00:00Z,Inf,0,0
MS_P,Moss: Schistidium: Phosphorus,grab-nonsensor,%,67,1996-06-12T00:00:00Z,2015-07-21T00:00:00Z,0,0,89.55
MS_S,Moss: Schistidium: Sulfur,grab-nonsensor,%,1,2015-07-21T00:00:00Z,2015-07-21T00:00:00Z,Inf,0,0
MS_Zn,Moss: Schistidium: Zinc,grab-nonsensor,%,1,2015-07-21T00:00:00Z,2015-07-21T00:00:00Z,Inf,0,0
NH4_N,Ammonium-N,grab-nonsensor,mg/L,1162,1984-06-27T00:00:00Z,2017-08-27T00:00:00Z,0.1,1.81,90.02
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,1241,1983-07-10T00:00:00Z,2017-08-27T00:00:00Z,0.1,0.16,90.01
pH,pH,grab-nonsensor,unitless,798,1996-06-23T00:00:00Z,2017-08-27T00:00:00Z,0.1,11.78,91.48
pheophy,Sestonic Phaeophytin,grab-nonsensor,mg/l,566,2005-06-21T00:00:00Z,2017-08-27T00:00:00Z,0.1,0.18,93.29
spCond,Specific Conductivity,grab-nonsensor,uS/cm,804,1996-06-23T00:00:00Z,2017-08-27T00:00:00Z,0.1,11.69,91.54
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,1292,1983-07-10T00:00:00Z,2017-08-27T00:00:00Z,0.1,3.79,90.4
T_ECHL,Epilithic Total Chlorophyll,grab-nonsensor,mg/cm2,1225,1984-06-28T00:00:00Z,2015-08-01T00:00:00Z,0.1,2.37,92.73
TCHL,Sestonic Total Chlorophyll,grab-nonsensor,mg/l,982,1984-06-28T00:00:00Z,2015-08-08T00:00:00Z,0.1,0.1,90.43
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,719,1995-07-08T00:00:00Z,2017-08-27T00:00:00Z,0.1,6.4,92.49
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,738,1996-06-22T00:00:00Z,2017-08-27T00:00:00Z,0.1,7.45,93.22
temp,Water Temperature,grab-nonsensor,degrees C,821,1996-06-23T00:00:00Z,2017-08-27T00:00:00Z,0.1,10.6,91.84
TPC,Total Particulate Carbon,grab-nonsensor,mg/L,289,1996-07-06T00:00:00Z,2010-08-17T00:00:00Z,0.1,0,91.7
TPN,Total Particulate Nitrogen,grab-nonsensor,mg/L,287,1997-07-05T00:00:00Z,2010-08-17T00:00:00Z,0.1,0,92.33
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,779,1996-07-06T00:00:00Z,2017-08-27T00:00:00Z,0.1,2.7,93.07
BPC,Benthic Particulate Carbon,grab-nonsensor,mg/cm2,801,1991-07-18T00:00:00Z,2016-08-06T00:00:00Z,0.1,5.37,93.01
BPN,Benthic Particulate Nitrogen,grab-nonsensor,mg/cm2,801,1991-07-18T00:00:00Z,2016-08-06T00:00:00Z,0.1,8.86,93.01
BPP,Benthic Particulate Phosphorus,grab-nonsensor,mg/cm2,856,1995-07-18T00:00:00Z,2017-08-26T00:00:00Z,0.1,19.39,93.11
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,461,2006-07-06T00:00:00Z,2017-08-27T00:00:00Z,0.1,0.43,93.28
NH4_N,Ammonium-N,grab-nonsensor,mg/L,1158,1984-06-27T00:00:00Z,2017-08-27T00:00:00Z,0.1,1.81,90.16
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,1234,1983-07-13T00:00:00Z,2017-08-27T00:00:00Z,0.1,0.16,90.19
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,1285,1983-07-13T00:00:00Z,2017-08-27T00:00:00Z,0.1,3.81,90.58
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,719,1995-07-08T00:00:00Z,2017-08-27T00:00:00Z,0.1,6.4,92.49
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,734,1996-06-22T00:00:00Z,2017-08-27T00:00:00Z,0.1,7.49,93.32
TPC,Total Particulate Carbon,grab-nonsensor,mg/L,285,1996-07-06T00:00:00Z,2010-08-17T00:00:00Z,0.1,0,91.93
TPN,Total Particulate Nitrogen,grab-nonsensor,mg/L,283,1997-07-05T00:00:00Z,2010-08-17T00:00:00Z,0.1,0,92.58
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,779,1996-07-06T00:00:00Z,2017-08-27T00:00:00Z,0.1,2.7,93.07
