VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,installed-sensor,L/s,2375,1989-06-05T00:00:00Z,2019-09-11T00:00:00Z,0.2,0,0.55
BPC,Benthic Particulate Carbon,grab-nonsensor,mg/cm2,689,1994-06-21T00:00:00Z,2016-08-04T00:00:00Z,0.1,5.95,91.73
BPN,Benthic Particulate Nitrogen,grab-nonsensor,mg/cm2,627,1994-06-21T00:00:00Z,2016-08-04T00:00:00Z,0.1,9.25,91.55
BPP,Benthic Particulate Phosphorus,grab-nonsensor,mg/cm2,748,1994-06-21T00:00:00Z,2017-08-24T00:00:00Z,0.1,6.95,92.11
Ca,Calcium,grab-nonsensor,mg/L,1,1990-06-12T00:00:00Z,1990-06-12T00:00:00Z,Inf,0,0
CHL,Chlorophyll,grab-nonsensor,mg/L,559,2004-06-22T00:00:00Z,2017-08-25T00:00:00Z,0.1,0,92.84
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,648,1994-08-06T00:00:00Z,2017-08-25T00:00:00Z,0.1,35.96,89.97
E_pheophy,Epilithic Phaeophytin,grab-nonsensor,mg/cm2,579,2004-06-22T00:00:00Z,2017-08-24T00:00:00Z,0.1,0,92.92
ECHL_A,Epilithic Chlorophyll a,grab-nonsensor,mg/cm2,579,2004-06-22T00:00:00Z,2017-08-24T00:00:00Z,0.1,0,92.92
K,Potassium,grab-nonsensor,mg/L,1,1990-06-12T00:00:00Z,1990-06-12T00:00:00Z,Inf,0,0
Mg,Magnesium,grab-nonsensor,mg/L,1,1990-06-12T00:00:00Z,1990-06-12T00:00:00Z,Inf,0,0
Na,Sodium,grab-nonsensor,mg/L,1,1990-06-12T00:00:00Z,1990-06-12T00:00:00Z,Inf,0,0
NH4_N,Ammonium-N,grab-nonsensor,mg/L,1135,1989-06-27T00:00:00Z,2017-08-25T00:00:00Z,0.1,1.94,89.34
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,1310,1989-06-27T00:00:00Z,2017-08-25T00:00:00Z,0.1,0.08,89.85
