VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,installed-sensor,L/s,2375,1989-06-05T00:00:00Z,2019-09-11T00:00:00Z,0.2,0,0.55
BPC,Benthic Particulate Carbon,grab-nonsensor,mg/cm2,86,1994-06-21T00:00:00Z,1998-07-11T00:00:00Z,0.1,0,88.37
BPN,Benthic Particulate Nitrogen,grab-nonsensor,mg/cm2,86,1994-06-21T00:00:00Z,1998-07-11T00:00:00Z,0.1,0,88.37
BPP,Benthic Particulate Phosphorus,grab-nonsensor,mg/cm2,85,1994-06-21T00:00:00Z,1997-07-25T00:00:00Z,0.1,0,89.41
NH4_N,Ammonium-N,grab-nonsensor,mg/L,502,1989-06-27T00:00:00Z,1998-08-07T00:00:00Z,0.2,0,86.65
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,550,1989-06-27T00:00:00Z,1998-08-07T00:00:00Z,0.2,0,86.18
pH,pH,grab-nonsensor,unitless,262,1994-06-25T00:00:00Z,1998-08-07T00:00:00Z,0.2,12.98,88.17
spCond,Specific Conductivity,grab-nonsensor,uS/cm,262,1994-06-25T00:00:00Z,1998-08-07T00:00:00Z,0.2,12.98,88.55
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,486,1989-06-27T00:00:00Z,1998-08-07T00:00:00Z,0.1,0,85.6
T_ECHL,Epilithic Total Chlorophyll,grab-nonsensor,mg/cm2,400,1990-08-08T00:00:00Z,1998-08-07T00:00:00Z,0.1,0,92.5
TCHL,Sestonic Total Chlorophyll,grab-nonsensor,mg/l,419,1991-06-15T00:00:00Z,1998-08-07T00:00:00Z,0.2,0,86.16
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,44,1995-06-30T00:00:00Z,1997-07-12T00:00:00Z,0.1,0,88.64
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,118,1996-06-20T00:00:00Z,1998-08-07T00:00:00Z,0.2,0,92.37
temp,Water Temperature,grab-nonsensor,degrees C,262,1994-06-25T00:00:00Z,1998-08-07T00:00:00Z,0.2,12.98,88.17
TPC,Total Particulate Carbon,grab-nonsensor,mg/L,75,1994-07-14T00:00:00Z,1998-07-23T00:00:00Z,0.1,0,86.67
TPN,Total Particulate Nitrogen,grab-nonsensor,mg/L,75,1994-07-14T00:00:00Z,1998-07-23T00:00:00Z,0.1,0,86.67
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,74,1994-07-14T00:00:00Z,1997-08-09T00:00:00Z,0.1,0,87.84
BPC,Benthic Particulate Carbon,grab-nonsensor,mg/cm2,77,1994-08-12T00:00:00Z,1998-07-11T00:00:00Z,0.1,0,89.61
BPN,Benthic Particulate Nitrogen,grab-nonsensor,mg/cm2,77,1994-08-12T00:00:00Z,1998-07-11T00:00:00Z,0.1,0,89.61
BPP,Benthic Particulate Phosphorus,grab-nonsensor,mg/cm2,76,1994-08-12T00:00:00Z,1997-07-25T00:00:00Z,0.1,0,90.79
NH4_N,Ammonium-N,grab-nonsensor,mg/L,478,1989-06-27T00:00:00Z,1998-08-07T00:00:00Z,0.1,0,87.03
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,526,1989-06-27T00:00:00Z,1998-08-07T00:00:00Z,0.2,0,86.5
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,462,1989-06-27T00:00:00Z,1998-08-07T00:00:00Z,0.1,0,85.93
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,44,1995-06-30T00:00:00Z,1997-07-12T00:00:00Z,0.1,0,88.64
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,108,1996-06-30T00:00:00Z,1998-08-07T00:00:00Z,0.1,0,92.59
TPC,Total Particulate Carbon,grab-nonsensor,mg/L,75,1994-07-14T00:00:00Z,1998-07-23T00:00:00Z,0.1,0,86.67
TPN,Total Particulate Nitrogen,grab-nonsensor,mg/L,75,1994-07-14T00:00:00Z,1998-07-23T00:00:00Z,0.1,0,86.67
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,74,1994-07-14T00:00:00Z,1997-08-09T00:00:00Z,0.1,0,87.84
