VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
BPC,Benthic Particulate Carbon,grab-nonsensor,mg/cm2,67,2012-07-31T00:00:00Z,2015-07-14T00:00:00Z,0.1,41.79,88.06
BPN,Benthic Particulate Nitrogen,grab-nonsensor,mg/cm2,67,2012-07-31T00:00:00Z,2015-07-14T00:00:00Z,0.1,41.79,88.06
BPP,Benthic Particulate Phosphorus,grab-nonsensor,mg/cm2,67,2012-07-31T00:00:00Z,2015-07-14T00:00:00Z,0.1,1.49,88.06
Ca,Calcium,grab-nonsensor,mg/L,143,2008-05-27T00:00:00Z,2015-07-14T00:00:00Z,0.1,0.7,77.62
CH4,Methane,grab-nonsensor,ppm,102,2008-05-27T00:00:00Z,2010-08-13T00:00:00Z,0.1,0,89.22
CHL,Chlorophyll,grab-nonsensor,mg/L,186,2008-06-20T00:00:00Z,2015-07-14T00:00:00Z,0.1,0,90.32
Cl,Chloride,grab-nonsensor,mg/L,200,2009-06-16T00:00:00Z,2015-07-14T00:00:00Z,0.1,0,56
CO2,Carbon Dioxide,grab-nonsensor,ppm,102,2008-05-27T00:00:00Z,2010-08-13T00:00:00Z,0.1,0,89.22
DIC,Dissolved Inorganic Carbon,grab-nonsensor,mg/L,65,2008-05-27T00:00:00Z,2010-08-13T00:00:00Z,0.1,0,90.77
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,276,2008-05-27T00:00:00Z,2015-07-14T00:00:00Z,0.1,0,62.68
E_pheophy,Epilithic Phaeophytin,grab-nonsensor,mg/cm2,66,2013-06-29T00:00:00Z,2015-07-14T00:00:00Z,0.1,0,89.39
ECHL_A,Epilithic Chlorophyll a,grab-nonsensor,mg/cm2,67,2012-07-31T00:00:00Z,2015-07-14T00:00:00Z,0.1,0,88.06
K,Potassium,grab-nonsensor,mg/L,143,2008-05-27T00:00:00Z,2015-07-14T00:00:00Z,0.1,0,77.62
Mg,Magnesium,grab-nonsensor,mg/L,143,2008-05-27T00:00:00Z,2015-07-14T00:00:00Z,0.1,0,77.62
Na,Sodium,grab-nonsensor,mg/L,143,2008-05-27T00:00:00Z,2015-07-14T00:00:00Z,0.1,0.7,77.62
NH4_N,Ammonium-N,grab-nonsensor,mg/L,216,2008-05-27T00:00:00Z,2015-07-14T00:00:00Z,0.1,0,89.81
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,276,2008-05-27T00:00:00Z,2015-07-14T00:00:00Z,0.1,0,59.42
pH,pH,grab-nonsensor,unitless,65,2011-06-25T00:00:00Z,2015-07-14T00:00:00Z,0,0,87.69
phaeopig,Phaeopigment,grab-nonsensor,mg/L,120,2008-06-20T00:00:00Z,2012-07-31T00:00:00Z,0.1,0,90.83
pheophy,Sestonic Phaeophytin,grab-nonsensor,mg/l,66,2013-06-29T00:00:00Z,2015-07-14T00:00:00Z,0.1,0,89.39
SiO2_Si,NA,grab-nonsensor,NA,76,2008-05-27T00:00:00Z,2008-08-10T00:00:00Z,1,0,68.42
SO4_S,Sulfate-S,grab-nonsensor,mg/L,200,2009-06-16T00:00:00Z,2015-07-14T00:00:00Z,0.1,0,56
spCond,Specific Conductivity,grab-nonsensor,uS/cm,65,2011-06-25T00:00:00Z,2015-07-14T00:00:00Z,0,0,87.69
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,216,2008-05-27T00:00:00Z,2015-07-14T00:00:00Z,0.1,23.15,89.81
T_ECHL,Epilithic Total Chlorophyll,grab-nonsensor,mg/cm2,67,2012-07-31T00:00:00Z,2015-07-14T00:00:00Z,0.1,0,88.06
TCHL,Sestonic Total Chlorophyll,grab-nonsensor,mg/l,67,2012-07-31T00:00:00Z,2015-07-14T00:00:00Z,0.1,0,88.06
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,276,2008-05-27T00:00:00Z,2015-07-14T00:00:00Z,0.1,0,62.68
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,263,2008-05-27T00:00:00Z,2015-07-14T00:00:00Z,0.1,0,57.41
temp,Water Temperature,grab-nonsensor,degrees C,65,2011-06-25T00:00:00Z,2015-07-14T00:00:00Z,0,0,87.69
TPC,Total Particulate Carbon,grab-nonsensor,mg/L,162,2008-05-27T00:00:00Z,2010-07-22T00:00:00Z,0.2,0,57.41
TPN,Total Particulate Nitrogen,grab-nonsensor,mg/L,162,2008-05-27T00:00:00Z,2010-07-22T00:00:00Z,0.2,0,57.41
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,264,2008-05-27T00:00:00Z,2015-07-14T00:00:00Z,0.1,0.38,59.47
