VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,installed-sensor,L/s,2532,1991-07-17T00:00:00Z,2018-10-08T00:00:00Z,0.3,0,0.08
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,372,2013-08-18T00:00:00Z,2017-06-23T00:00:00Z,0.3,0,88.71
NH4_N,Ammonium-N,grab-nonsensor,mg/L,372,2013-08-18T00:00:00Z,2017-06-23T00:00:00Z,0.3,0,88.71
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,372,2013-08-18T00:00:00Z,2017-06-23T00:00:00Z,0.3,0,88.71
pH,pH,grab-nonsensor,unitless,146,2015-06-28T00:00:00Z,2017-06-23T00:00:00Z,0.2,0,88.36
spCond,Specific Conductivity,all,uS/cm,1978,1995-07-13T00:00:00Z,2018-09-10T00:00:00Z,0.2,0,88.85
spCond,Specific Conductivity,grab-nonsensor,uS/cm,146,2015-06-28T00:00:00Z,2017-06-23T00:00:00Z,0.2,0,88.36
spCond,Specific Conductivity,installed-sensor,uS/cm,1832,1995-07-13T00:00:00Z,2018-09-10T00:00:00Z,0.2,0,0.49
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,334,2013-08-18T00:00:00Z,2017-06-23T00:00:00Z,0.2,0,89.52
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,372,2013-08-18T00:00:00Z,2017-06-23T00:00:00Z,0.3,0,88.71
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,318,2014-06-29T00:00:00Z,2017-06-23T00:00:00Z,0.3,0,89.31
temp,Water Temperature,all,degrees C,2640,1991-08-24T00:00:00Z,2018-10-08T00:00:00Z,0.3,0,88.44
temp,Water Temperature,grab-nonsensor,degrees C,146,2015-06-28T00:00:00Z,2017-06-23T00:00:00Z,0.2,0,88.36
temp,Water Temperature,installed-sensor,degrees C,2494,1991-08-24T00:00:00Z,2018-10-08T00:00:00Z,0.3,0,0.08
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,285,2013-08-18T00:00:00Z,2017-06-23T00:00:00Z,0.2,0,89.82
NH4_N,Ammonium-N,grab-nonsensor,mg/L,285,2013-08-18T00:00:00Z,2017-06-23T00:00:00Z,0.2,0,89.82
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,285,2013-08-18T00:00:00Z,2017-06-23T00:00:00Z,0.2,0,89.82
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,247,2013-08-18T00:00:00Z,2017-06-23T00:00:00Z,0.2,0,91.09
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,285,2013-08-18T00:00:00Z,2017-06-23T00:00:00Z,0.2,0,89.82
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,282,2014-06-29T00:00:00Z,2017-06-23T00:00:00Z,0.3,0,90.07
