VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
Al,Aluminum,grab-nonsensor,mg/l,263,2009-06-22T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,68.44
B,Boron,grab-nonsensor,mg/L,68,2009-06-22T00:00:00Z,2015-08-09T00:00:00Z,0,0,57.35
Ca,Calcium,grab-nonsensor,mg/L,292,2009-06-22T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,68.84
Cd,Cadmium,grab-nonsensor,mg/L,73,2010-06-26T00:00:00Z,2015-08-09T00:00:00Z,0,0,83.56
CHL,Chlorophyll,grab-nonsensor,mg/L,85,2013-06-26T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,91.76
Cl,Chloride,grab-nonsensor,mg/L,298,2009-06-16T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,69.8
Cr,Chromium,grab-nonsensor,mg/L,90,2010-06-21T00:00:00Z,2014-08-15T00:00:00Z,0.1,0,87.78
Cu,Copper,grab-nonsensor,mg/L,221,2009-07-03T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,66.52
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,355,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,77.46
Fe,Iron,grab-nonsensor,mg/L,292,2009-06-22T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,68.84
K,Potassium,grab-nonsensor,mg/L,284,2009-06-22T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,76.06
Mg,Magnesium,grab-nonsensor,mg/L,292,2009-06-22T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,68.84
Mn,Manganese,grab-nonsensor,mg/L,292,2009-06-22T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,69.18
Na,Sodium,grab-nonsensor,mg/L,267,2009-06-22T00:00:00Z,2015-08-09T00:00:00Z,0.1,0.75,66.67
NH4_N,Ammonium-N,grab-nonsensor,mg/L,356,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,74.72
Ni,Nickel,grab-nonsensor,mg/L,209,2009-06-22T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,64.11
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,216,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,69.91
Pb,Lead,grab-nonsensor,mg/L,114,2009-06-25T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,86.84
pH,pH,grab-nonsensor,unitless,129,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0,1.55,90.7
pheophy,Sestonic Phaeophytin,grab-nonsensor,mg/l,85,2013-06-26T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,91.76
S,Sulfer,grab-nonsensor,mg/l,268,2009-06-22T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,66.42
Si,Silicon,grab-nonsensor,mg/L,52,2009-06-22T00:00:00Z,2009-08-12T00:00:00Z,1,0,53.85
SO4_S,Sulfate-S,grab-nonsensor,mg/L,273,2009-06-16T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,67.77
spCond,Specific Conductivity,grab-nonsensor,uS/cm,129,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0,1.55,90.7
Sr,Strontium,grab-nonsensor,mg/L,52,2009-06-22T00:00:00Z,2009-08-12T00:00:00Z,1,0,53.85
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,356,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0.1,16.29,73.03
TCHL,Sestonic Total Chlorophyll,grab-nonsensor,mg/l,85,2013-06-26T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,91.76
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,355,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,77.46
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,299,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,68.23
temp,Water Temperature,grab-nonsensor,degrees C,129,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0,1.55,90.7
TPC,Total Particulate Carbon,grab-nonsensor,mg/L,95,2008-06-25T00:00:00Z,2009-08-12T00:00:00Z,0.2,0,71.58
TPN,Total Particulate Nitrogen,grab-nonsensor,mg/L,95,2008-06-25T00:00:00Z,2009-08-12T00:00:00Z,0.2,0,71.58
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,169,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0.1,0.59,79.88
TSS,Total Suspended Solids,grab-nonsensor,mg/L,143,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0,0,91.61
Zn,Zinc,grab-nonsensor,mg/L,292,2009-06-22T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,69.18
