VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
Al,Aluminum,grab-nonsensor,mg/l,155,2010-06-15T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,87.74
B,Boron,grab-nonsensor,mg/L,72,2009-07-15T00:00:00Z,2015-08-09T00:00:00Z,0,0,84.72
Ca,Calcium,grab-nonsensor,mg/L,180,2009-07-15T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,88.33
Cd,Cadmium,grab-nonsensor,mg/L,87,2010-06-15T00:00:00Z,2015-06-19T00:00:00Z,0,0,86.21
CHL,Chlorophyll,grab-nonsensor,mg/L,31,2013-06-26T00:00:00Z,2015-08-09T00:00:00Z,0,0,83.87
Cl,Chloride,grab-nonsensor,mg/L,194,2009-07-15T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,89.69
Cr,Chromium,grab-nonsensor,mg/L,70,2011-06-10T00:00:00Z,2015-08-09T00:00:00Z,0,0,90
Cu,Copper,grab-nonsensor,mg/L,127,2010-06-15T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,86.61
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,252,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,90.48
Fe,Iron,grab-nonsensor,mg/L,180,2009-07-15T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,88.33
K,Potassium,grab-nonsensor,mg/L,86,2009-07-15T00:00:00Z,2013-06-26T00:00:00Z,0.1,0,87.21
Mg,Magnesium,grab-nonsensor,mg/L,180,2009-07-15T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,88.33
Mn,Manganese,grab-nonsensor,mg/L,180,2009-07-15T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,88.33
Na,Sodium,grab-nonsensor,mg/L,159,2009-07-15T00:00:00Z,2015-08-09T00:00:00Z,0.1,1.26,89.31
NH4_N,Ammonium-N,grab-nonsensor,mg/L,275,2004-08-05T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,89.09
Ni,Nickel,grab-nonsensor,mg/L,127,2010-06-15T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,86.61
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,180,2004-08-05T00:00:00Z,2015-08-09T00:00:00Z,0,0,88.33
Pb,Lead,grab-nonsensor,mg/L,95,2010-08-08T00:00:00Z,2013-07-20T00:00:00Z,0.1,0,89.47
pH,pH,grab-nonsensor,unitless,105,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0,27.62,89.52
pheophy,Sestonic Phaeophytin,grab-nonsensor,mg/l,31,2013-06-26T00:00:00Z,2015-08-09T00:00:00Z,0,0,83.87
S,Sulfer,grab-nonsensor,mg/l,161,2009-07-15T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,90.06
Si,Silicon,grab-nonsensor,mg/L,1,2009-07-15T00:00:00Z,2009-07-15T00:00:00Z,Inf,0,0
SO4_S,Sulfate-S,grab-nonsensor,mg/L,193,2009-07-15T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,89.64
spCond,Specific Conductivity,grab-nonsensor,uS/cm,105,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0,27.62,89.52
Sr,Strontium,grab-nonsensor,mg/L,1,2009-07-15T00:00:00Z,2009-07-15T00:00:00Z,Inf,0,0
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,275,2004-08-05T00:00:00Z,2015-08-09T00:00:00Z,0.1,10.18,89.09
TCHL,Sestonic Total Chlorophyll,grab-nonsensor,mg/l,31,2013-06-26T00:00:00Z,2015-08-09T00:00:00Z,0,0,83.87
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,253,2004-08-05T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,90.12
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,237,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,88.61
temp,Water Temperature,grab-nonsensor,degrees C,105,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0,27.62,89.52
TPC,Total Particulate Carbon,grab-nonsensor,mg/L,74,2008-06-25T00:00:00Z,2009-07-29T00:00:00Z,0.2,0,90.54
TPN,Total Particulate Nitrogen,grab-nonsensor,mg/L,74,2008-06-25T00:00:00Z,2009-07-29T00:00:00Z,0.2,0,90.54
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,113,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0,0.88,89.38
TSS,Total Suspended Solids,grab-nonsensor,mg/L,33,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0,27.27,81.82
Zn,Zinc,grab-nonsensor,mg/L,180,2009-07-15T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,88.33
