VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
Al,Aluminum,grab-nonsensor,mg/l,181,2009-07-03T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,88.4
B,Boron,grab-nonsensor,mg/L,30,2009-07-03T00:00:00Z,2015-08-09T00:00:00Z,0,0,80
Ca,Calcium,grab-nonsensor,mg/L,154,2009-07-03T00:00:00Z,2015-08-09T00:00:00Z,0.1,0.65,87.01
Cd,Cadmium,grab-nonsensor,mg/L,80,2010-06-26T00:00:00Z,2015-08-09T00:00:00Z,0,0,85
CHL,Chlorophyll,grab-nonsensor,mg/L,28,2013-06-26T00:00:00Z,2015-08-09T00:00:00Z,0,0,82.14
Cl,Chloride,grab-nonsensor,mg/L,209,2009-06-16T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,89.47
Cr,Chromium,grab-nonsensor,mg/L,7,2010-07-08T00:00:00Z,2015-08-09T00:00:00Z,0,0,0
Cu,Copper,grab-nonsensor,mg/L,102,2010-06-26T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,85.29
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,268,2004-08-05T00:00:00Z,2015-08-09T00:00:00Z,0.1,0.37,89.18
Fe,Iron,grab-nonsensor,mg/L,181,2009-07-03T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,88.4
K,Potassium,grab-nonsensor,mg/L,154,2009-07-03T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,87.01
Mg,Magnesium,grab-nonsensor,mg/L,154,2009-07-03T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,87.01
Mn,Manganese,grab-nonsensor,mg/L,181,2009-07-03T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,88.4
Na,Sodium,grab-nonsensor,mg/L,130,2009-07-03T00:00:00Z,2015-08-09T00:00:00Z,0.1,1.54,85.38
NH4_N,Ammonium-N,grab-nonsensor,mg/L,268,2004-08-05T00:00:00Z,2015-08-09T00:00:00Z,0.1,0.37,89.18
Ni,Nickel,grab-nonsensor,mg/L,79,2009-07-29T00:00:00Z,2015-08-09T00:00:00Z,0,0,81.01
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,197,2004-08-05T00:00:00Z,2015-08-09T00:00:00Z,0,0.51,87.82
Pb,Lead,grab-nonsensor,mg/L,17,2011-06-10T00:00:00Z,2015-08-09T00:00:00Z,0,0,70.59
pH,pH,grab-nonsensor,unitless,129,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0,41.09,90.7
pheophy,Sestonic Phaeophytin,grab-nonsensor,mg/l,28,2013-06-26T00:00:00Z,2015-08-09T00:00:00Z,0,0,82.14
S,Sulfer,grab-nonsensor,mg/l,157,2009-07-03T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,87.26
Si,Silicon,grab-nonsensor,mg/L,27,2009-07-03T00:00:00Z,2009-07-29T00:00:00Z,1,0,88.89
SO4_S,Sulfate-S,grab-nonsensor,mg/L,209,2009-06-16T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,89
spCond,Specific Conductivity,grab-nonsensor,uS/cm,129,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0,41.09,90.7
Sr,Strontium,grab-nonsensor,mg/L,27,2009-07-03T00:00:00Z,2009-07-29T00:00:00Z,1,0,88.89
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,268,2004-08-05T00:00:00Z,2015-08-09T00:00:00Z,0.1,10.82,89.18
TCHL,Sestonic Total Chlorophyll,grab-nonsensor,mg/l,28,2013-06-26T00:00:00Z,2015-08-09T00:00:00Z,0,0,82.14
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,268,2004-08-05T00:00:00Z,2015-08-09T00:00:00Z,0.1,0.37,89.18
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,234,2004-08-05T00:00:00Z,2015-08-09T00:00:00Z,0.1,0.43,88.46
temp,Water Temperature,grab-nonsensor,degrees C,129,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0,41.09,90.7
TPC,Total Particulate Carbon,grab-nonsensor,mg/L,81,2008-06-25T00:00:00Z,2009-07-29T00:00:00Z,0.2,0,91.36
TPN,Total Particulate Nitrogen,grab-nonsensor,mg/L,81,2008-06-25T00:00:00Z,2009-07-29T00:00:00Z,0.2,0,91.36
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,181,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,90.61
TSS,Total Suspended Solids,grab-nonsensor,mg/L,25,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0,4,76
Zn,Zinc,grab-nonsensor,mg/L,167,2009-07-03T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,88.02
