VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
Al,Aluminum,grab-nonsensor,mg/l,130,2009-07-03T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,90
B,Boron,grab-nonsensor,mg/L,2,2009-07-03T00:00:00Z,2015-06-19T00:00:00Z,0,0,0
Ca,Calcium,grab-nonsensor,mg/L,130,2009-07-03T00:00:00Z,2015-08-09T00:00:00Z,0.1,0.77,90
Cd,Cadmium,grab-nonsensor,mg/L,50,2010-07-08T00:00:00Z,2015-08-09T00:00:00Z,0,0,86
CHL,Chlorophyll,grab-nonsensor,mg/L,55,2013-06-26T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,89.09
Cl,Chloride,grab-nonsensor,mg/L,147,2009-06-16T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,90.48
Cr,Chromium,grab-nonsensor,mg/L,2,2011-07-12T00:00:00Z,2015-06-19T00:00:00Z,0,0,0
Cu,Copper,grab-nonsensor,mg/L,51,2009-07-29T00:00:00Z,2015-08-09T00:00:00Z,0,0,84.31
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,196,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,90.31
Fe,Iron,grab-nonsensor,mg/L,130,2009-07-03T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,90
K,Potassium,grab-nonsensor,mg/L,103,2009-07-03T00:00:00Z,2015-08-09T00:00:00Z,0,0,88.35
Mg,Magnesium,grab-nonsensor,mg/L,130,2009-07-03T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,90
Mn,Manganese,grab-nonsensor,mg/L,130,2009-07-03T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,90
Na,Sodium,grab-nonsensor,mg/L,130,2009-07-03T00:00:00Z,2015-08-09T00:00:00Z,0.1,1.54,90
NH4_N,Ammonium-N,grab-nonsensor,mg/L,197,2004-08-05T00:00:00Z,2015-08-09T00:00:00Z,0,0,89.85
Ni,Nickel,grab-nonsensor,mg/L,76,2009-07-29T00:00:00Z,2015-08-09T00:00:00Z,0,0,86.84
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,126,2004-08-05T00:00:00Z,2015-08-09T00:00:00Z,0,0,88.1
Pb,Lead,grab-nonsensor,mg/L,3,2011-07-27T00:00:00Z,2015-08-09T00:00:00Z,0,0,0
pH,pH,grab-nonsensor,unitless,104,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0,26.92,90.38
pheophy,Sestonic Phaeophytin,grab-nonsensor,mg/l,28,2013-06-26T00:00:00Z,2015-08-09T00:00:00Z,0,0,82.14
S,Sulfer,grab-nonsensor,mg/l,130,2009-07-03T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,90
Si,Silicon,grab-nonsensor,mg/L,27,2009-07-03T00:00:00Z,2009-07-29T00:00:00Z,1,0,92.59
SO4_S,Sulfate-S,grab-nonsensor,mg/L,147,2009-06-16T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,89.8
spCond,Specific Conductivity,grab-nonsensor,uS/cm,104,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0,26.92,90.38
Sr,Strontium,grab-nonsensor,mg/L,27,2009-07-03T00:00:00Z,2009-07-29T00:00:00Z,1,0,92.59
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,197,2004-08-05T00:00:00Z,2015-08-09T00:00:00Z,0,14.21,89.85
TCHL,Sestonic Total Chlorophyll,grab-nonsensor,mg/l,55,2013-06-26T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,89.09
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,196,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,90.31
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,169,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0.1,0,89.35
temp,Water Temperature,grab-nonsensor,degrees C,104,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0,26.92,90.38
TPC,Total Particulate Carbon,grab-nonsensor,mg/L,72,2008-07-04T00:00:00Z,2009-07-29T00:00:00Z,0.2,0,91.67
TPN,Total Particulate Nitrogen,grab-nonsensor,mg/L,72,2008-07-04T00:00:00Z,2009-07-29T00:00:00Z,0.2,0,91.67
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,147,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0,0.68,90.48
TSS,Total Suspended Solids,grab-nonsensor,mg/L,51,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0,0,88.24
Zn,Zinc,grab-nonsensor,mg/L,104,2009-07-29T00:00:00Z,2015-08-09T00:00:00Z,0,0,88.46
