VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,installed-sensor,L/s,7653,1999-11-02T00:00:00Z,2020-12-19T00:00:00Z,1,0,3.8
precipitation_ns,Basin Precip (nonstandard),installed-sensor,mm,3187,2009-04-11T00:00:00Z,2017-12-31T00:00:00Z,1,0,0
Ca,Calcium,grab-nonsensor,mg/L,2039,1999-10-06T00:00:00Z,2014-11-06T00:00:00Z,0.4,0,91.03
Cl,Chloride,grab-nonsensor,mg/L,7187,1998-12-05T00:00:00Z,2019-03-12T00:00:00Z,1,0,86.21
DO,Dissolved Oxygen,grab-nonsensor,mg/L,5304,2001-10-10T00:00:00Z,2017-11-17T00:00:00Z,0.9,0,87.5
Ecoli,Escherichia coli,grab-nonsensor,#/mL,1237,2001-10-10T00:00:00Z,2010-10-07T00:00:00Z,0.4,0,87.63
HCO3,Bicarbonate,grab-nonsensor,mg/L,2039,1999-10-06T00:00:00Z,2014-11-06T00:00:00Z,0.4,0,91.03
K,Potassium,grab-nonsensor,mg/L,2039,1999-10-06T00:00:00Z,2014-11-06T00:00:00Z,0.4,0,91.03
Mg,Magnesium,grab-nonsensor,mg/L,2039,1999-10-06T00:00:00Z,2014-11-06T00:00:00Z,0.4,0,91.03
Na,Sodium,grab-nonsensor,mg/L,2039,1999-10-06T00:00:00Z,2014-11-06T00:00:00Z,0.4,0,91.03
NO3_N,Nitrate-N,grab-nonsensor,mg/L,7131,1998-12-05T00:00:00Z,2019-01-15T00:00:00Z,1,0,86.22
pH,pH,grab-nonsensor,unitless,6166,2001-10-10T00:00:00Z,2019-05-25T00:00:00Z,1,0,86.78
PO4_P,Phosphate-P,grab-nonsensor,mg/L,7206,1998-12-05T00:00:00Z,2019-05-25T00:00:00Z,1,0,86.3
SO4_S,Sulfate-S,grab-nonsensor,mg/L,7187,1998-12-05T00:00:00Z,2019-03-12T00:00:00Z,1,0,86.23
spCond,Specific Conductivity,grab-nonsensor,uS/cm,1998,2013-12-05T00:00:00Z,2019-05-25T00:00:00Z,1,0,86.54
temp,Water Temperature,grab-nonsensor,degrees C,6221,2001-10-10T00:00:00Z,2019-05-25T00:00:00Z,1,0,86.67
TN,Total Nitrogen,grab-nonsensor,mg/L,6737,1999-11-16T00:00:00Z,2019-01-15T00:00:00Z,1,0,86.31
TP,Total Phosphorus,grab-nonsensor,mg/L,6696,1999-11-16T00:00:00Z,2019-01-15T00:00:00Z,1,0,86.32
turbid,Turbidity,grab-nonsensor,FNU,5934,2001-10-10T00:00:00Z,2019-05-25T00:00:00Z,0.9,0,86.69
Ca,Calcium,grab-nonsensor,mg/L,1956,1999-11-02T00:00:00Z,2014-11-06T00:00:00Z,0.4,0,91.16
Cl,Chloride,grab-nonsensor,mg/L,6789,1999-11-02T00:00:00Z,2019-03-12T00:00:00Z,1,0,86.71
HCO3,Bicarbonate,grab-nonsensor,mg/L,1956,1999-11-02T00:00:00Z,2014-11-06T00:00:00Z,0.4,0,91.16
K,Potassium,grab-nonsensor,mg/L,1956,1999-11-02T00:00:00Z,2014-11-06T00:00:00Z,0.4,0,91.16
Mg,Magnesium,grab-nonsensor,mg/L,1956,1999-11-02T00:00:00Z,2014-11-06T00:00:00Z,0.4,0,91.16
Na,Sodium,grab-nonsensor,mg/L,1956,1999-11-02T00:00:00Z,2014-11-06T00:00:00Z,0.4,0,91.16
NO3_N,Nitrate-N,grab-nonsensor,mg/L,6733,1999-11-02T00:00:00Z,2019-01-15T00:00:00Z,1,0,86.72
PO4_P,Phosphate-P,grab-nonsensor,mg/L,6808,1999-11-02T00:00:00Z,2019-05-25T00:00:00Z,1,0,86.75
SO4_S,Sulfate-S,grab-nonsensor,mg/L,6789,1999-11-02T00:00:00Z,2019-03-12T00:00:00Z,1,0,86.73
TN,Total Nitrogen,grab-nonsensor,mg/L,6671,1999-11-16T00:00:00Z,2019-01-15T00:00:00Z,1,0,86.78
TP,Total Phosphorus,grab-nonsensor,mg/L,6630,1999-11-16T00:00:00Z,2019-01-15T00:00:00Z,0.9,0,86.8
