VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,installed-sensor,L/s,7932,1998-10-28T00:00:00Z,2020-12-01T00:00:00Z,1,0,3.01
precipitation_ns,Basin Precip (nonstandard),installed-sensor,mm,3187,2009-04-11T00:00:00Z,2017-12-31T00:00:00Z,1,0,0
Cl,Chloride,grab-nonsensor,mg/L,1480,1998-10-16T00:00:00Z,2019-03-12T00:00:00Z,0.2,0,85.47
DO,Dissolved Oxygen,grab-nonsensor,mg/L,228,2001-11-01T00:00:00Z,2018-03-16T00:00:00Z,0,0,84.21
Ecoli,Escherichia coli,grab-nonsensor,#/mL,203,2001-11-01T00:00:00Z,2002-11-13T00:00:00Z,0.5,0,90.15
NO3_N,Nitrate-N,grab-nonsensor,mg/L,1420,1998-10-16T00:00:00Z,2019-01-11T00:00:00Z,0.2,0,85.35
pH,pH,grab-nonsensor,unitless,397,2001-11-01T00:00:00Z,2019-06-08T00:00:00Z,0.1,0,84.38
PO4_P,Phosphate-P,grab-nonsensor,mg/L,1546,1998-10-16T00:00:00Z,2019-06-08T00:00:00Z,0.2,0,85.71
SO4_S,Sulfate-S,grab-nonsensor,mg/L,1480,1998-10-16T00:00:00Z,2019-03-12T00:00:00Z,0.2,0,85.47
spCond,Specific Conductivity,grab-nonsensor,uS/cm,172,2014-01-30T00:00:00Z,2019-06-08T00:00:00Z,0.1,0,84.3
temp,Water Temperature,grab-nonsensor,degrees C,396,2001-11-01T00:00:00Z,2019-06-08T00:00:00Z,0.1,0,84.34
TN,Total Nitrogen,grab-nonsensor,mg/L,1198,1998-11-20T00:00:00Z,2019-01-11T00:00:00Z,0.2,0,85.73
TP,Total Phosphorus,grab-nonsensor,mg/L,1001,1999-11-16T00:00:00Z,2019-01-11T00:00:00Z,0.1,0,85.61
turbid,Turbidity,grab-nonsensor,FNU,430,2001-11-01T00:00:00Z,2019-06-08T00:00:00Z,0.1,0,85.35
Cl,Chloride,grab-nonsensor,mg/L,1468,1998-10-28T00:00:00Z,2019-03-12T00:00:00Z,0.2,0,85.9
NO3_N,Nitrate-N,grab-nonsensor,mg/L,1408,1998-10-28T00:00:00Z,2019-01-11T00:00:00Z,0.2,0,85.8
PO4_P,Phosphate-P,grab-nonsensor,mg/L,1534,1998-10-28T00:00:00Z,2019-06-08T00:00:00Z,0.2,0,86.11
SO4_S,Sulfate-S,grab-nonsensor,mg/L,1468,1998-10-28T00:00:00Z,2019-03-12T00:00:00Z,0.2,0,85.9
TN,Total Nitrogen,grab-nonsensor,mg/L,1198,1998-11-20T00:00:00Z,2019-01-11T00:00:00Z,0.2,0,86.14
TP,Total Phosphorus,grab-nonsensor,mg/L,1001,1999-11-16T00:00:00Z,2019-01-11T00:00:00Z,0.1,0,86.11
