VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,installed-sensor,L/s,8116,1998-10-01T00:00:00Z,2020-12-19T00:00:00Z,1,0,3.08
precipitation_ns,Basin Precip (nonstandard),installed-sensor,mm,3187,2009-04-11T00:00:00Z,2017-12-31T00:00:00Z,1,0,0
Ca,Calcium,grab-nonsensor,mg/L,1666,1998-10-16T00:00:00Z,2014-11-06T00:00:00Z,0.3,0,89.44
Cl,Chloride,grab-nonsensor,mg/L,7093,1998-10-16T00:00:00Z,2019-03-12T00:00:00Z,1,0,86.9
DO,Dissolved Oxygen,grab-nonsensor,mg/L,5210,2001-10-03T00:00:00Z,2017-11-17T00:00:00Z,0.9,0,87.95
Ecoli,Escherichia coli,grab-nonsensor,#/mL,1245,2001-10-03T00:00:00Z,2008-03-26T00:00:00Z,0.5,0,88.19
HCO3,Bicarbonate,grab-nonsensor,mg/L,1666,1998-10-16T00:00:00Z,2014-11-06T00:00:00Z,0.3,0,89.44
K,Potassium,grab-nonsensor,mg/L,1666,1998-10-16T00:00:00Z,2014-11-06T00:00:00Z,0.3,0,89.44
Mg,Magnesium,grab-nonsensor,mg/L,1666,1998-10-16T00:00:00Z,2014-11-06T00:00:00Z,0.3,0,89.44
Na,Sodium,grab-nonsensor,mg/L,1666,1998-10-16T00:00:00Z,2014-11-06T00:00:00Z,0.3,0,89.44
NO3_N,Nitrate-N,grab-nonsensor,mg/L,7037,1998-10-16T00:00:00Z,2019-01-15T00:00:00Z,1,0,86.93
pH,pH,grab-nonsensor,unitless,6043,2001-10-03T00:00:00Z,2019-06-08T00:00:00Z,0.9,0,87.21
PO4_P,Phosphate-P,grab-nonsensor,mg/L,7126,1998-10-16T00:00:00Z,2019-06-08T00:00:00Z,0.9,0,86.94
SO4_S,Sulfate-S,grab-nonsensor,mg/L,7093,1998-10-16T00:00:00Z,2019-03-12T00:00:00Z,1,0,86.92
spCond,Specific Conductivity,grab-nonsensor,uS/cm,1868,2013-12-05T00:00:00Z,2019-06-08T00:00:00Z,0.9,0,87.47
temp,Water Temperature,grab-nonsensor,degrees C,6098,2001-10-03T00:00:00Z,2019-06-08T00:00:00Z,0.9,0,87.16
TN,Total Nitrogen,grab-nonsensor,mg/L,6593,1999-11-16T00:00:00Z,2019-01-15T00:00:00Z,0.9,0,87.03
TP,Total Phosphorus,grab-nonsensor,mg/L,6531,1999-11-16T00:00:00Z,2019-01-15T00:00:00Z,0.9,0,86.85
turbid,Turbidity,grab-nonsensor,FNU,5811,2001-10-03T00:00:00Z,2019-06-08T00:00:00Z,0.9,0,87.33
Ca,Calcium,grab-nonsensor,mg/L,1666,1998-10-16T00:00:00Z,2014-11-06T00:00:00Z,0.3,0,89.56
Cl,Chloride,grab-nonsensor,mg/L,7093,1998-10-16T00:00:00Z,2019-03-12T00:00:00Z,1,0,87.23
HCO3,Bicarbonate,grab-nonsensor,mg/L,1666,1998-10-16T00:00:00Z,2014-11-06T00:00:00Z,0.3,0,89.56
K,Potassium,grab-nonsensor,mg/L,1666,1998-10-16T00:00:00Z,2014-11-06T00:00:00Z,0.3,0,89.56
Mg,Magnesium,grab-nonsensor,mg/L,1666,1998-10-16T00:00:00Z,2014-11-06T00:00:00Z,0.3,0,89.56
Na,Sodium,grab-nonsensor,mg/L,1666,1998-10-16T00:00:00Z,2014-11-06T00:00:00Z,0.3,0,89.56
NO3_N,Nitrate-N,grab-nonsensor,mg/L,7037,1998-10-16T00:00:00Z,2019-01-15T00:00:00Z,1,0,87.25
PO4_P,Phosphate-P,grab-nonsensor,mg/L,7126,1998-10-16T00:00:00Z,2019-06-08T00:00:00Z,0.9,0,87.24
SO4_S,Sulfate-S,grab-nonsensor,mg/L,7093,1998-10-16T00:00:00Z,2019-03-12T00:00:00Z,1,0,87.24
TN,Total Nitrogen,grab-nonsensor,mg/L,6593,1999-11-16T00:00:00Z,2019-01-15T00:00:00Z,0.9,0,87.3
TP,Total Phosphorus,grab-nonsensor,mg/L,6531,1999-11-16T00:00:00Z,2019-01-15T00:00:00Z,0.9,0,87.12
