VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,installed-sensor,L/s,7431,1998-10-01T00:00:00Z,2019-06-07T00:00:00Z,1,0,2.89
precipitation_ns,Basin Precip (nonstandard),installed-sensor,mm,3187,2009-04-11T00:00:00Z,2017-12-31T00:00:00Z,1,0,0
Ca,Calcium,grab-nonsensor,mg/L,1668,1998-10-16T00:00:00Z,2014-11-06T00:00:00Z,0.3,0,89.21
Cl,Chloride,grab-nonsensor,mg/L,7016,1998-10-16T00:00:00Z,2019-03-12T00:00:00Z,0.9,0,86.47
DO,Dissolved Oxygen,grab-nonsensor,mg/L,5119,2001-10-10T00:00:00Z,2017-11-17T00:00:00Z,0.9,0,87.52
Ecoli,Escherichia coli,grab-nonsensor,#/mL,819,2001-10-10T00:00:00Z,2016-06-16T00:00:00Z,0.2,0,87.18
HCO3,Bicarbonate,grab-nonsensor,mg/L,1668,1998-10-16T00:00:00Z,2014-11-06T00:00:00Z,0.3,0,89.21
K,Potassium,grab-nonsensor,mg/L,1668,1998-10-16T00:00:00Z,2014-11-06T00:00:00Z,0.3,0,89.21
Mg,Magnesium,grab-nonsensor,mg/L,1668,1998-10-16T00:00:00Z,2014-11-06T00:00:00Z,0.3,0,89.21
Na,Sodium,grab-nonsensor,mg/L,1668,1998-10-16T00:00:00Z,2014-11-06T00:00:00Z,0.3,0,89.21
NO3_N,Nitrate-N,grab-nonsensor,mg/L,6952,1998-10-16T00:00:00Z,2019-01-15T00:00:00Z,0.9,0,86.45
pH,pH,grab-nonsensor,unitless,5871,2001-10-10T00:00:00Z,2019-03-12T00:00:00Z,0.9,0,86.68
PO4_P,Phosphate-P,grab-nonsensor,mg/L,6961,1998-10-16T00:00:00Z,2019-03-12T00:00:00Z,0.9,0,86.48
SO4_S,Sulfate-S,grab-nonsensor,mg/L,7016,1998-10-16T00:00:00Z,2019-03-12T00:00:00Z,0.9,0,86.43
spCond,Specific Conductivity,grab-nonsensor,uS/cm,1877,2002-11-27T00:00:00Z,2019-03-12T00:00:00Z,0.3,0,86.89
temp,Water Temperature,grab-nonsensor,degrees C,5926,2001-10-10T00:00:00Z,2019-03-12T00:00:00Z,0.9,0,86.67
TN,Total Nitrogen,grab-nonsensor,mg/L,6482,1999-11-16T00:00:00Z,2019-01-15T00:00:00Z,0.9,0,86.45
TP,Total Phosphorus,grab-nonsensor,mg/L,6461,1999-11-16T00:00:00Z,2019-01-15T00:00:00Z,0.9,0,86.47
turbid,Turbidity,grab-nonsensor,FNU,5629,2001-10-10T00:00:00Z,2019-03-09T00:00:00Z,0.9,0,86.64
Ca,Calcium,grab-nonsensor,mg/L,1652,1998-10-16T00:00:00Z,2014-11-06T00:00:00Z,0.3,0,89.77
Cl,Chloride,grab-nonsensor,mg/L,6892,1998-10-16T00:00:00Z,2019-03-12T00:00:00Z,0.9,0,86.84
HCO3,Bicarbonate,grab-nonsensor,mg/L,1652,1998-10-16T00:00:00Z,2014-11-06T00:00:00Z,0.3,0,89.77
K,Potassium,grab-nonsensor,mg/L,1652,1998-10-16T00:00:00Z,2014-11-06T00:00:00Z,0.3,0,89.77
Mg,Magnesium,grab-nonsensor,mg/L,1652,1998-10-16T00:00:00Z,2014-11-06T00:00:00Z,0.3,0,89.77
Na,Sodium,grab-nonsensor,mg/L,1652,1998-10-16T00:00:00Z,2014-11-06T00:00:00Z,0.3,0,89.77
NO3_N,Nitrate-N,grab-nonsensor,mg/L,6828,1998-10-16T00:00:00Z,2019-01-15T00:00:00Z,0.9,0,86.82
PO4_P,Phosphate-P,grab-nonsensor,mg/L,6837,1998-10-16T00:00:00Z,2019-03-12T00:00:00Z,0.9,0,86.85
SO4_S,Sulfate-S,grab-nonsensor,mg/L,6892,1998-10-16T00:00:00Z,2019-03-12T00:00:00Z,0.9,0,86.8
TN,Total Nitrogen,grab-nonsensor,mg/L,6390,1999-11-16T00:00:00Z,2019-01-15T00:00:00Z,0.9,0,86.76
TP,Total Phosphorus,grab-nonsensor,mg/L,6369,1999-11-16T00:00:00Z,2019-01-15T00:00:00Z,0.9,0,86.78
