VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,installed-sensor,L/s,8944,1981-02-02T00:00:00Z,2020-12-19T00:00:00Z,0.6,0,3.57
precipitation_ns,Basin Precip (nonstandard),installed-sensor,mm,3187,2009-04-11T00:00:00Z,2017-12-31T00:00:00Z,1,0,0
Cl,Chloride,grab-nonsensor,mg/L,4667,1998-10-16T00:00:00Z,2019-03-12T00:00:00Z,0.6,0,87.74
DO,Dissolved Oxygen,grab-nonsensor,mg/L,2893,2001-10-03T00:00:00Z,2017-11-17T00:00:00Z,0.5,0,88.59
Ecoli,Escherichia coli,grab-nonsensor,#/mL,544,2001-10-03T00:00:00Z,2010-11-11T00:00:00Z,0.2,0,88.24
NO3_N,Nitrate-N,grab-nonsensor,mg/L,4611,1998-10-16T00:00:00Z,2019-01-15T00:00:00Z,0.6,0,87.77
pH,pH,grab-nonsensor,unitless,3417,2001-10-03T00:00:00Z,2019-06-08T00:00:00Z,0.5,0,88.35
PO4_P,Phosphate-P,grab-nonsensor,mg/L,4686,1998-10-16T00:00:00Z,2019-06-08T00:00:00Z,0.6,0,87.73
SO4_S,Sulfate-S,grab-nonsensor,mg/L,4653,1998-10-16T00:00:00Z,2019-03-12T00:00:00Z,0.6,0,87.71
spCond,Specific Conductivity,grab-nonsensor,uS/cm,945,2013-12-05T00:00:00Z,2019-06-08T00:00:00Z,0.5,0,87.51
temp,Water Temperature,grab-nonsensor,degrees C,3446,2001-10-03T00:00:00Z,2019-06-08T00:00:00Z,0.5,0,88.25
TN,Total Nitrogen,grab-nonsensor,mg/L,4152,1999-11-16T00:00:00Z,2019-01-15T00:00:00Z,0.6,0,87.98
TP,Total Phosphorus,grab-nonsensor,mg/L,4166,1999-11-16T00:00:00Z,2019-01-15T00:00:00Z,0.6,0,87.95
turbid,Turbidity,grab-nonsensor,FNU,3303,2001-10-03T00:00:00Z,2019-06-08T00:00:00Z,0.5,0,88.37
Cl,Chloride,grab-nonsensor,mg/L,4667,1998-10-16T00:00:00Z,2019-03-12T00:00:00Z,0.6,0,88.24
NO3_N,Nitrate-N,grab-nonsensor,mg/L,4611,1998-10-16T00:00:00Z,2019-01-15T00:00:00Z,0.6,0,88.29
PO4_P,Phosphate-P,grab-nonsensor,mg/L,4686,1998-10-16T00:00:00Z,2019-06-08T00:00:00Z,0.6,0,88.24
SO4_S,Sulfate-S,grab-nonsensor,mg/L,4653,1998-10-16T00:00:00Z,2019-03-12T00:00:00Z,0.6,0,88.22
TN,Total Nitrogen,grab-nonsensor,mg/L,4152,1999-11-16T00:00:00Z,2019-01-15T00:00:00Z,0.6,0,88.54
TP,Total Phosphorus,grab-nonsensor,mg/L,4166,1999-11-16T00:00:00Z,2019-01-15T00:00:00Z,0.6,0,88.5
