VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
Cl,Chloride,grab-nonsensor,mg/L,3642,2003-08-20T00:00:00Z,2010-05-12T00:00:00Z,1.5,0,90.72
DO,Dissolved Oxygen,grab-nonsensor,mg/L,4,2007-12-12T00:00:00Z,2008-12-24T00:00:00Z,0,0,0
Ecoli,Escherichia coli,grab-nonsensor,#/mL,916,2003-08-20T00:00:00Z,2010-03-05T00:00:00Z,0.4,0,90.83
NO3_N,Nitrate-N,grab-nonsensor,mg/L,3642,2003-08-20T00:00:00Z,2010-05-12T00:00:00Z,1.5,0,90.72
pH,pH,grab-nonsensor,unitless,3098,2003-11-26T00:00:00Z,2010-05-12T00:00:00Z,1.3,0,90.32
PO4_P,Phosphate-P,grab-nonsensor,mg/L,3504,2003-08-20T00:00:00Z,2010-05-12T00:00:00Z,1.4,0,90.81
SO4_S,Sulfate-S,grab-nonsensor,mg/L,3642,2003-08-20T00:00:00Z,2010-05-12T00:00:00Z,1.5,0,90.72
temp,Water Temperature,grab-nonsensor,degrees C,3098,2003-11-26T00:00:00Z,2010-05-12T00:00:00Z,1.3,0,90.32
TN,Total Nitrogen,grab-nonsensor,mg/L,3780,2003-08-20T00:00:00Z,2010-05-12T00:00:00Z,1.5,0,90.95
TP,Total Phosphorus,grab-nonsensor,mg/L,3724,2003-08-20T00:00:00Z,2010-05-12T00:00:00Z,1.5,0,90.92
turbid,Turbidity,grab-nonsensor,FNU,3282,2003-10-15T00:00:00Z,2010-05-12T00:00:00Z,1.4,0,90.25
