VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
Cl,Chloride,grab-nonsensor,mg/L,1369,2003-08-20T00:00:00Z,2010-06-09T00:00:00Z,0.6,0,90.28
Ecoli,Escherichia coli,grab-nonsensor,#/mL,226,2003-08-20T00:00:00Z,2008-03-05T00:00:00Z,0.1,0,91.15
NO3_N,Nitrate-N,grab-nonsensor,mg/L,1369,2003-08-20T00:00:00Z,2010-06-09T00:00:00Z,0.6,0,90.28
pH,pH,grab-nonsensor,unitless,1238,2004-01-22T00:00:00Z,2010-06-09T00:00:00Z,0.5,0,90.31
PO4_P,Phosphate-P,grab-nonsensor,mg/L,1326,2003-08-20T00:00:00Z,2010-06-09T00:00:00Z,0.5,0,90.35
SO4_S,Sulfate-S,grab-nonsensor,mg/L,1369,2003-08-20T00:00:00Z,2010-06-09T00:00:00Z,0.6,0,90.28
temp,Water Temperature,grab-nonsensor,degrees C,1238,2004-01-22T00:00:00Z,2010-06-09T00:00:00Z,0.5,0,90.31
TN,Total Nitrogen,grab-nonsensor,mg/L,1403,2003-08-20T00:00:00Z,2010-06-09T00:00:00Z,0.6,0,90.66
TP,Total Phosphorus,grab-nonsensor,mg/L,1383,2003-08-20T00:00:00Z,2010-06-09T00:00:00Z,0.6,0,90.53
turbid,Turbidity,grab-nonsensor,FNU,1374,2003-10-15T00:00:00Z,2010-06-09T00:00:00Z,0.6,0,90.54
