VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,installed-sensor,L/s,1460,2001-10-02T00:00:00Z,2005-09-30T00:00:00Z,1,0,0
precipitation_ns,Basin Precip (nonstandard),installed-sensor,mm,3187,2009-04-11T00:00:00Z,2017-12-31T00:00:00Z,1,0,0
Cl,Chloride,grab-nonsensor,mg/L,36,2004-04-07T00:00:00Z,2013-04-04T00:00:00Z,0,0,72.22
DO,Dissolved Oxygen,grab-nonsensor,mg/L,34,2004-04-07T00:00:00Z,2013-04-04T00:00:00Z,0,0,76.47
Ecoli,Escherichia coli,grab-nonsensor,#/mL,1,2004-04-07T00:00:00Z,2004-04-07T00:00:00Z,Inf,0,0
NO3_N,Nitrate-N,grab-nonsensor,mg/L,36,2004-04-07T00:00:00Z,2013-04-04T00:00:00Z,0,0,72.22
pH,pH,grab-nonsensor,unitless,35,2004-04-07T00:00:00Z,2013-04-04T00:00:00Z,0,0,74.29
PO4_P,Phosphate-P,grab-nonsensor,mg/L,36,2004-04-07T00:00:00Z,2013-04-04T00:00:00Z,0,0,72.22
SO4_S,Sulfate-S,grab-nonsensor,mg/L,36,2004-04-07T00:00:00Z,2013-04-04T00:00:00Z,0,0,72.22
temp,Water Temperature,grab-nonsensor,degrees C,35,2004-04-07T00:00:00Z,2013-04-04T00:00:00Z,0,0,74.29
TN,Total Nitrogen,grab-nonsensor,mg/L,36,2004-04-07T00:00:00Z,2013-04-04T00:00:00Z,0,0,72.22
TP,Total Phosphorus,grab-nonsensor,mg/L,36,2004-04-07T00:00:00Z,2013-04-04T00:00:00Z,0,0,72.22
turbid,Turbidity,grab-nonsensor,FNU,35,2004-04-07T00:00:00Z,2013-04-04T00:00:00Z,0,0,74.29
Cl,Chloride,grab-nonsensor,mg/L,1,2004-04-07T00:00:00Z,2004-04-07T00:00:00Z,Inf,0,0
NO3_N,Nitrate-N,grab-nonsensor,mg/L,1,2004-04-07T00:00:00Z,2004-04-07T00:00:00Z,Inf,0,0
PO4_P,Phosphate-P,grab-nonsensor,mg/L,1,2004-04-07T00:00:00Z,2004-04-07T00:00:00Z,Inf,0,0
SO4_S,Sulfate-S,grab-nonsensor,mg/L,1,2004-04-07T00:00:00Z,2004-04-07T00:00:00Z,Inf,0,0
TN,Total Nitrogen,grab-nonsensor,mg/L,1,2004-04-07T00:00:00Z,2004-04-07T00:00:00Z,Inf,0,0
TP,Total Phosphorus,grab-nonsensor,mg/L,1,2004-04-07T00:00:00Z,2004-04-07T00:00:00Z,Inf,0,0
