VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,installed-sensor,L/s,7129,1999-12-01T00:00:00Z,2019-06-07T00:00:00Z,1,0,0.66
precipitation_ns,Basin Precip (nonstandard),installed-sensor,mm,3187,2009-04-11T00:00:00Z,2017-12-31T00:00:00Z,1,0,0
Ca,Calcium,grab-nonsensor,mg/L,421,2000-02-29T00:00:00Z,2014-11-06T00:00:00Z,0.1,0,82.42
Cl,Chloride,grab-nonsensor,mg/L,5685,1999-12-10T00:00:00Z,2018-05-04T00:00:00Z,0.8,0,89.2
DO,Dissolved Oxygen,grab-nonsensor,mg/L,4350,2001-10-03T00:00:00Z,2017-11-17T00:00:00Z,0.7,0,90
Ecoli,Escherichia coli,grab-nonsensor,#/mL,962,2001-10-03T00:00:00Z,2008-03-26T00:00:00Z,0.4,0,88.88
HCO3,Bicarbonate,grab-nonsensor,mg/L,421,2000-02-29T00:00:00Z,2014-11-06T00:00:00Z,0.1,0,82.42
K,Potassium,grab-nonsensor,mg/L,421,2000-02-29T00:00:00Z,2014-11-06T00:00:00Z,0.1,0,82.42
Mg,Magnesium,grab-nonsensor,mg/L,421,2000-02-29T00:00:00Z,2014-11-06T00:00:00Z,0.1,0,82.42
Na,Sodium,grab-nonsensor,mg/L,421,2000-02-29T00:00:00Z,2014-11-06T00:00:00Z,0.1,0,82.42
NO3_N,Nitrate-N,grab-nonsensor,mg/L,5583,1999-12-10T00:00:00Z,2018-05-04T00:00:00Z,0.8,0,89.04
pH,pH,grab-nonsensor,unitless,4945,2001-10-03T00:00:00Z,2018-05-04T00:00:00Z,0.8,0,89.73
PO4_P,Phosphate-P,grab-nonsensor,mg/L,5575,1999-12-10T00:00:00Z,2018-05-04T00:00:00Z,0.8,0,89.06
SO4_S,Sulfate-S,grab-nonsensor,mg/L,5685,1999-12-10T00:00:00Z,2018-05-04T00:00:00Z,0.8,0,89.2
spCond,Specific Conductivity,grab-nonsensor,uS/cm,1334,2013-12-05T00:00:00Z,2018-05-04T00:00:00Z,0.8,0,89.81
temp,Water Temperature,grab-nonsensor,degrees C,5008,2001-10-03T00:00:00Z,2018-05-04T00:00:00Z,0.8,0,89.72
TN,Total Nitrogen,grab-nonsensor,mg/L,5623,1999-12-10T00:00:00Z,2018-05-04T00:00:00Z,0.8,0,89.13
TP,Total Phosphorus,grab-nonsensor,mg/L,5629,1999-12-10T00:00:00Z,2018-05-04T00:00:00Z,0.8,0,89.2
turbid,Turbidity,grab-nonsensor,FNU,4762,2001-10-03T00:00:00Z,2018-05-04T00:00:00Z,0.8,0,89.82
Ca,Calcium,grab-nonsensor,mg/L,421,2000-02-29T00:00:00Z,2014-11-06T00:00:00Z,0.1,0,82.9
Cl,Chloride,grab-nonsensor,mg/L,5685,1999-12-10T00:00:00Z,2018-05-04T00:00:00Z,0.8,0,89.36
HCO3,Bicarbonate,grab-nonsensor,mg/L,421,2000-02-29T00:00:00Z,2014-11-06T00:00:00Z,0.1,0,82.9
K,Potassium,grab-nonsensor,mg/L,421,2000-02-29T00:00:00Z,2014-11-06T00:00:00Z,0.1,0,82.9
Mg,Magnesium,grab-nonsensor,mg/L,421,2000-02-29T00:00:00Z,2014-11-06T00:00:00Z,0.1,0,82.9
Na,Sodium,grab-nonsensor,mg/L,421,2000-02-29T00:00:00Z,2014-11-06T00:00:00Z,0.1,0,82.9
NO3_N,Nitrate-N,grab-nonsensor,mg/L,5583,1999-12-10T00:00:00Z,2018-05-04T00:00:00Z,0.8,0,89.2
PO4_P,Phosphate-P,grab-nonsensor,mg/L,5575,1999-12-10T00:00:00Z,2018-05-04T00:00:00Z,0.8,0,89.24
SO4_S,Sulfate-S,grab-nonsensor,mg/L,5685,1999-12-10T00:00:00Z,2018-05-04T00:00:00Z,0.8,0,89.36
TN,Total Nitrogen,grab-nonsensor,mg/L,5623,1999-12-10T00:00:00Z,2018-05-04T00:00:00Z,0.8,0,89.31
TP,Total Phosphorus,grab-nonsensor,mg/L,5629,1999-12-10T00:00:00Z,2018-05-04T00:00:00Z,0.8,0,89.38
