VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,installed-sensor,L/s,8153,1998-04-16T00:00:00Z,2020-12-01T00:00:00Z,1,0,5.68
precipitation_ns,Basin Precip (nonstandard),installed-sensor,mm,3187,2009-04-11T00:00:00Z,2017-12-31T00:00:00Z,1,0,0
Ca,Calcium,grab-nonsensor,mg/L,650,1998-10-16T00:00:00Z,2014-11-06T00:00:00Z,0.1,0,84.62
Cl,Chloride,grab-nonsensor,mg/L,7229,1998-10-16T00:00:00Z,2019-03-12T00:00:00Z,1,0,86.33
DO,Dissolved Oxygen,grab-nonsensor,mg/L,5311,2001-10-03T00:00:00Z,2017-11-17T00:00:00Z,0.9,0,87.55
Ecoli,Escherichia coli,grab-nonsensor,#/mL,1244,2001-10-03T00:00:00Z,2010-10-07T00:00:00Z,0.4,0,87.94
HCO3,Bicarbonate,grab-nonsensor,mg/L,650,1998-10-16T00:00:00Z,2014-11-06T00:00:00Z,0.1,0,84.62
K,Potassium,grab-nonsensor,mg/L,650,1998-10-16T00:00:00Z,2014-11-06T00:00:00Z,0.1,0,84.62
Mg,Magnesium,grab-nonsensor,mg/L,650,1998-10-16T00:00:00Z,2014-11-06T00:00:00Z,0.1,0,84.62
Na,Sodium,grab-nonsensor,mg/L,650,1998-10-16T00:00:00Z,2014-11-06T00:00:00Z,0.1,0,84.62
NO3_N,Nitrate-N,grab-nonsensor,mg/L,7181,1998-10-16T00:00:00Z,2019-01-15T00:00:00Z,1,0,86.3
pH,pH,grab-nonsensor,unitless,6173,2001-10-03T00:00:00Z,2019-05-25T00:00:00Z,1,0,86.83
PO4_P,Phosphate-P,grab-nonsensor,mg/L,7256,1998-10-16T00:00:00Z,2019-05-25T00:00:00Z,1,0,86.34
SO4_S,Sulfate-S,grab-nonsensor,mg/L,7237,1998-10-16T00:00:00Z,2019-03-12T00:00:00Z,1,0,86.32
spCond,Specific Conductivity,grab-nonsensor,uS/cm,1998,2013-12-05T00:00:00Z,2019-05-25T00:00:00Z,1,0,86.69
temp,Water Temperature,grab-nonsensor,degrees C,6228,2001-10-03T00:00:00Z,2019-05-25T00:00:00Z,1,0,86.79
TN,Total Nitrogen,grab-nonsensor,mg/L,6934,1998-11-20T00:00:00Z,2019-01-15T00:00:00Z,0.9,0,86.44
TP,Total Phosphorus,grab-nonsensor,mg/L,6696,1999-11-16T00:00:00Z,2019-01-15T00:00:00Z,1,0,86.29
turbid,Turbidity,grab-nonsensor,FNU,5941,2001-10-03T00:00:00Z,2019-05-25T00:00:00Z,0.9,0,86.79
Ca,Calcium,grab-nonsensor,mg/L,649,1998-10-16T00:00:00Z,2014-11-06T00:00:00Z,0.1,0,85.36
Cl,Chloride,grab-nonsensor,mg/L,7180,1998-10-16T00:00:00Z,2019-03-12T00:00:00Z,1,0,87.09
HCO3,Bicarbonate,grab-nonsensor,mg/L,649,1998-10-16T00:00:00Z,2014-11-06T00:00:00Z,0.1,0,85.36
K,Potassium,grab-nonsensor,mg/L,649,1998-10-16T00:00:00Z,2014-11-06T00:00:00Z,0.1,0,85.36
Mg,Magnesium,grab-nonsensor,mg/L,649,1998-10-16T00:00:00Z,2014-11-06T00:00:00Z,0.1,0,85.36
Na,Sodium,grab-nonsensor,mg/L,649,1998-10-16T00:00:00Z,2014-11-06T00:00:00Z,0.1,0,85.36
NO3_N,Nitrate-N,grab-nonsensor,mg/L,7132,1998-10-16T00:00:00Z,2019-01-15T00:00:00Z,1,0,87.06
PO4_P,Phosphate-P,grab-nonsensor,mg/L,7207,1998-10-16T00:00:00Z,2019-05-25T00:00:00Z,1,0,87.03
SO4_S,Sulfate-S,grab-nonsensor,mg/L,7188,1998-10-16T00:00:00Z,2019-03-12T00:00:00Z,1,0,87.08
TN,Total Nitrogen,grab-nonsensor,mg/L,6913,1998-11-20T00:00:00Z,2019-01-15T00:00:00Z,0.9,0,87.14
TP,Total Phosphorus,grab-nonsensor,mg/L,6675,1999-11-16T00:00:00Z,2019-01-15T00:00:00Z,1,0,86.94
