VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
Cl,Chloride,grab-nonsensor,mg/L,1450,1999-02-26T00:00:00Z,2017-01-13T00:00:00Z,0.2,0,86.41
DO,Dissolved Oxygen,grab-nonsensor,mg/L,414,2003-03-20T00:00:00Z,2017-01-13T00:00:00Z,0.1,0,86.23
Ecoli,Escherichia coli,grab-nonsensor,#/mL,49,2002-03-19T00:00:00Z,2007-11-14T00:00:00Z,0,0,81.63
NO3_N,Nitrate-N,grab-nonsensor,mg/L,1483,1999-02-26T00:00:00Z,2017-01-13T00:00:00Z,0.2,0,86.58
pH,pH,grab-nonsensor,unitless,467,2003-03-20T00:00:00Z,2017-01-13T00:00:00Z,0.1,0,86.08
PO4_P,Phosphate-P,grab-nonsensor,mg/L,1527,1999-02-26T00:00:00Z,2017-01-13T00:00:00Z,0.2,0,87.23
SO4_S,Sulfate-S,grab-nonsensor,mg/L,1518,1999-02-26T00:00:00Z,2017-01-13T00:00:00Z,0.2,0,86.82
spCond,Specific Conductivity,grab-nonsensor,uS/cm,164,2013-12-05T00:00:00Z,2017-01-13T00:00:00Z,0.1,0,84.15
temp,Water Temperature,grab-nonsensor,degrees C,507,2003-03-20T00:00:00Z,2017-01-13T00:00:00Z,0.1,0,86.98
TN,Total Nitrogen,grab-nonsensor,mg/L,1204,1999-11-16T00:00:00Z,2017-01-13T00:00:00Z,0.2,0,87.21
TP,Total Phosphorus,grab-nonsensor,mg/L,1216,1999-11-16T00:00:00Z,2017-01-13T00:00:00Z,0.2,0,87.17
turbid,Turbidity,grab-nonsensor,FNU,566,2002-03-12T00:00:00Z,2017-01-13T00:00:00Z,0.1,0,86.04
