VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
abs254,UV Absorbance at 254nm,grab-nonsensor,unitless,1613,2002-05-21T00:00:00Z,2018-08-14T00:00:00Z,0.3,0,53.63
Al,Aluminum,grab-nonsensor,mg/l,1662,2002-05-21T00:00:00Z,2018-08-14T00:00:00Z,0.3,0,56.2
Ca,Calcium,grab-nonsensor,mg/L,1657,2002-05-21T00:00:00Z,2018-08-14T00:00:00Z,0.3,0,58.06
Cl,Chloride,grab-nonsensor,mg/L,1655,2002-05-21T00:00:00Z,2018-08-14T00:00:00Z,0.3,0,56.37
DIC,Dissolved Inorganic Carbon,grab-nonsensor,mg/L,1662,2002-05-21T00:00:00Z,2018-08-14T00:00:00Z,0.3,0,54.09
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,1662,2002-05-21T00:00:00Z,2018-08-14T00:00:00Z,0.3,0,53.07
DON,Dissolved Organic Nitrogen,grab-nonsensor,mg/L,1632,2002-05-21T00:00:00Z,2018-08-14T00:00:00Z,0.3,0,53.49
K,Potassium,grab-nonsensor,mg/L,1659,2002-05-21T00:00:00Z,2018-08-14T00:00:00Z,0.3,0,58.71
Mg,Magnesium,grab-nonsensor,mg/L,1657,2002-05-21T00:00:00Z,2018-08-14T00:00:00Z,0.3,0,58.06
Na,Sodium,grab-nonsensor,mg/L,1613,2002-05-21T00:00:00Z,2018-08-14T00:00:00Z,0.3,0,57.53
NO3_N,Nitrate-N,grab-nonsensor,mg/L,1656,2002-05-21T00:00:00Z,2018-08-14T00:00:00Z,0.3,0,53.93
pH,pH,grab-nonsensor,unitless,1428,2002-05-21T00:00:00Z,2018-08-14T00:00:00Z,0.2,0,57.35
SiO2_Si,NA,grab-nonsensor,NA,1274,2002-05-21T00:00:00Z,2018-08-14T00:00:00Z,0.2,0,86.73
SO4_S,Sulfate-S,grab-nonsensor,mg/L,1656,2002-05-21T00:00:00Z,2018-08-14T00:00:00Z,0.3,0,54.17
spCond,Specific Conductivity,grab-nonsensor,uS/cm,1636,2002-05-21T00:00:00Z,2018-08-14T00:00:00Z,0.3,0,53.97
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,1638,2002-05-21T00:00:00Z,2018-08-14T00:00:00Z,0.3,0,52.44
temp,Water Temperature,installed-sensor,degrees C,235,1994-05-12T00:00:00Z,1995-01-01T00:00:00Z,1,0,26.81
