VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
abs254,UV Absorbance at 254nm,grab-nonsensor,unitless,1901,2002-05-28T00:00:00Z,2018-08-28T00:00:00Z,0.3,0,90.01
Al,Aluminum,grab-nonsensor,mg/l,1922,2002-05-28T00:00:00Z,2018-08-28T00:00:00Z,0.3,0,90.06
Ca,Calcium,grab-nonsensor,mg/L,1922,2002-05-28T00:00:00Z,2018-08-28T00:00:00Z,0.3,0,90.06
Cl,Chloride,grab-nonsensor,mg/L,1942,2002-05-28T00:00:00Z,2018-08-28T00:00:00Z,0.3,0,90.22
DIC,Dissolved Inorganic Carbon,grab-nonsensor,mg/L,1893,2002-05-28T00:00:00Z,2018-08-28T00:00:00Z,0.3,0,89.91
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,1949,2002-05-28T00:00:00Z,2018-08-28T00:00:00Z,0.3,0,90.1
DON,Dissolved Organic Nitrogen,grab-nonsensor,mg/L,1879,2002-05-28T00:00:00Z,2018-08-28T00:00:00Z,0.3,0,90.15
K,Potassium,grab-nonsensor,mg/L,1922,2002-05-28T00:00:00Z,2018-08-28T00:00:00Z,0.3,0,90.11
Mg,Magnesium,grab-nonsensor,mg/L,1922,2002-05-28T00:00:00Z,2018-08-28T00:00:00Z,0.3,0,90.06
Na,Sodium,grab-nonsensor,mg/L,1908,2002-05-28T00:00:00Z,2018-08-28T00:00:00Z,0.3,0,90.15
NO3_N,Nitrate-N,grab-nonsensor,mg/L,1942,2002-05-28T00:00:00Z,2018-08-28T00:00:00Z,0.3,0,90.11
pH,pH,grab-nonsensor,unitless,1642,2002-05-28T00:00:00Z,2018-08-28T00:00:00Z,0.3,0,90.07
SiO2_Si,NA,grab-nonsensor,NA,1647,2002-05-28T00:00:00Z,2018-08-28T00:00:00Z,0.3,0,90.35
SO4_S,Sulfate-S,grab-nonsensor,mg/L,1942,2002-05-28T00:00:00Z,2018-08-28T00:00:00Z,0.3,0,90.16
spCond,Specific Conductivity,grab-nonsensor,uS/cm,1914,2002-05-28T00:00:00Z,2018-08-28T00:00:00Z,0.3,0,90.07
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,1893,2002-05-28T00:00:00Z,2018-08-28T00:00:00Z,0.3,0,90.07
