VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
abs254,UV Absorbance at 254nm,grab-nonsensor,unitless,2053,2002-05-14T00:00:00Z,2018-08-28T00:00:00Z,0.3,0,89.24
Al,Aluminum,grab-nonsensor,mg/l,2172,2002-05-14T00:00:00Z,2018-08-28T00:00:00Z,0.4,0,89.5
Ca,Calcium,grab-nonsensor,mg/L,2130,2002-05-14T00:00:00Z,2018-08-28T00:00:00Z,0.4,0,89.34
Cl,Chloride,grab-nonsensor,mg/L,2171,2002-05-14T00:00:00Z,2018-08-28T00:00:00Z,0.4,0,89.68
DIC,Dissolved Inorganic Carbon,grab-nonsensor,mg/L,2090,2002-05-14T00:00:00Z,2018-08-28T00:00:00Z,0.4,0,89.23
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,2124,2002-05-14T00:00:00Z,2018-08-28T00:00:00Z,0.4,0,89.27
DON,Dissolved Organic Nitrogen,grab-nonsensor,mg/L,2075,2002-05-14T00:00:00Z,2018-08-28T00:00:00Z,0.3,0,89.45
K,Potassium,grab-nonsensor,mg/L,2109,2002-05-14T00:00:00Z,2018-08-28T00:00:00Z,0.4,0,89.38
Mg,Magnesium,grab-nonsensor,mg/L,2130,2002-05-14T00:00:00Z,2018-08-28T00:00:00Z,0.4,0,89.34
Na,Sodium,grab-nonsensor,mg/L,2130,2002-05-14T00:00:00Z,2018-08-28T00:00:00Z,0.4,0,89.39
NO3_N,Nitrate-N,grab-nonsensor,mg/L,2171,2002-05-14T00:00:00Z,2018-08-28T00:00:00Z,0.4,0,89.5
pH,pH,grab-nonsensor,unitless,1848,2002-05-14T00:00:00Z,2018-08-28T00:00:00Z,0.3,0,89.56
SiO2_Si,NA,grab-nonsensor,NA,1781,2002-05-21T00:00:00Z,2018-08-28T00:00:00Z,0.3,0,90.17
SO4_S,Sulfate-S,grab-nonsensor,mg/L,2150,2002-05-14T00:00:00Z,2018-08-28T00:00:00Z,0.4,0,89.53
spCond,Specific Conductivity,grab-nonsensor,uS/cm,2107,2002-05-14T00:00:00Z,2018-08-28T00:00:00Z,0.4,0,89.46
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,2090,2002-05-14T00:00:00Z,2018-08-28T00:00:00Z,0.4,0,89.33
