VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,installed-sensor,L/s,8951,1987-01-01T00:00:00Z,2020-01-01T00:00:00Z,0.7,0.09,6.4
discharge,Discharge,installed-sensor,L/s,8951,1987-01-01T00:00:00Z,2020-01-01T00:00:00Z,0.7,0.09,6.4
NH4_N,Ammonium-N,grab-nonsensor,mg/L,5464,1982-06-14T00:00:00Z,2018-12-28T00:00:00Z,0.4,0,97.79
NH4_N,Ammonium-N,grab-nonsensor,mg/L,5464,1982-06-14T00:00:00Z,2018-12-28T00:00:00Z,0.4,0,97.79
NO3_N,Nitrate-N,grab-nonsensor,mg/L,10988,1982-06-14T00:00:00Z,2018-12-28T00:00:00Z,0.8,0,97.87
NO3_N,Nitrate-N,grab-nonsensor,mg/L,10988,1982-06-14T00:00:00Z,2018-12-28T00:00:00Z,0.8,0,97.87
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,4073,1986-03-20T00:00:00Z,2018-12-28T00:00:00Z,0.3,0,97.81
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,4073,1986-03-20T00:00:00Z,2018-12-28T00:00:00Z,0.3,0,97.81
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,3151,1989-01-28T00:00:00Z,2018-12-28T00:00:00Z,0.3,0,92.99
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,3151,1989-01-28T00:00:00Z,2018-12-28T00:00:00Z,0.3,0,92.99
NH4_N,Ammonium-N,grab-nonsensor,mg/L,5464,1982-06-14T00:00:00Z,2018-12-28T00:00:00Z,0.4,0,97.79
NH4_N,Ammonium-N,grab-nonsensor,mg/L,5464,1982-06-14T00:00:00Z,2018-12-28T00:00:00Z,0.4,0,97.79
NO3_N,Nitrate-N,grab-nonsensor,mg/L,10988,1982-06-14T00:00:00Z,2018-12-28T00:00:00Z,0.8,0,97.87
NO3_N,Nitrate-N,grab-nonsensor,mg/L,10988,1982-06-14T00:00:00Z,2018-12-28T00:00:00Z,0.8,0,97.87
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,4073,1986-03-20T00:00:00Z,2018-12-28T00:00:00Z,0.3,0,97.81
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,4073,1986-03-20T00:00:00Z,2018-12-28T00:00:00Z,0.3,0,97.81
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,3151,1989-01-28T00:00:00Z,2018-12-28T00:00:00Z,0.3,0,92.99
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,3151,1989-01-28T00:00:00Z,2018-12-28T00:00:00Z,0.3,0,92.99
precipitation,Basin Precip,grab-nonsensor,mm,12778,1982-06-14T00:00:00Z,2019-12-28T00:00:00Z,0.9,0,83.41
