VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
Ca,Calcium,grab-nonsensor,mg/L,56,2010-01-29T00:00:00Z,2014-01-30T00:00:00Z,0,0,91.07
Cl,Chloride,grab-nonsensor,mg/L,56,2010-01-29T00:00:00Z,2014-01-30T00:00:00Z,0,0,89.29
F,Fluorine,grab-nonsensor,mg/L,56,2010-01-29T00:00:00Z,2014-01-30T00:00:00Z,0,0,89.29
K,Potassium,grab-nonsensor,mg/L,56,2010-01-29T00:00:00Z,2014-01-30T00:00:00Z,0,0,91.07
Mg,Magnesium,grab-nonsensor,mg/L,56,2010-01-29T00:00:00Z,2014-01-30T00:00:00Z,0,0,91.07
Na,Sodium,grab-nonsensor,mg/L,56,2010-01-29T00:00:00Z,2014-01-30T00:00:00Z,0,0,91.07
NH4_N,Ammonium-N,grab-nonsensor,mg/L,67,2011-02-03T00:00:00Z,2014-01-30T00:00:00Z,0.1,0,88.06
NO2_N,Nitrite-N,grab-nonsensor,mg/L,96,2011-11-28T00:00:00Z,2014-01-30T00:00:00Z,0.1,0,90.62
NO3_N,Nitrate-N,grab-nonsensor,mg/L,97,2011-02-03T00:00:00Z,2014-01-30T00:00:00Z,0.1,0,89.69
Si,Silicon,grab-nonsensor,mg/L,56,2010-01-29T00:00:00Z,2014-01-30T00:00:00Z,0,0,89.29
SO4_S,Sulfate-S,grab-nonsensor,mg/L,56,2010-01-29T00:00:00Z,2014-01-30T00:00:00Z,0,0,89.29
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,97,2011-02-03T00:00:00Z,2014-01-30T00:00:00Z,0.1,0,89.69
