VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,grab-sensor,L/s,1323,1990-12-04T00:00:00Z,2018-01-27T00:00:00Z,0.1,13.53,3.33
Br,Bromide,grab-nonsensor,mg/L,270,1995-01-14T00:00:00Z,2012-01-26T00:00:00Z,0,0,86.3
Ca,Calcium,grab-nonsensor,mg/L,541,1993-12-23T00:00:00Z,2014-01-20T00:00:00Z,0.1,0,86.88
Cl,Chloride,grab-nonsensor,mg/L,541,1993-12-23T00:00:00Z,2014-01-20T00:00:00Z,0.1,0,86.88
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,516,1990-12-22T00:00:00Z,2014-01-20T00:00:00Z,0.1,0,86.82
F,Fluorine,grab-nonsensor,mg/L,471,1995-12-28T00:00:00Z,2014-01-20T00:00:00Z,0.1,0,86.2
K,Potassium,grab-nonsensor,mg/L,541,1993-12-23T00:00:00Z,2014-01-20T00:00:00Z,0.1,0,86.88
Li,Lithium,grab-nonsensor,mg/L,404,1995-01-14T00:00:00Z,2014-01-20T00:00:00Z,0.1,0,86.14
Mg,Magnesium,grab-nonsensor,mg/L,541,1993-12-23T00:00:00Z,2014-01-20T00:00:00Z,0.1,0,86.88
Na,Sodium,grab-nonsensor,mg/L,541,1993-12-23T00:00:00Z,2014-01-20T00:00:00Z,0.1,0,86.88
NH4_N,Ammonium-N,grab-nonsensor,mg/L,471,1993-12-23T00:00:00Z,2013-01-18T00:00:00Z,0.1,0,85.56
NO2_N,Nitrite-N,grab-nonsensor,mg/L,308,1993-12-23T00:00:00Z,2014-01-05T00:00:00Z,0,0,86.04
NO3_N,Nitrate-N,grab-nonsensor,mg/L,388,1993-12-23T00:00:00Z,2014-01-20T00:00:00Z,0.1,0,84.02
Si,Silicon,grab-nonsensor,mg/L,541,1993-12-23T00:00:00Z,2014-01-20T00:00:00Z,0.1,0,86.88
SO4_S,Sulfate-S,grab-nonsensor,mg/L,541,1993-12-23T00:00:00Z,2014-01-20T00:00:00Z,0.1,0,86.88
spCond,Specific Conductivity,grab-sensor,uS/cm,1335,1990-12-09T00:00:00Z,2018-01-27T00:00:00Z,0.1,14.68,3.9
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,602,1993-12-23T00:00:00Z,2014-01-20T00:00:00Z,0.1,0,84.88
temp,Water Temperature,grab-sensor,degrees C,1336,1990-12-09T00:00:00Z,2018-01-27T00:00:00Z,0.1,17.22,3.07
Br,Bromide,grab-nonsensor,mg/L,269,1995-01-14T00:00:00Z,2012-01-26T00:00:00Z,0,10.78,86.62
Ca,Calcium,grab-nonsensor,mg/L,537,1993-12-23T00:00:00Z,2014-01-20T00:00:00Z,0.1,13.78,86.96
Cl,Chloride,grab-nonsensor,mg/L,537,1993-12-23T00:00:00Z,2014-01-20T00:00:00Z,0.1,13.78,86.96
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,516,1990-12-22T00:00:00Z,2014-01-20T00:00:00Z,0.1,6.59,86.82
F,Fluorine,grab-nonsensor,mg/L,467,1995-12-28T00:00:00Z,2014-01-20T00:00:00Z,0.1,8.35,86.3
K,Potassium,grab-nonsensor,mg/L,537,1993-12-23T00:00:00Z,2014-01-20T00:00:00Z,0.1,13.78,86.96
Li,Lithium,grab-nonsensor,mg/L,400,1995-01-14T00:00:00Z,2014-01-20T00:00:00Z,0.1,9.25,86.25
Mg,Magnesium,grab-nonsensor,mg/L,537,1993-12-23T00:00:00Z,2014-01-20T00:00:00Z,0.1,13.78,86.96
Na,Sodium,grab-nonsensor,mg/L,537,1993-12-23T00:00:00Z,2014-01-20T00:00:00Z,0.1,13.78,86.96
NH4_N,Ammonium-N,grab-nonsensor,mg/L,470,1993-12-23T00:00:00Z,2013-01-18T00:00:00Z,0.1,11.49,85.74
NO2_N,Nitrite-N,grab-nonsensor,mg/L,308,1993-12-23T00:00:00Z,2014-01-05T00:00:00Z,0,11.69,86.04
NO3_N,Nitrate-N,grab-nonsensor,mg/L,384,1993-12-23T00:00:00Z,2014-01-20T00:00:00Z,0.1,6.77,84.11
Si,Silicon,grab-nonsensor,mg/L,537,1993-12-23T00:00:00Z,2014-01-20T00:00:00Z,0.1,13.78,86.96
SO4_S,Sulfate-S,grab-nonsensor,mg/L,537,1993-12-23T00:00:00Z,2014-01-20T00:00:00Z,0.1,13.78,86.96
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,602,1993-12-23T00:00:00Z,2014-01-20T00:00:00Z,0.1,11.3,84.88
