VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,grab-sensor,L/s,1444,1993-11-21T00:00:00Z,2018-01-28T00:00:00Z,0.2,19.81,8.03
Br,Bromide,grab-nonsensor,mg/L,140,1995-01-15T00:00:00Z,2011-01-17T00:00:00Z,0,0,87.14
Ca,Calcium,grab-nonsensor,mg/L,586,1994-01-10T00:00:00Z,2014-01-22T00:00:00Z,0.1,0,88.91
Cl,Chloride,grab-nonsensor,mg/L,586,1994-01-10T00:00:00Z,2014-01-22T00:00:00Z,0.1,0,88.74
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,304,1993-12-12T00:00:00Z,2014-01-22T00:00:00Z,0,0,85.2
F,Fluorine,grab-nonsensor,mg/L,442,1995-12-14T00:00:00Z,2014-01-22T00:00:00Z,0.1,0,88.24
K,Potassium,grab-nonsensor,mg/L,586,1994-01-10T00:00:00Z,2014-01-22T00:00:00Z,0.1,0,88.74
Li,Lithium,grab-nonsensor,mg/L,286,1995-01-15T00:00:00Z,2014-01-22T00:00:00Z,0,0,86.01
Mg,Magnesium,grab-nonsensor,mg/L,586,1994-01-10T00:00:00Z,2014-01-22T00:00:00Z,0.1,0,88.74
Na,Sodium,grab-nonsensor,mg/L,586,1994-01-10T00:00:00Z,2014-01-22T00:00:00Z,0.1,0,88.74
NH4_N,Ammonium-N,grab-nonsensor,mg/L,736,1993-12-01T00:00:00Z,2014-01-22T00:00:00Z,0.1,0,85.6
NO2_N,Nitrite-N,grab-nonsensor,mg/L,415,1993-12-01T00:00:00Z,2014-01-22T00:00:00Z,0.1,0,86.99
NO3_N,Nitrate-N,grab-nonsensor,mg/L,842,1993-12-01T00:00:00Z,2014-01-22T00:00:00Z,0.1,0,85.87
Si,Silicon,grab-nonsensor,mg/L,585,1994-01-10T00:00:00Z,2014-01-22T00:00:00Z,0.1,0,88.89
SO4_S,Sulfate-S,grab-nonsensor,mg/L,586,1994-01-10T00:00:00Z,2014-01-22T00:00:00Z,0.1,0,88.74
spCond,Specific Conductivity,grab-sensor,uS/cm,1387,1993-11-20T00:00:00Z,2018-01-28T00:00:00Z,0.2,30.28,2.45
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,835,1993-12-01T00:00:00Z,2014-01-22T00:00:00Z,0.1,0,86.23
temp,Water Temperature,grab-sensor,degrees C,1505,1993-11-20T00:00:00Z,2017-12-27T00:00:00Z,0.2,29.57,3.79
Br,Bromide,grab-nonsensor,mg/L,140,1995-01-15T00:00:00Z,2011-01-17T00:00:00Z,0,0,87.14
Ca,Calcium,grab-nonsensor,mg/L,579,1994-01-10T00:00:00Z,2014-01-22T00:00:00Z,0.1,21.93,89.64
Cl,Chloride,grab-nonsensor,mg/L,579,1994-01-10T00:00:00Z,2014-01-22T00:00:00Z,0.1,21.93,89.46
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,304,1993-12-12T00:00:00Z,2014-01-22T00:00:00Z,0,25.99,85.53
F,Fluorine,grab-nonsensor,mg/L,438,1995-12-14T00:00:00Z,2014-01-22T00:00:00Z,0.1,14.84,88.58
K,Potassium,grab-nonsensor,mg/L,579,1994-01-10T00:00:00Z,2014-01-22T00:00:00Z,0.1,21.93,89.46
Li,Lithium,grab-nonsensor,mg/L,281,1995-01-15T00:00:00Z,2014-01-22T00:00:00Z,0,8.9,86.83
Mg,Magnesium,grab-nonsensor,mg/L,579,1994-01-10T00:00:00Z,2014-01-22T00:00:00Z,0.1,21.93,89.46
Na,Sodium,grab-nonsensor,mg/L,579,1994-01-10T00:00:00Z,2014-01-22T00:00:00Z,0.1,21.93,89.46
NH4_N,Ammonium-N,grab-nonsensor,mg/L,691,1993-12-01T00:00:00Z,2014-01-22T00:00:00Z,0.1,22.14,86.83
NO2_N,Nitrite-N,grab-nonsensor,mg/L,390,1993-12-01T00:00:00Z,2014-01-22T00:00:00Z,0.1,14.87,88.21
NO3_N,Nitrate-N,grab-nonsensor,mg/L,797,1993-12-01T00:00:00Z,2014-01-22T00:00:00Z,0.1,20.58,86.95
Si,Silicon,grab-nonsensor,mg/L,578,1994-01-10T00:00:00Z,2014-01-22T00:00:00Z,0.1,21.97,89.62
SO4_S,Sulfate-S,grab-nonsensor,mg/L,579,1994-01-10T00:00:00Z,2014-01-22T00:00:00Z,0.1,21.93,89.46
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,790,1993-12-01T00:00:00Z,2014-01-22T00:00:00Z,0.1,19.87,87.34
