VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
Ca,Calcium,grab-nonsensor,mg/L,12,2000-12-22T00:00:00Z,2002-01-23T00:00:00Z,0,0,75
Cl,Chloride,grab-nonsensor,mg/L,12,2000-12-22T00:00:00Z,2002-01-23T00:00:00Z,0,0,75
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,33,1995-01-20T00:00:00Z,2014-01-16T00:00:00Z,0,0,90.91
K,Potassium,grab-nonsensor,mg/L,12,2000-12-22T00:00:00Z,2002-01-23T00:00:00Z,0,0,75
Li,Lithium,grab-nonsensor,mg/L,12,2000-12-22T00:00:00Z,2002-01-23T00:00:00Z,0,0,75
Mg,Magnesium,grab-nonsensor,mg/L,12,2000-12-22T00:00:00Z,2002-01-23T00:00:00Z,0,0,75
Na,Sodium,grab-nonsensor,mg/L,12,2000-12-22T00:00:00Z,2002-01-23T00:00:00Z,0,0,75
NH4_N,Ammonium-N,grab-nonsensor,mg/L,22,1994-01-21T00:00:00Z,2000-12-22T00:00:00Z,0,0,81.82
NO3_N,Nitrate-N,grab-nonsensor,mg/L,76,1994-01-21T00:00:00Z,2000-12-22T00:00:00Z,0,0,86.84
Si,Silicon,grab-nonsensor,mg/L,12,2000-12-22T00:00:00Z,2002-01-23T00:00:00Z,0,0,75
SO4_S,Sulfate-S,grab-nonsensor,mg/L,12,2000-12-22T00:00:00Z,2002-01-23T00:00:00Z,0,0,75
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,76,1994-01-21T00:00:00Z,2000-12-22T00:00:00Z,0,0,86.84
