VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
Br,Bromide,grab-nonsensor,mg/L,140,1994-12-14T00:00:00Z,2011-01-10T00:00:00Z,0,0,90.71
Br,Bromide,grab-nonsensor,mg/L,140,1994-12-14T00:00:00Z,2011-01-10T00:00:00Z,0,0,90.71
Ca,Calcium,grab-nonsensor,mg/L,437,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,87.64
Ca,Calcium,grab-nonsensor,mg/L,437,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,87.64
Cl,Chloride,grab-nonsensor,mg/L,437,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,87.64
Cl,Chloride,grab-nonsensor,mg/L,437,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,87.64
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,366,1990-11-20T00:00:00Z,2014-01-24T00:00:00Z,0,0,86.61
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,366,1990-11-20T00:00:00Z,2014-01-24T00:00:00Z,0,0,86.61
F,Fluorine,grab-nonsensor,mg/L,385,1994-12-14T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,87.79
F,Fluorine,grab-nonsensor,mg/L,385,1994-12-14T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,87.79
K,Potassium,grab-nonsensor,mg/L,437,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,87.64
K,Potassium,grab-nonsensor,mg/L,437,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,87.64
Li,Lithium,grab-nonsensor,mg/L,295,1996-01-13T00:00:00Z,2014-01-24T00:00:00Z,0,0,88.14
Li,Lithium,grab-nonsensor,mg/L,295,1996-01-13T00:00:00Z,2014-01-24T00:00:00Z,0,0,88.14
Mg,Magnesium,grab-nonsensor,mg/L,437,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,87.64
Mg,Magnesium,grab-nonsensor,mg/L,437,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,87.64
Na,Sodium,grab-nonsensor,mg/L,437,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,87.64
Na,Sodium,grab-nonsensor,mg/L,437,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,87.64
NH4_N,Ammonium-N,grab-nonsensor,mg/L,311,1993-12-17T00:00:00Z,2014-01-17T00:00:00Z,0,0,84.57
NH4_N,Ammonium-N,grab-nonsensor,mg/L,311,1993-12-17T00:00:00Z,2014-01-17T00:00:00Z,0,0,84.57
NO2_N,Nitrite-N,grab-nonsensor,mg/L,119,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0,0,79.83
NO2_N,Nitrite-N,grab-nonsensor,mg/L,119,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0,0,79.83
NO3_N,Nitrate-N,grab-nonsensor,mg/L,357,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0,0,84.87
NO3_N,Nitrate-N,grab-nonsensor,mg/L,357,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0,0,84.87
Si,Silicon,grab-nonsensor,mg/L,437,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,87.64
Si,Silicon,grab-nonsensor,mg/L,437,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,87.64
SO4_S,Sulfate-S,grab-nonsensor,mg/L,437,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,87.64
SO4_S,Sulfate-S,grab-nonsensor,mg/L,437,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,87.64
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,396,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,84.6
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,396,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,84.6
