VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,grab-sensor,L/s,1263,1990-12-07T00:00:00Z,2018-01-31T00:00:00Z,0.1,25.26,3.64
Br,Bromide,grab-nonsensor,mg/L,176,1994-12-21T00:00:00Z,2011-01-21T00:00:00Z,0,0,85.8
Ca,Calcium,grab-nonsensor,mg/L,451,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,85.81
Cl,Chloride,grab-nonsensor,mg/L,451,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,85.81
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,458,1990-12-11T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,86.68
F,Fluorine,grab-nonsensor,mg/L,422,1994-12-21T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,85.55
K,Potassium,grab-nonsensor,mg/L,451,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,85.81
Li,Lithium,grab-nonsensor,mg/L,396,1994-12-21T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,86.36
Mg,Magnesium,grab-nonsensor,mg/L,451,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,85.81
Na,Sodium,grab-nonsensor,mg/L,451,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,85.81
NH4_N,Ammonium-N,grab-nonsensor,mg/L,342,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0,0,86.26
NO2_N,Nitrite-N,grab-nonsensor,mg/L,235,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0,0,85.96
NO3_N,Nitrate-N,grab-nonsensor,mg/L,383,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,85.64
Si,Silicon,grab-nonsensor,mg/L,451,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,85.81
SO4_S,Sulfate-S,grab-nonsensor,mg/L,451,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,85.81
spCond,Specific Conductivity,grab-sensor,uS/cm,1126,1991-12-18T00:00:00Z,2018-01-31T00:00:00Z,0.1,5.06,5.51
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,459,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,84.97
temp,Water Temperature,grab-sensor,degrees C,1157,1991-12-08T00:00:00Z,2018-01-31T00:00:00Z,0.1,21.43,3.98
Br,Bromide,grab-nonsensor,mg/L,140,1994-12-21T00:00:00Z,2011-01-21T00:00:00Z,0,5.71,84.29
Ca,Calcium,grab-nonsensor,mg/L,406,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,24.38,85.71
Cl,Chloride,grab-nonsensor,mg/L,406,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,24.38,85.71
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,441,1990-12-11T00:00:00Z,2014-01-24T00:00:00Z,0.1,21.54,87.07
F,Fluorine,grab-nonsensor,mg/L,377,1994-12-21T00:00:00Z,2014-01-24T00:00:00Z,0.1,25.99,85.41
K,Potassium,grab-nonsensor,mg/L,406,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,24.38,85.71
Li,Lithium,grab-nonsensor,mg/L,351,1994-12-21T00:00:00Z,2014-01-24T00:00:00Z,0.1,26.21,86.32
Mg,Magnesium,grab-nonsensor,mg/L,406,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,24.38,85.71
Na,Sodium,grab-nonsensor,mg/L,406,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,24.38,85.71
NH4_N,Ammonium-N,grab-nonsensor,mg/L,297,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0,17.51,86.53
NO2_N,Nitrite-N,grab-nonsensor,mg/L,194,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0,32.47,85.57
NO3_N,Nitrate-N,grab-nonsensor,mg/L,338,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0,29.88,85.5
Si,Silicon,grab-nonsensor,mg/L,406,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,24.38,85.71
SO4_S,Sulfate-S,grab-nonsensor,mg/L,406,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,24.38,85.71
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,414,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,30.68,85.27
