VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,installed-sensor,L/s,1226,1990-12-06T00:00:00Z,2018-01-28T00:00:00Z,0.1,25.86,3.18
Br,Bromide,grab-nonsensor,mg/L,179,1995-01-13T00:00:00Z,2012-12-18T00:00:00Z,0,0,84.36
Ca,Calcium,grab-nonsensor,mg/L,558,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,88.17
Cl,Chloride,grab-nonsensor,mg/L,553,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,88.25
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,565,1990-11-25T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,87.96
F,Fluorine,grab-nonsensor,mg/L,509,1995-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,88.21
K,Potassium,grab-nonsensor,mg/L,558,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,88.17
Li,Lithium,grab-nonsensor,mg/L,498,1995-01-13T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,88.55
Mg,Magnesium,grab-nonsensor,mg/L,558,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,88.17
Na,Sodium,grab-nonsensor,mg/L,558,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,88.17
NH4_N,Ammonium-N,grab-nonsensor,mg/L,447,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,86.35
NO2_N,Nitrite-N,grab-nonsensor,mg/L,204,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0,0,84.31
NO3_N,Nitrate-N,grab-nonsensor,mg/L,487,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,86.04
Si,Silicon,grab-nonsensor,mg/L,545,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,88.07
SO4_S,Sulfate-S,grab-nonsensor,mg/L,553,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,88.25
spCond,Specific Conductivity,installed-sensor,uS/cm,691,1990-12-11T00:00:00Z,2018-01-28T00:00:00Z,0.1,18.67,3.76
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,649,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,86.44
temp,Water Temperature,installed-sensor,degrees C,1060,1990-12-11T00:00:00Z,2018-01-28T00:00:00Z,0.1,56.23,0.57
Br,Bromide,grab-nonsensor,mg/L,176,1995-01-13T00:00:00Z,2012-12-18T00:00:00Z,0,18.75,85.23
Ca,Calcium,grab-nonsensor,mg/L,447,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,33.56,87.7
Cl,Chloride,grab-nonsensor,mg/L,442,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,32.81,87.78
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,424,1990-12-06T00:00:00Z,2014-01-24T00:00:00Z,0.1,29.72,87.03
F,Fluorine,grab-nonsensor,mg/L,398,1997-12-24T00:00:00Z,2014-01-24T00:00:00Z,0.1,30.9,87.69
K,Potassium,grab-nonsensor,mg/L,447,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,33.56,87.7
Li,Lithium,grab-nonsensor,mg/L,387,1995-01-13T00:00:00Z,2014-01-24T00:00:00Z,0.1,23.26,88.11
Mg,Magnesium,grab-nonsensor,mg/L,447,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,33.56,87.7
Na,Sodium,grab-nonsensor,mg/L,447,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,33.56,87.7
NH4_N,Ammonium-N,grab-nonsensor,mg/L,390,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,41.03,86.67
NO2_N,Nitrite-N,grab-nonsensor,mg/L,156,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0,38.46,83.97
NO3_N,Nitrate-N,grab-nonsensor,mg/L,427,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,31.62,86.18
Si,Silicon,grab-nonsensor,mg/L,434,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,34.56,87.56
SO4_S,Sulfate-S,grab-nonsensor,mg/L,442,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,32.81,87.78
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,559,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,33.09,86.05
