VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
Ca,Calcium,grab-nonsensor,mg/L,21,2009-12-31T00:00:00Z,2010-01-20T00:00:00Z,1,0,90.48
Cl,Chloride,grab-nonsensor,mg/L,21,2009-12-31T00:00:00Z,2010-01-20T00:00:00Z,1,0,90.48
F,Fluorine,grab-nonsensor,mg/L,21,2009-12-31T00:00:00Z,2010-01-20T00:00:00Z,1,0,90.48
K,Potassium,grab-nonsensor,mg/L,21,2009-12-31T00:00:00Z,2010-01-20T00:00:00Z,1,0,90.48
Mg,Magnesium,grab-nonsensor,mg/L,21,2009-12-31T00:00:00Z,2010-01-20T00:00:00Z,1,0,90.48
Na,Sodium,grab-nonsensor,mg/L,21,2009-12-31T00:00:00Z,2010-01-20T00:00:00Z,1,0,90.48
NH4_N,Ammonium-N,grab-nonsensor,mg/L,21,2009-12-31T00:00:00Z,2010-01-20T00:00:00Z,1,0,90.48
NO3_N,Nitrate-N,grab-nonsensor,mg/L,21,2009-12-31T00:00:00Z,2010-01-20T00:00:00Z,1,0,90.48
Si,Silicon,grab-nonsensor,mg/L,21,2009-12-31T00:00:00Z,2010-01-20T00:00:00Z,1,0,90.48
SO4_S,Sulfate-S,grab-nonsensor,mg/L,21,2009-12-31T00:00:00Z,2010-01-20T00:00:00Z,1,0,90.48
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,21,2009-12-31T00:00:00Z,2010-01-20T00:00:00Z,1,0,90.48
