VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,grab-sensor,L/s,1768,1990-11-24T00:00:00Z,2020-01-24T00:00:00Z,0.2,13.07,1.7
Br,Bromide,grab-nonsensor,mg/L,209,1996-01-19T00:00:00Z,2011-01-10T00:00:00Z,0,0,87.56
Ca,Calcium,grab-nonsensor,mg/L,755,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,87.68
Cl,Chloride,grab-nonsensor,mg/L,755,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,87.68
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,588,1990-11-23T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,87.07
F,Fluorine,grab-nonsensor,mg/L,575,1994-12-14T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,87.13
K,Potassium,grab-nonsensor,mg/L,755,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,87.68
Li,Lithium,grab-nonsensor,mg/L,411,1995-01-13T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,86.62
Mg,Magnesium,grab-nonsensor,mg/L,755,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,87.68
Na,Sodium,grab-nonsensor,mg/L,755,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,87.68
NH4_N,Ammonium-N,grab-nonsensor,mg/L,574,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,86.24
NO2_N,Nitrite-N,grab-nonsensor,mg/L,295,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0,0,85.76
NO3_N,Nitrate-N,grab-nonsensor,mg/L,678,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,84.96
Si,Silicon,grab-nonsensor,mg/L,755,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,87.68
SO4_S,Sulfate-S,grab-nonsensor,mg/L,755,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,87.68
spCond,Specific Conductivity,grab-sensor,uS/cm,1576,1990-12-02T00:00:00Z,2020-01-24T00:00:00Z,0.1,11.17,1.59
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,827,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,85.25
temp,Water Temperature,grab-sensor,degrees C,1704,1990-12-01T00:00:00Z,2020-01-24T00:00:00Z,0.2,41.61,1.29
Br,Bromide,grab-nonsensor,mg/L,209,1996-01-19T00:00:00Z,2011-01-10T00:00:00Z,0,8.61,87.56
Ca,Calcium,grab-nonsensor,mg/L,702,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1,27.21,87.75
Cl,Chloride,grab-nonsensor,mg/L,702,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1,27.21,87.75
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,541,1990-11-24T00:00:00Z,2014-01-24T00:00:00Z,0.1,24.4,87.06
F,Fluorine,grab-nonsensor,mg/L,546,1994-12-14T00:00:00Z,2014-01-24T00:00:00Z,0.1,15.38,87
K,Potassium,grab-nonsensor,mg/L,702,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1,27.21,87.75
Li,Lithium,grab-nonsensor,mg/L,365,1995-01-13T00:00:00Z,2014-01-24T00:00:00Z,0.1,8.22,86.3
Mg,Magnesium,grab-nonsensor,mg/L,702,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1,27.21,87.75
Na,Sodium,grab-nonsensor,mg/L,702,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1,27.21,87.75
NH4_N,Ammonium-N,grab-nonsensor,mg/L,521,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1,19.77,85.8
NO2_N,Nitrite-N,grab-nonsensor,mg/L,294,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0,19.05,86.05
NO3_N,Nitrate-N,grab-nonsensor,mg/L,623,1994-12-14T00:00:00Z,2014-01-24T00:00:00Z,0.1,20.55,85.55
Si,Silicon,grab-nonsensor,mg/L,702,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1,27.21,87.75
SO4_S,Sulfate-S,grab-nonsensor,mg/L,702,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1,27.21,87.75
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,772,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1,21.89,85.75
