VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,grab-sensor,L/s,197,2018-12-31T00:00:00Z,2020-12-31T00:00:00Z,0.3,28.43,26.9
Br,Bromide,grab-nonsensor,mg/L,144,1996-12-19T00:00:00Z,2010-12-29T00:00:00Z,0,0,86.81
Ca,Calcium,grab-nonsensor,mg/L,326,1993-12-24T00:00:00Z,2014-01-23T00:00:00Z,0,0,85.58
Cl,Chloride,grab-nonsensor,mg/L,326,1993-12-24T00:00:00Z,2014-01-23T00:00:00Z,0,0,85.58
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,265,1990-11-25T00:00:00Z,2014-01-23T00:00:00Z,0,0,84.15
F,Fluorine,grab-nonsensor,mg/L,306,1996-01-12T00:00:00Z,2014-01-23T00:00:00Z,0,0,85.95
K,Potassium,grab-nonsensor,mg/L,326,1993-12-24T00:00:00Z,2014-01-23T00:00:00Z,0,0,85.58
Li,Lithium,grab-nonsensor,mg/L,249,1996-01-12T00:00:00Z,2014-01-23T00:00:00Z,0,0,84.74
Mg,Magnesium,grab-nonsensor,mg/L,326,1993-12-24T00:00:00Z,2014-01-23T00:00:00Z,0,0,85.58
Na,Sodium,grab-nonsensor,mg/L,326,1993-12-24T00:00:00Z,2014-01-23T00:00:00Z,0,0,85.58
NH4_N,Ammonium-N,grab-nonsensor,mg/L,351,1993-12-24T00:00:00Z,2013-01-09T00:00:00Z,0.1,0,85.75
NO2_N,Nitrite-N,grab-nonsensor,mg/L,187,1993-12-24T00:00:00Z,2014-01-23T00:00:00Z,0,0,85.03
NO3_N,Nitrate-N,grab-nonsensor,mg/L,456,1993-12-24T00:00:00Z,2014-01-23T00:00:00Z,0.1,0,85.31
Si,Silicon,grab-nonsensor,mg/L,326,1993-12-24T00:00:00Z,2014-01-23T00:00:00Z,0,0,85.89
SO4_S,Sulfate-S,grab-nonsensor,mg/L,326,1993-12-24T00:00:00Z,2014-01-23T00:00:00Z,0,0,85.58
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,457,1993-12-24T00:00:00Z,2014-01-23T00:00:00Z,0.1,0,84.9
temp,Water Temperature,installed-sensor,degrees C,146,2018-12-31T00:00:00Z,2020-12-31T00:00:00Z,0.2,23.97,0
