VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,installed-sensor,L/s,191,2018-12-31T00:00:00Z,2020-12-31T00:00:00Z,0.3,26.18,0
Br,Bromide,grab-nonsensor,mg/L,243,1994-11-30T00:00:00Z,2011-01-15T00:00:00Z,0,0,88.89
Ca,Calcium,grab-nonsensor,mg/L,664,1993-12-14T00:00:00Z,2014-01-29T00:00:00Z,0.1,0,88.25
Cl,Chloride,grab-nonsensor,mg/L,664,1993-12-14T00:00:00Z,2014-01-29T00:00:00Z,0.1,0,88.25
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,170,1993-12-20T00:00:00Z,2014-01-29T00:00:00Z,0,0,81.18
F,Fluorine,grab-nonsensor,mg/L,582,1994-11-30T00:00:00Z,2014-01-29T00:00:00Z,0.1,0,88.49
K,Potassium,grab-nonsensor,mg/L,664,1993-12-14T00:00:00Z,2014-01-29T00:00:00Z,0.1,0,88.25
Li,Lithium,grab-nonsensor,mg/L,347,1996-11-22T00:00:00Z,2013-01-14T00:00:00Z,0.1,0,88.47
Mg,Magnesium,grab-nonsensor,mg/L,664,1993-12-14T00:00:00Z,2014-01-29T00:00:00Z,0.1,0,88.25
Na,Sodium,grab-nonsensor,mg/L,664,1993-12-14T00:00:00Z,2014-01-29T00:00:00Z,0.1,0,88.25
NH4_N,Ammonium-N,grab-nonsensor,mg/L,695,1993-12-03T00:00:00Z,2012-12-29T00:00:00Z,0.1,0,87.19
NO2_N,Nitrite-N,grab-nonsensor,mg/L,438,1993-12-03T00:00:00Z,2014-01-29T00:00:00Z,0.1,0,86.76
NO3_N,Nitrate-N,grab-nonsensor,mg/L,934,1993-12-03T00:00:00Z,2014-01-29T00:00:00Z,0.1,0,87.15
Si,Silicon,grab-nonsensor,mg/L,664,1993-12-14T00:00:00Z,2014-01-29T00:00:00Z,0.1,0,88.55
SO4_S,Sulfate-S,grab-nonsensor,mg/L,664,1993-12-14T00:00:00Z,2014-01-29T00:00:00Z,0.1,0,88.25
spCond,Specific Conductivity,grab-sensor,uS/cm,96,2019-12-31T00:00:00Z,2020-12-31T00:00:00Z,0.3,0,0
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,917,1993-12-03T00:00:00Z,2014-01-29T00:00:00Z,0.1,0,87.35
temp,Water Temperature,grab-sensor,degrees C,96,2019-12-31T00:00:00Z,2020-12-31T00:00:00Z,0.3,7.29,0
