VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
Br,Bromide,grab-nonsensor,mg/L,175,1994-12-15T00:00:00Z,2012-01-14T00:00:00Z,0,0,86.29
Ca,Calcium,grab-nonsensor,mg/L,466,1993-12-14T00:00:00Z,2014-01-29T00:00:00Z,0.1,0,87.34
Cl,Chloride,grab-nonsensor,mg/L,466,1993-12-14T00:00:00Z,2014-01-29T00:00:00Z,0.1,0,87.34
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,223,1993-12-20T00:00:00Z,2014-01-29T00:00:00Z,0,0,83.41
F,Fluorine,grab-nonsensor,mg/L,201,1994-12-27T00:00:00Z,2014-01-29T00:00:00Z,0,0,83.08
K,Potassium,grab-nonsensor,mg/L,466,1993-12-14T00:00:00Z,2014-01-29T00:00:00Z,0.1,0,87.34
Li,Lithium,grab-nonsensor,mg/L,226,1995-12-10T00:00:00Z,2012-12-15T00:00:00Z,0,0,85.84
Mg,Magnesium,grab-nonsensor,mg/L,438,1993-12-14T00:00:00Z,2014-01-29T00:00:00Z,0.1,0,86.76
Na,Sodium,grab-nonsensor,mg/L,466,1993-12-14T00:00:00Z,2014-01-29T00:00:00Z,0.1,0,87.34
NH4_N,Ammonium-N,grab-nonsensor,mg/L,544,1993-12-03T00:00:00Z,2012-12-06T00:00:00Z,0.1,0,86.03
NO2_N,Nitrite-N,grab-nonsensor,mg/L,267,1993-12-03T00:00:00Z,2014-01-29T00:00:00Z,0,0,86.89
NO3_N,Nitrate-N,grab-nonsensor,mg/L,647,1993-12-03T00:00:00Z,2014-01-29T00:00:00Z,0.1,0,86.4
Si,Silicon,grab-nonsensor,mg/L,466,1993-12-14T00:00:00Z,2014-01-29T00:00:00Z,0.1,0,87.55
SO4_S,Sulfate-S,grab-nonsensor,mg/L,466,1993-12-14T00:00:00Z,2014-01-29T00:00:00Z,0.1,0,87.34
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,589,1993-12-03T00:00:00Z,2014-01-29T00:00:00Z,0.1,0,86.42
