VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
Ca,Calcium,grab-nonsensor,mg/L,4,2010-01-28T00:00:00Z,2014-01-29T00:00:00Z,0,0,0
Cl,Chloride,grab-nonsensor,mg/L,4,2010-01-28T00:00:00Z,2014-01-29T00:00:00Z,0,0,0
F,Fluorine,grab-nonsensor,mg/L,4,2010-01-28T00:00:00Z,2014-01-29T00:00:00Z,0,0,0
K,Potassium,grab-nonsensor,mg/L,4,2010-01-28T00:00:00Z,2014-01-29T00:00:00Z,0,0,0
Li,Lithium,grab-nonsensor,mg/L,2,2010-12-27T00:00:00Z,2012-01-14T00:00:00Z,0,0,0
Mg,Magnesium,grab-nonsensor,mg/L,4,2010-01-28T00:00:00Z,2014-01-29T00:00:00Z,0,0,0
Na,Sodium,grab-nonsensor,mg/L,4,2010-01-28T00:00:00Z,2014-01-29T00:00:00Z,0,0,0
NH4_N,Ammonium-N,grab-nonsensor,mg/L,21,2010-12-27T00:00:00Z,2012-01-14T00:00:00Z,0.1,0,80.95
NO2_N,Nitrite-N,grab-nonsensor,mg/L,9,2012-01-07T00:00:00Z,2014-01-29T00:00:00Z,0,0,66.67
NO3_N,Nitrate-N,grab-nonsensor,mg/L,22,2010-12-27T00:00:00Z,2014-01-29T00:00:00Z,0,0,77.27
Si,Silicon,grab-nonsensor,mg/L,4,2010-01-28T00:00:00Z,2014-01-29T00:00:00Z,0,0,0
SO4_S,Sulfate-S,grab-nonsensor,mg/L,4,2010-01-28T00:00:00Z,2014-01-29T00:00:00Z,0,0,0
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,22,2010-12-27T00:00:00Z,2014-01-29T00:00:00Z,0,0,77.27
