VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
Br,Bromide,grab-nonsensor,mg/L,37,2004-12-10T00:00:00Z,2007-12-29T00:00:00Z,0,0,89.19
Ca,Calcium,grab-nonsensor,mg/L,62,1995-12-11T00:00:00Z,2007-12-29T00:00:00Z,0,0,80.65
Cl,Chloride,grab-nonsensor,mg/L,62,1995-12-11T00:00:00Z,2007-12-29T00:00:00Z,0,0,80.65
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,12,1995-12-11T00:00:00Z,2005-01-14T00:00:00Z,0,0,50
F,Fluorine,grab-nonsensor,mg/L,62,1995-12-11T00:00:00Z,2007-12-29T00:00:00Z,0,0,80.65
K,Potassium,grab-nonsensor,mg/L,62,1995-12-11T00:00:00Z,2007-12-29T00:00:00Z,0,0,80.65
Li,Lithium,grab-nonsensor,mg/L,53,1995-12-11T00:00:00Z,2007-12-29T00:00:00Z,0,0,83.02
Mg,Magnesium,grab-nonsensor,mg/L,62,1995-12-11T00:00:00Z,2007-12-29T00:00:00Z,0,0,80.65
Na,Sodium,grab-nonsensor,mg/L,62,1995-12-11T00:00:00Z,2007-12-29T00:00:00Z,0,0,80.65
NH4_N,Ammonium-N,grab-nonsensor,mg/L,31,1995-12-11T00:00:00Z,2008-01-04T00:00:00Z,0,0,74.19
NO2_N,Nitrite-N,grab-nonsensor,mg/L,4,1995-12-11T00:00:00Z,2008-01-04T00:00:00Z,0,0,0
NO3_N,Nitrate-N,grab-nonsensor,mg/L,63,1995-01-07T00:00:00Z,2008-01-04T00:00:00Z,0,0,76.19
Si,Silicon,grab-nonsensor,mg/L,62,1995-12-11T00:00:00Z,2007-12-29T00:00:00Z,0,0,80.65
SO4_S,Sulfate-S,grab-nonsensor,mg/L,62,1995-12-11T00:00:00Z,2007-12-29T00:00:00Z,0,0,80.65
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,63,1995-01-07T00:00:00Z,2008-01-04T00:00:00Z,0,0,76.19
