VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
Br,Bromide,grab-nonsensor,mg/L,150,1996-01-19T00:00:00Z,2011-01-20T00:00:00Z,0,0,85.33
Ca,Calcium,grab-nonsensor,mg/L,404,1993-12-23T00:00:00Z,2014-01-20T00:00:00Z,0.1,0,86.63
Cl,Chloride,grab-nonsensor,mg/L,404,1993-12-23T00:00:00Z,2014-01-20T00:00:00Z,0.1,0,86.63
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,395,1990-11-28T00:00:00Z,2014-01-20T00:00:00Z,0,0,86.33
F,Fluorine,grab-nonsensor,mg/L,344,1995-12-17T00:00:00Z,2014-01-20T00:00:00Z,0.1,0,85.47
K,Potassium,grab-nonsensor,mg/L,404,1993-12-23T00:00:00Z,2014-01-20T00:00:00Z,0.1,0,86.63
Li,Lithium,grab-nonsensor,mg/L,332,1995-12-17T00:00:00Z,2014-01-20T00:00:00Z,0.1,0,87.05
Mg,Magnesium,grab-nonsensor,mg/L,404,1993-12-23T00:00:00Z,2014-01-20T00:00:00Z,0.1,0,86.63
Na,Sodium,grab-nonsensor,mg/L,404,1993-12-23T00:00:00Z,2014-01-20T00:00:00Z,0.1,0,86.63
NH4_N,Ammonium-N,grab-nonsensor,mg/L,385,1993-12-23T00:00:00Z,2013-01-02T00:00:00Z,0.1,0,87.53
NO2_N,Nitrite-N,grab-nonsensor,mg/L,281,1993-12-23T00:00:00Z,2014-01-20T00:00:00Z,0,0,88.97
NO3_N,Nitrate-N,grab-nonsensor,mg/L,364,1993-12-23T00:00:00Z,2014-01-20T00:00:00Z,0,0,87.64
Si,Silicon,grab-nonsensor,mg/L,404,1993-12-23T00:00:00Z,2014-01-20T00:00:00Z,0.1,0,86.63
SO4_S,Sulfate-S,grab-nonsensor,mg/L,404,1993-12-23T00:00:00Z,2014-01-20T00:00:00Z,0.1,0,86.63
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,479,1993-12-23T00:00:00Z,2014-01-20T00:00:00Z,0.1,0,87.06
