VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,installed-sensor,L/s,2795,1969-12-05T00:00:00Z,2018-02-07T00:00:00Z,0.2,9.09,1.9
Br,Bromide,grab-nonsensor,mg/L,139,1994-12-30T00:00:00Z,2010-12-17T00:00:00Z,0,0,87.77
Ca,Calcium,grab-nonsensor,mg/L,439,1994-12-30T00:00:00Z,2014-01-28T00:00:00Z,0.1,0,88.15
Cl,Chloride,grab-nonsensor,mg/L,439,1994-12-30T00:00:00Z,2014-01-28T00:00:00Z,0.1,0,88.15
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,328,1994-12-30T00:00:00Z,2014-01-28T00:00:00Z,0,0,87.5
F,Fluorine,grab-nonsensor,mg/L,400,1994-12-30T00:00:00Z,2014-01-28T00:00:00Z,0.1,0,87.75
K,Potassium,grab-nonsensor,mg/L,439,1994-12-30T00:00:00Z,2014-01-28T00:00:00Z,0.1,0,88.15
Li,Lithium,grab-nonsensor,mg/L,276,1994-12-30T00:00:00Z,2013-12-10T00:00:00Z,0,0,86.96
Mg,Magnesium,grab-nonsensor,mg/L,439,1994-12-30T00:00:00Z,2014-01-28T00:00:00Z,0.1,0,88.15
Na,Sodium,grab-nonsensor,mg/L,439,1994-12-30T00:00:00Z,2014-01-28T00:00:00Z,0.1,0,88.15
NH4_N,Ammonium-N,grab-nonsensor,mg/L,383,1996-01-09T00:00:00Z,2013-12-10T00:00:00Z,0.1,0,87.21
NO2_N,Nitrite-N,grab-nonsensor,mg/L,178,1996-01-09T00:00:00Z,2014-01-07T00:00:00Z,0,0,85.96
NO3_N,Nitrate-N,grab-nonsensor,mg/L,494,1996-01-23T00:00:00Z,2014-01-28T00:00:00Z,0.1,0,87.85
Si,Silicon,grab-nonsensor,mg/L,439,1994-12-30T00:00:00Z,2014-01-28T00:00:00Z,0.1,0,88.15
SO4_S,Sulfate-S,grab-nonsensor,mg/L,439,1994-12-30T00:00:00Z,2014-01-28T00:00:00Z,0.1,0,88.15
spCond,Specific Conductivity,grab-sensor,uS/cm,788,2005-12-06T00:00:00Z,2018-02-07T00:00:00Z,0.2,8.63,1.52
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,297,1995-01-09T00:00:00Z,2014-01-28T00:00:00Z,0,0,89.23
temp,Water Temperature,grab-sensor,degrees C,788,2005-12-06T00:00:00Z,2018-02-07T00:00:00Z,0.2,8.63,1.52
Br,Bromide,grab-nonsensor,mg/L,137,1996-12-16T00:00:00Z,2010-12-17T00:00:00Z,0,24.09,89.78
Ca,Calcium,grab-nonsensor,mg/L,436,1996-01-23T00:00:00Z,2014-01-28T00:00:00Z,0.1,19.72,88.99
Cl,Chloride,grab-nonsensor,mg/L,436,1996-01-23T00:00:00Z,2014-01-28T00:00:00Z,0.1,19.72,88.99
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,310,1996-01-23T00:00:00Z,2014-01-28T00:00:00Z,0,8.39,88.06
F,Fluorine,grab-nonsensor,mg/L,397,1996-01-23T00:00:00Z,2014-01-28T00:00:00Z,0.1,17.38,88.66
K,Potassium,grab-nonsensor,mg/L,436,1996-01-23T00:00:00Z,2014-01-28T00:00:00Z,0.1,19.72,88.99
Li,Lithium,grab-nonsensor,mg/L,273,1996-01-23T00:00:00Z,2013-12-10T00:00:00Z,0,22.71,88.28
Mg,Magnesium,grab-nonsensor,mg/L,436,1996-01-23T00:00:00Z,2014-01-28T00:00:00Z,0.1,19.72,88.99
Na,Sodium,grab-nonsensor,mg/L,436,1996-01-23T00:00:00Z,2014-01-28T00:00:00Z,0.1,19.72,88.99
NH4_N,Ammonium-N,grab-nonsensor,mg/L,382,1996-01-09T00:00:00Z,2013-12-10T00:00:00Z,0.1,10.21,87.7
NO2_N,Nitrite-N,grab-nonsensor,mg/L,178,1996-01-09T00:00:00Z,2014-01-07T00:00:00Z,0,0.56,86.52
NO3_N,Nitrate-N,grab-nonsensor,mg/L,493,1996-01-23T00:00:00Z,2014-01-28T00:00:00Z,0.1,14,88.44
Si,Silicon,grab-nonsensor,mg/L,436,1996-01-23T00:00:00Z,2014-01-28T00:00:00Z,0.1,19.72,88.99
SO4_S,Sulfate-S,grab-nonsensor,mg/L,436,1996-01-23T00:00:00Z,2014-01-28T00:00:00Z,0.1,19.72,88.99
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,295,1996-01-09T00:00:00Z,2014-01-28T00:00:00Z,0,25.76,90.17
