VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
Br,Bromide,grab-nonsensor,mg/L,345,1994-11-30T00:00:00Z,2013-12-16T00:00:00Z,0,0,88.99
Ca,Calcium,grab-nonsensor,mg/L,498,1993-12-20T00:00:00Z,2013-12-16T00:00:00Z,0.1,0,89.56
Cl,Chloride,grab-nonsensor,mg/L,498,1993-12-20T00:00:00Z,2013-12-16T00:00:00Z,0.1,0,89.56
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,329,1993-12-20T00:00:00Z,2013-12-16T00:00:00Z,0,0,87.54
F,Fluorine,grab-nonsensor,mg/L,184,2002-12-30T00:00:00Z,2013-12-16T00:00:00Z,0,0,87.5
K,Potassium,grab-nonsensor,mg/L,468,1993-12-20T00:00:00Z,2013-12-16T00:00:00Z,0.1,0,89.74
Li,Lithium,grab-nonsensor,mg/L,394,1994-12-15T00:00:00Z,2013-12-16T00:00:00Z,0.1,0,89.59
Mg,Magnesium,grab-nonsensor,mg/L,498,1993-12-20T00:00:00Z,2013-12-16T00:00:00Z,0.1,0,89.56
Na,Sodium,grab-nonsensor,mg/L,498,1993-12-20T00:00:00Z,2013-12-16T00:00:00Z,0.1,0,89.56
NH4_N,Ammonium-N,grab-nonsensor,mg/L,713,1993-12-03T00:00:00Z,2014-01-06T00:00:00Z,0.1,0,88.22
NO2_N,Nitrite-N,grab-nonsensor,mg/L,219,1993-12-03T00:00:00Z,2014-01-06T00:00:00Z,0,0,86.76
NO3_N,Nitrate-N,grab-nonsensor,mg/L,637,1993-12-03T00:00:00Z,2014-01-06T00:00:00Z,0.1,0,88.7
Si,Silicon,grab-nonsensor,mg/L,436,1993-12-20T00:00:00Z,2013-12-16T00:00:00Z,0.1,0,88.99
SO4_S,Sulfate-S,grab-nonsensor,mg/L,498,1993-12-20T00:00:00Z,2013-12-16T00:00:00Z,0.1,0,89.56
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,425,1993-12-03T00:00:00Z,2014-01-06T00:00:00Z,0.1,0,88
