VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,installed-sensor,L/s,146,2018-12-31T00:00:00Z,2020-02-19T00:00:00Z,0.4,63.7,0
Br,Bromide,grab-nonsensor,mg/L,364,1994-11-30T00:00:00Z,2013-01-14T00:00:00Z,0.1,0,89.01
Ca,Calcium,grab-nonsensor,mg/L,816,1993-12-14T00:00:00Z,2014-01-29T00:00:00Z,0.1,0,89.22
Cl,Chloride,grab-nonsensor,mg/L,816,1993-12-14T00:00:00Z,2014-01-29T00:00:00Z,0.1,0,89.22
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,363,1993-12-20T00:00:00Z,2013-01-14T00:00:00Z,0.1,0,86.78
F,Fluorine,grab-nonsensor,mg/L,385,1994-11-30T00:00:00Z,2014-01-29T00:00:00Z,0.1,0,87.01
K,Potassium,grab-nonsensor,mg/L,816,1993-12-14T00:00:00Z,2014-01-29T00:00:00Z,0.1,0,89.22
Li,Lithium,grab-nonsensor,mg/L,390,1994-11-30T00:00:00Z,2012-12-15T00:00:00Z,0.1,0,87.69
Mg,Magnesium,grab-nonsensor,mg/L,816,1993-12-14T00:00:00Z,2014-01-29T00:00:00Z,0.1,0,89.22
Na,Sodium,grab-nonsensor,mg/L,816,1993-12-14T00:00:00Z,2014-01-29T00:00:00Z,0.1,0,89.22
NH4_N,Ammonium-N,grab-nonsensor,mg/L,884,1993-12-03T00:00:00Z,2013-01-14T00:00:00Z,0.1,0,87.56
NO2_N,Nitrite-N,grab-nonsensor,mg/L,551,1993-12-03T00:00:00Z,2014-01-29T00:00:00Z,0.1,0,88.57
NO3_N,Nitrate-N,grab-nonsensor,mg/L,986,1993-12-03T00:00:00Z,2014-01-29T00:00:00Z,0.1,0,87.53
Si,Silicon,grab-nonsensor,mg/L,816,1993-12-14T00:00:00Z,2014-01-29T00:00:00Z,0.1,0,89.22
SO4_S,Sulfate-S,grab-nonsensor,mg/L,816,1993-12-14T00:00:00Z,2014-01-29T00:00:00Z,0.1,0,89.22
spCond,Specific Conductivity,installed-sensor,uS/cm,146,2018-12-31T00:00:00Z,2020-02-19T00:00:00Z,0.4,28.77,0
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,957,1993-12-03T00:00:00Z,2014-01-29T00:00:00Z,0.1,0,87.88
temp,Water Temperature,installed-sensor,degrees C,149,2018-12-31T00:00:00Z,2020-02-19T00:00:00Z,0.4,43.62,0
