VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,installed-sensor,L/s,1247,1990-12-04T00:00:00Z,2018-01-08T00:00:00Z,0.1,12.59,1.44
Br,Bromide,grab-nonsensor,mg/L,168,1995-01-14T00:00:00Z,2010-12-30T00:00:00Z,0,0,86.31
Ca,Calcium,grab-nonsensor,mg/L,405,1994-01-13T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,85.93
Cl,Chloride,grab-nonsensor,mg/L,405,1994-01-13T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,85.93
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,387,1990-12-22T00:00:00Z,2014-01-24T00:00:00Z,0,0,86.56
F,Fluorine,grab-nonsensor,mg/L,351,1995-12-28T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,85.47
K,Potassium,grab-nonsensor,mg/L,405,1994-01-13T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,85.93
Li,Lithium,grab-nonsensor,mg/L,374,1995-01-14T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,87.43
Mg,Magnesium,grab-nonsensor,mg/L,405,1994-01-13T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,85.93
Na,Sodium,grab-nonsensor,mg/L,405,1994-01-13T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,85.93
NH4_N,Ammonium-N,grab-nonsensor,mg/L,280,1994-01-02T00:00:00Z,2012-01-17T00:00:00Z,0,0,86.07
NO2_N,Nitrite-N,grab-nonsensor,mg/L,172,1994-01-02T00:00:00Z,2014-01-24T00:00:00Z,0,0,84.3
NO3_N,Nitrate-N,grab-nonsensor,mg/L,450,1994-01-02T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,87.33
Si,Silicon,grab-nonsensor,mg/L,405,1994-01-13T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,85.93
SO4_S,Sulfate-S,grab-nonsensor,mg/L,405,1994-01-13T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,85.93
spCond,Specific Conductivity,installed-sensor,uS/cm,738,1991-12-02T00:00:00Z,2018-01-08T00:00:00Z,0.1,10.7,4.07
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,490,1994-01-02T00:00:00Z,2014-01-24T00:00:00Z,0.1,0,86.94
temp,Water Temperature,installed-sensor,degrees C,1254,1990-12-07T00:00:00Z,2018-01-08T00:00:00Z,0.1,55.02,1.67
Br,Bromide,grab-nonsensor,mg/L,168,1995-01-14T00:00:00Z,2010-12-30T00:00:00Z,0,11.9,86.31
Ca,Calcium,grab-nonsensor,mg/L,404,1994-01-13T00:00:00Z,2014-01-24T00:00:00Z,0.1,11.14,86.14
Cl,Chloride,grab-nonsensor,mg/L,404,1994-01-13T00:00:00Z,2014-01-24T00:00:00Z,0.1,11.14,86.14
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,387,1990-12-22T00:00:00Z,2014-01-24T00:00:00Z,0,7.49,86.56
F,Fluorine,grab-nonsensor,mg/L,350,1995-12-28T00:00:00Z,2014-01-24T00:00:00Z,0.1,6,85.71
K,Potassium,grab-nonsensor,mg/L,404,1994-01-13T00:00:00Z,2014-01-24T00:00:00Z,0.1,11.14,86.14
Li,Lithium,grab-nonsensor,mg/L,373,1995-01-14T00:00:00Z,2014-01-24T00:00:00Z,0.1,8.31,87.67
Mg,Magnesium,grab-nonsensor,mg/L,404,1994-01-13T00:00:00Z,2014-01-24T00:00:00Z,0.1,11.14,86.14
Na,Sodium,grab-nonsensor,mg/L,404,1994-01-13T00:00:00Z,2014-01-24T00:00:00Z,0.1,11.14,86.14
NH4_N,Ammonium-N,grab-nonsensor,mg/L,280,1994-01-02T00:00:00Z,2012-01-17T00:00:00Z,0,23.93,86.07
NO2_N,Nitrite-N,grab-nonsensor,mg/L,172,1994-01-02T00:00:00Z,2014-01-24T00:00:00Z,0,15.12,84.3
NO3_N,Nitrate-N,grab-nonsensor,mg/L,440,1994-01-02T00:00:00Z,2014-01-24T00:00:00Z,0.1,20.68,87.5
Si,Silicon,grab-nonsensor,mg/L,404,1994-01-13T00:00:00Z,2014-01-24T00:00:00Z,0.1,11.14,86.14
SO4_S,Sulfate-S,grab-nonsensor,mg/L,404,1994-01-13T00:00:00Z,2014-01-24T00:00:00Z,0.1,11.14,86.14
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,480,1994-01-02T00:00:00Z,2014-01-24T00:00:00Z,0.1,20.83,87.08
