VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
Br,Bromide,grab-nonsensor,mg/L,116,2000-12-23T00:00:00Z,2008-01-30T00:00:00Z,0,0,88.79
Ca,Calcium,grab-nonsensor,mg/L,184,1994-01-10T00:00:00Z,2014-01-19T00:00:00Z,0,0,86.96
Cl,Chloride,grab-nonsensor,mg/L,184,1994-01-10T00:00:00Z,2014-01-19T00:00:00Z,0,0,86.96
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,61,1996-01-13T00:00:00Z,2014-01-19T00:00:00Z,0,0,77.05
F,Fluorine,grab-nonsensor,mg/L,155,2000-12-23T00:00:00Z,2014-01-19T00:00:00Z,0,0,87.1
K,Potassium,grab-nonsensor,mg/L,184,1994-01-10T00:00:00Z,2014-01-19T00:00:00Z,0,0,86.96
Li,Lithium,grab-nonsensor,mg/L,152,2000-12-23T00:00:00Z,2008-01-30T00:00:00Z,0.1,0,88.16
Mg,Magnesium,grab-nonsensor,mg/L,183,1994-01-10T00:00:00Z,2014-01-19T00:00:00Z,0,0,87.43
Na,Sodium,grab-nonsensor,mg/L,184,1994-01-10T00:00:00Z,2014-01-19T00:00:00Z,0,0,86.96
NH4_N,Ammonium-N,grab-nonsensor,mg/L,59,1996-01-09T00:00:00Z,2007-01-24T00:00:00Z,0,0,72.88
NO2_N,Nitrite-N,grab-nonsensor,mg/L,27,1995-12-28T00:00:00Z,2005-01-22T00:00:00Z,0,0,70.37
NO3_N,Nitrate-N,grab-nonsensor,mg/L,138,1995-12-28T00:00:00Z,2014-01-19T00:00:00Z,0,0,81.88
Si,Silicon,grab-nonsensor,mg/L,184,1994-01-10T00:00:00Z,2014-01-19T00:00:00Z,0,0,86.96
SO4_S,Sulfate-S,grab-nonsensor,mg/L,184,1994-01-10T00:00:00Z,2014-01-19T00:00:00Z,0,0,86.96
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,138,1995-12-28T00:00:00Z,2014-01-19T00:00:00Z,0,0,81.88
