VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
Ca,Calcium,grab-nonsensor,mg/L,80,1994-12-28T00:00:00Z,2009-12-17T00:00:00Z,0,0,80
Cl,Chloride,grab-nonsensor,mg/L,80,1994-12-28T00:00:00Z,2009-12-17T00:00:00Z,0,0,80
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,48,1994-12-28T00:00:00Z,2009-12-17T00:00:00Z,0,0,81.25
F,Fluorine,grab-nonsensor,mg/L,39,1994-12-28T00:00:00Z,2009-12-17T00:00:00Z,0,0,69.23
K,Potassium,grab-nonsensor,mg/L,80,1994-12-28T00:00:00Z,2009-12-17T00:00:00Z,0,0,80
Li,Lithium,grab-nonsensor,mg/L,36,1995-12-28T00:00:00Z,2008-01-11T00:00:00Z,0,0,75
Mg,Magnesium,grab-nonsensor,mg/L,80,1994-12-28T00:00:00Z,2009-12-17T00:00:00Z,0,0,80
Na,Sodium,grab-nonsensor,mg/L,80,1994-12-28T00:00:00Z,2009-12-17T00:00:00Z,0,0,80
NH4_N,Ammonium-N,grab-nonsensor,mg/L,50,1995-12-28T00:00:00Z,2009-12-17T00:00:00Z,0,0,84
NO2_N,Nitrite-N,grab-nonsensor,mg/L,22,1995-12-28T00:00:00Z,2003-01-25T00:00:00Z,0,0,86.36
NO3_N,Nitrate-N,grab-nonsensor,mg/L,45,1994-12-28T00:00:00Z,2009-12-17T00:00:00Z,0,0,73.33
Si,Silicon,grab-nonsensor,mg/L,80,1994-12-28T00:00:00Z,2009-12-17T00:00:00Z,0,0,80
SO4_S,Sulfate-S,grab-nonsensor,mg/L,80,1994-12-28T00:00:00Z,2009-12-17T00:00:00Z,0,0,80
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,90,1995-01-18T00:00:00Z,2009-12-17T00:00:00Z,0,0,80
