VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
Br,Bromide,grab-nonsensor,mg/L,69,2004-12-24T00:00:00Z,2010-12-26T00:00:00Z,0,0,88.41
Ca,Calcium,grab-nonsensor,mg/L,350,1994-01-11T00:00:00Z,2013-01-11T00:00:00Z,0.1,0,87.14
Cl,Chloride,grab-nonsensor,mg/L,350,1994-01-11T00:00:00Z,2013-01-11T00:00:00Z,0.1,0,87.14
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,102,1995-01-16T00:00:00Z,2011-12-23T00:00:00Z,0,0,83.33
F,Fluorine,grab-nonsensor,mg/L,226,1996-01-21T00:00:00Z,2012-12-30T00:00:00Z,0,0,88.94
K,Potassium,grab-nonsensor,mg/L,350,1994-01-11T00:00:00Z,2013-01-11T00:00:00Z,0.1,0,87.14
Li,Lithium,grab-nonsensor,mg/L,171,1996-01-11T00:00:00Z,2012-12-15T00:00:00Z,0,0,88.3
Mg,Magnesium,grab-nonsensor,mg/L,350,1994-01-11T00:00:00Z,2013-01-11T00:00:00Z,0.1,0,87.14
Na,Sodium,grab-nonsensor,mg/L,350,1994-01-11T00:00:00Z,2013-01-11T00:00:00Z,0.1,0,87.14
NH4_N,Ammonium-N,grab-nonsensor,mg/L,425,1995-12-04T00:00:00Z,2012-12-08T00:00:00Z,0.1,0,87.06
NO2_N,Nitrite-N,grab-nonsensor,mg/L,152,1994-01-11T00:00:00Z,2013-01-11T00:00:00Z,0,0,80.92
NO3_N,Nitrate-N,grab-nonsensor,mg/L,525,1994-01-11T00:00:00Z,2013-01-11T00:00:00Z,0.1,0,86.67
Si,Silicon,grab-nonsensor,mg/L,350,1994-01-11T00:00:00Z,2013-01-11T00:00:00Z,0.1,0,87.14
SO4_S,Sulfate-S,grab-nonsensor,mg/L,350,1994-01-11T00:00:00Z,2013-01-11T00:00:00Z,0.1,0,87.14
SRP,Soluble Reactive Phosphorus,grab-nonsensor,mg/L,280,1994-01-11T00:00:00Z,2013-01-11T00:00:00Z,0,0,86.07
