VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,installed-sensor,L/s,10958,1981-07-16T00:00:00Z,2020-09-30T00:00:00Z,0.8,5.32,0.09
precipitation,Basin Precip,installed-sensor,mm,21712,1952-10-01T00:00:00Z,2019-12-31T00:00:00Z,0.9,7.12,14.13
ANC,Acid Neutralizing Capacity,grab-nonsensor,eq/L,9712,1982-02-12T00:00:00Z,2018-10-04T00:00:00Z,0.7,0,90.01
anionCharge,TOTAL Anion Charge,grab-nonsensor,ueq/L,7598,1991-03-02T00:00:00Z,2018-10-04T00:00:00Z,0.8,0,89.87
Ca,Calcium,grab-nonsensor,mg/L,9920,1982-02-12T00:00:00Z,2018-10-04T00:00:00Z,0.7,0,90.15
cationCharge,TOTAL Cation Charge,grab-nonsensor,ueq/L,7667,1991-02-02T00:00:00Z,2018-10-04T00:00:00Z,0.8,0,89.9
Cl,Chloride,grab-nonsensor,mg/L,9913,1982-02-12T00:00:00Z,2018-10-04T00:00:00Z,0.7,0,90.16
d18O,Delta 18 Oxygen,grab-nonsensor,ppt,3822,1998-06-12T00:00:00Z,2017-06-30T00:00:00Z,0.5,0,89.38
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,4681,1998-05-29T00:00:00Z,2018-10-04T00:00:00Z,0.6,0,89.45
DOP,Dissolved Organic Phosphorus,grab-nonsensor,mg/L,3811,1997-01-31T00:00:00Z,2018-09-07T00:00:00Z,0.5,0,90.4
H,Hydrogen,grab-nonsensor,mg/L,9617,1982-02-12T00:00:00Z,2018-10-04T00:00:00Z,0.7,0,90.25
ionBalance,Ion Balance,grab-nonsensor,ueq/L,7598,1991-03-02T00:00:00Z,2018-10-04T00:00:00Z,0.8,0,89.87
K,Potassium,grab-nonsensor,mg/L,10038,1982-02-12T00:00:00Z,2018-10-04T00:00:00Z,0.8,0,90.19
Mg,Magnesium,grab-nonsensor,mg/L,10038,1982-02-12T00:00:00Z,2018-10-04T00:00:00Z,0.8,0,90.19
Na,Sodium,grab-nonsensor,mg/L,10038,1982-02-12T00:00:00Z,2018-10-04T00:00:00Z,0.8,0,90.19
NH4_N,Ammonium-N,grab-nonsensor,mg/L,6115,1993-01-30T00:00:00Z,2018-10-04T00:00:00Z,0.7,0,90.66
NO3_N,Nitrate-N,grab-nonsensor,mg/L,9191,1985-03-29T00:00:00Z,2018-10-04T00:00:00Z,0.8,0,90.19
pH,pH,grab-nonsensor,unitless,9617,1982-02-12T00:00:00Z,2018-10-04T00:00:00Z,0.7,0,90.25
