VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
ANC,Acid Neutralizing Capacity,grab-nonsensor,eq/L,4980,1984-06-01T00:00:00Z,2004-11-12T00:00:00Z,0.7,0,89.28
anionCharge,TOTAL Anion Charge,grab-nonsensor,ueq/L,3032,1991-06-01T00:00:00Z,2004-11-12T00:00:00Z,0.6,0,89.05
Ca,Calcium,grab-nonsensor,mg/L,5186,1984-06-01T00:00:00Z,2004-11-12T00:00:00Z,0.7,0,89.43
cationCharge,TOTAL Cation Charge,grab-nonsensor,ueq/L,3018,1991-05-25T00:00:00Z,2004-11-12T00:00:00Z,0.6,0,88.93
Cl,Chloride,grab-nonsensor,mg/L,5186,1984-06-01T00:00:00Z,2004-11-12T00:00:00Z,0.7,0,89.43
d18O,Delta 18 Oxygen,grab-nonsensor,ppt,856,2000-04-19T00:00:00Z,2004-11-12T00:00:00Z,0.5,0,88.79
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,1092,1998-05-29T00:00:00Z,2004-11-12T00:00:00Z,0.5,0,87.36
DOP,Dissolved Organic Phosphorus,grab-nonsensor,mg/L,1306,1998-02-13T00:00:00Z,2004-10-22T00:00:00Z,0.5,0,89.89
H,Hydrogen,grab-nonsensor,mg/L,4878,1985-05-10T00:00:00Z,2004-11-12T00:00:00Z,0.7,0,89.3
ionBalance,Ion Balance,grab-nonsensor,ueq/L,3004,1991-06-01T00:00:00Z,2004-11-12T00:00:00Z,0.6,0,89.01
K,Potassium,grab-nonsensor,mg/L,5186,1984-06-01T00:00:00Z,2004-11-12T00:00:00Z,0.7,0,89.43
Mg,Magnesium,grab-nonsensor,mg/L,5186,1984-06-01T00:00:00Z,2004-11-12T00:00:00Z,0.7,0,89.43
Na,Sodium,grab-nonsensor,mg/L,5018,1984-06-01T00:00:00Z,2004-11-12T00:00:00Z,0.7,0,89.32
NH4_N,Ammonium-N,grab-nonsensor,mg/L,2250,1993-07-30T00:00:00Z,2004-09-10T00:00:00Z,0.6,0,88.98
NO3_N,Nitrate-N,grab-nonsensor,mg/L,4878,1985-05-10T00:00:00Z,2004-11-12T00:00:00Z,0.7,0,89.26
pH,pH,grab-nonsensor,unitless,4878,1985-05-10T00:00:00Z,2004-11-12T00:00:00Z,0.7,0,89.3
PO4_P,Phosphate-P,grab-nonsensor,mg/L,2,1999-09-08T00:00:00Z,1999-09-08T00:00:00Z,Inf,0,0
POC,Particulate Organic Carbon,grab-nonsensor,mg/L,646,2002-05-11T00:00:00Z,2004-05-28T00:00:00Z,0.9,0,89.16
Si,Silicon,grab-nonsensor,mg/L,4670,1984-06-01T00:00:00Z,2004-11-12T00:00:00Z,0.6,0,88.95
SO4_S,Sulfate-S,grab-nonsensor,mg/L,5186,1984-06-01T00:00:00Z,2004-11-12T00:00:00Z,0.7,0,89.47
spCond,Specific Conductivity,grab-nonsensor,uS/cm,5186,1984-06-01T00:00:00Z,2004-11-12T00:00:00Z,0.7,0,89.43
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,2012,1996-05-17T00:00:00Z,2004-11-12T00:00:00Z,0.6,0,89.17
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,1588,1996-05-17T00:00:00Z,2004-10-22T00:00:00Z,0.5,0,90.3
TIN,Total Inorganic Nitrogen,grab-nonsensor,mg/L,2492,1994-05-27T00:00:00Z,2004-11-12T00:00:00Z,0.7,0,88.6
TIP,Total Inorganic Phosphorus,grab-nonsensor,mg/L,2,1999-09-08T00:00:00Z,1999-09-08T00:00:00Z,Inf,0,0
TN,Total Nitrogen,grab-nonsensor,mg/L,1466,1996-05-17T00:00:00Z,2004-11-12T00:00:00Z,0.5,0,88.68
TOC,Total Organic Carbon,grab-nonsensor,mg/L,710,2002-05-11T00:00:00Z,2004-05-28T00:00:00Z,0.9,0,87.32
TP,Total Phosphorus,grab-nonsensor,mg/L,1862,1996-05-17T00:00:00Z,2004-11-12T00:00:00Z,0.6,0,88.72
TPN,Total Particulate Nitrogen,grab-nonsensor,mg/L,1288,1996-05-17T00:00:00Z,2004-11-12T00:00:00Z,0.4,0,88.51
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,1804,1996-05-17T00:00:00Z,2004-11-12T00:00:00Z,0.6,0,89.02
