VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
ANC,Acid Neutralizing Capacity,grab-nonsensor,eq/L,1707,2005-06-17T00:00:00Z,2017-04-12T00:00:00Z,0.4,0,87.23
anionCharge,TOTAL Anion Charge,grab-nonsensor,ueq/L,1707,2005-06-17T00:00:00Z,2017-04-12T00:00:00Z,0.4,0,87.23
Ca,Calcium,grab-nonsensor,mg/L,1707,2005-06-17T00:00:00Z,2017-04-12T00:00:00Z,0.4,0,87.23
cationCharge,TOTAL Cation Charge,grab-nonsensor,ueq/L,1707,2005-06-17T00:00:00Z,2017-04-12T00:00:00Z,0.4,0,87.23
Cl,Chloride,grab-nonsensor,mg/L,1707,2005-06-17T00:00:00Z,2017-04-12T00:00:00Z,0.4,0,87.23
d18O,Delta 18 Oxygen,grab-nonsensor,ppt,1699,2005-06-17T00:00:00Z,2016-06-17T00:00:00Z,0.4,0,87.29
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,1707,2005-06-17T00:00:00Z,2017-04-12T00:00:00Z,0.4,0,87.23
DOP,Dissolved Organic Phosphorus,grab-nonsensor,mg/L,1088,2005-06-17T00:00:00Z,2016-06-17T00:00:00Z,0.3,0,88.51
H,Hydrogen,grab-nonsensor,mg/L,1707,2005-06-17T00:00:00Z,2017-04-12T00:00:00Z,0.4,0,87.23
ionBalance,Ion Balance,grab-nonsensor,ueq/L,1707,2005-06-17T00:00:00Z,2017-04-12T00:00:00Z,0.4,0,87.23
K,Potassium,grab-nonsensor,mg/L,1707,2005-06-17T00:00:00Z,2017-04-12T00:00:00Z,0.4,0,87.23
Mg,Magnesium,grab-nonsensor,mg/L,1509,2005-06-17T00:00:00Z,2017-04-12T00:00:00Z,0.3,0,87.41
Na,Sodium,grab-nonsensor,mg/L,1509,2005-06-17T00:00:00Z,2017-04-12T00:00:00Z,0.3,0,87.41
NH4_N,Ammonium-N,grab-nonsensor,mg/L,1138,2005-07-01T00:00:00Z,2017-04-12T00:00:00Z,0.3,0,88.4
NO3_N,Nitrate-N,grab-nonsensor,mg/L,1666,2005-06-17T00:00:00Z,2017-04-12T00:00:00Z,0.4,0,87.39
pH,pH,grab-nonsensor,unitless,1707,2005-06-17T00:00:00Z,2017-04-12T00:00:00Z,0.4,0,87.23
PO4_P,Phosphate-P,grab-nonsensor,mg/L,922,2005-06-24T00:00:00Z,2017-04-12T00:00:00Z,0.2,0,87.31
Si,Silicon,grab-nonsensor,mg/L,1707,2005-06-17T00:00:00Z,2017-04-12T00:00:00Z,0.4,0,87.23
SO4_S,Sulfate-S,grab-nonsensor,mg/L,1707,2005-06-17T00:00:00Z,2017-04-12T00:00:00Z,0.4,0,87.23
spCond,Specific Conductivity,grab-nonsensor,uS/cm,1707,2005-06-17T00:00:00Z,2017-04-12T00:00:00Z,0.4,0,87.23
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,1707,2005-06-17T00:00:00Z,2017-04-12T00:00:00Z,0.4,0,87.23
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,1342,2005-06-17T00:00:00Z,2017-04-12T00:00:00Z,0.3,0,89.2
TIN,Total Inorganic Nitrogen,grab-nonsensor,mg/L,1652,2005-06-17T00:00:00Z,2017-04-12T00:00:00Z,0.4,0,87.23
TIP,Total Inorganic Phosphorus,grab-nonsensor,mg/L,915,2005-06-24T00:00:00Z,2017-04-12T00:00:00Z,0.2,0,87.32
TN,Total Nitrogen,grab-nonsensor,mg/L,537,2005-06-17T00:00:00Z,2008-11-20T00:00:00Z,0.4,0,87.34
TP,Total Phosphorus,grab-nonsensor,mg/L,482,2005-06-17T00:00:00Z,2008-11-20T00:00:00Z,0.4,0,89.42
TPN,Total Particulate Nitrogen,grab-nonsensor,mg/L,452,2005-06-17T00:00:00Z,2008-11-20T00:00:00Z,0.4,0,89.16
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,482,2005-06-17T00:00:00Z,2008-11-20T00:00:00Z,0.4,0,89.42
