VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,installed-sensor,L/s,4875,1982-07-06T00:00:00Z,2019-10-07T00:00:00Z,0.4,0,0.1
precipitation,Basin Precip,installed-sensor,mm,21712,1952-10-01T00:00:00Z,2019-12-31T00:00:00Z,0.9,7.12,14.13
ANC,Acid Neutralizing Capacity,grab-nonsensor,eq/L,4134,1984-05-25T00:00:00Z,2018-08-17T00:00:00Z,0.3,0,86.26
anionCharge,TOTAL Anion Charge,grab-nonsensor,ueq/L,3335,1991-05-11T00:00:00Z,2018-08-17T00:00:00Z,0.3,0,85.76
Ca,Calcium,grab-nonsensor,mg/L,4148,1984-05-25T00:00:00Z,2018-08-17T00:00:00Z,0.3,0,86.28
cationCharge,TOTAL Cation Charge,grab-nonsensor,ueq/L,3336,1991-05-11T00:00:00Z,2018-08-17T00:00:00Z,0.3,0,85.73
Cl,Chloride,grab-nonsensor,mg/L,4107,1984-05-25T00:00:00Z,2018-08-17T00:00:00Z,0.3,0,86.19
d18O,Delta 18 Oxygen,grab-nonsensor,ppt,1928,1998-06-12T00:00:00Z,2017-06-30T00:00:00Z,0.3,0,85.68
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,2174,1998-06-05T00:00:00Z,2018-08-17T00:00:00Z,0.3,0,85.51
DOP,Dissolved Organic Phosphorus,grab-nonsensor,mg/L,1430,1997-05-13T00:00:00Z,2018-08-17T00:00:00Z,0.2,0,87.41
H,Hydrogen,grab-nonsensor,mg/L,3908,1986-05-23T00:00:00Z,2018-08-17T00:00:00Z,0.3,0,86.39
ionBalance,Ion Balance,grab-nonsensor,ueq/L,3321,1991-05-11T00:00:00Z,2018-08-17T00:00:00Z,0.3,0,85.73
K,Potassium,grab-nonsensor,mg/L,4163,1984-05-25T00:00:00Z,2018-08-17T00:00:00Z,0.3,0,86.28
Mg,Magnesium,grab-nonsensor,mg/L,4163,1984-05-25T00:00:00Z,2018-08-17T00:00:00Z,0.3,0,86.31
Na,Sodium,grab-nonsensor,mg/L,4135,1984-05-25T00:00:00Z,2018-08-17T00:00:00Z,0.3,0,86.24
NH4_N,Ammonium-N,grab-nonsensor,mg/L,2307,1993-05-14T00:00:00Z,2018-08-17T00:00:00Z,0.3,0,87.43
NO3_N,Nitrate-N,grab-nonsensor,mg/L,4148,1984-05-25T00:00:00Z,2018-08-17T00:00:00Z,0.3,0,86.28
pH,pH,grab-nonsensor,unitless,3908,1986-05-23T00:00:00Z,2018-08-17T00:00:00Z,0.3,0,86.39
PO4_P,Phosphate-P,grab-nonsensor,mg/L,1043,1997-05-30T00:00:00Z,2018-08-17T00:00:00Z,0.1,0,87.82
POC,Particulate Organic Carbon,grab-nonsensor,mg/L,99,2002-05-31T00:00:00Z,2004-05-21T00:00:00Z,0.1,0,83.84
Si,Silicon,grab-nonsensor,mg/L,4148,1984-05-25T00:00:00Z,2018-08-17T00:00:00Z,0.3,0,86.28
SO4_S,Sulfate-S,grab-nonsensor,mg/L,4148,1984-05-25T00:00:00Z,2018-08-17T00:00:00Z,0.3,0,86.28
spCond,Specific Conductivity,grab-nonsensor,uS/cm,4163,1984-05-25T00:00:00Z,2018-08-17T00:00:00Z,0.3,0,86.28
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,2822,1995-05-17T00:00:00Z,2018-08-17T00:00:00Z,0.3,0,85.86
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,1772,1995-05-17T00:00:00Z,2018-08-17T00:00:00Z,0.2,0,87.08
TIN,Total Inorganic Nitrogen,grab-nonsensor,mg/L,2955,1994-05-07T00:00:00Z,2018-08-17T00:00:00Z,0.3,0,85.79
TIP,Total Inorganic Phosphorus,grab-nonsensor,mg/L,881,1997-05-30T00:00:00Z,2018-08-17T00:00:00Z,0.1,0,87.4
TN,Total Nitrogen,grab-nonsensor,mg/L,1485,1995-05-17T00:00:00Z,2008-10-04T00:00:00Z,0.3,0,85.19
TOC,Total Organic Carbon,grab-nonsensor,mg/L,235,2002-05-07T00:00:00Z,2004-05-28T00:00:00Z,0.3,0,84.26
TP,Total Phosphorus,grab-nonsensor,mg/L,1530,1995-05-17T00:00:00Z,2008-10-04T00:00:00Z,0.3,0,87.58
TPN,Total Particulate Nitrogen,grab-nonsensor,mg/L,1319,1995-05-17T00:00:00Z,2008-10-04T00:00:00Z,0.3,0,88.7
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,1394,1995-05-17T00:00:00Z,2011-09-21T00:00:00Z,0.2,0,88.74
Ca,Calcium,grab-nonsensor,mg/L,4049,1984-05-25T00:00:00Z,2018-08-16T00:00:00Z,0.3,0,86.44
Cl,Chloride,grab-nonsensor,mg/L,4008,1984-05-25T00:00:00Z,2018-08-16T00:00:00Z,0.3,0,86.35
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,2156,1998-06-05T00:00:00Z,2018-08-16T00:00:00Z,0.3,0,85.67
DOP,Dissolved Organic Phosphorus,grab-nonsensor,mg/L,1392,1997-05-13T00:00:00Z,2018-08-16T00:00:00Z,0.2,0,87.64
H,Hydrogen,grab-nonsensor,mg/L,3818,1986-05-23T00:00:00Z,2018-08-16T00:00:00Z,0.3,0,86.54
K,Potassium,grab-nonsensor,mg/L,4064,1984-05-25T00:00:00Z,2018-08-16T00:00:00Z,0.3,0,86.44
Mg,Magnesium,grab-nonsensor,mg/L,4064,1984-05-25T00:00:00Z,2018-08-16T00:00:00Z,0.3,0,86.47
Na,Sodium,grab-nonsensor,mg/L,4036,1984-05-25T00:00:00Z,2018-08-16T00:00:00Z,0.3,0,86.4
NH4_N,Ammonium-N,grab-nonsensor,mg/L,2256,1993-05-14T00:00:00Z,2018-08-16T00:00:00Z,0.2,0,87.63
NO3_N,Nitrate-N,grab-nonsensor,mg/L,4049,1984-05-25T00:00:00Z,2018-08-16T00:00:00Z,0.3,0,86.44
PO4_P,Phosphate-P,grab-nonsensor,mg/L,1042,1997-05-30T00:00:00Z,2018-08-16T00:00:00Z,0.1,0,87.91
POC,Particulate Organic Carbon,grab-nonsensor,mg/L,98,2002-05-31T00:00:00Z,2004-05-21T00:00:00Z,0.1,0,84.69
Si,Silicon,grab-nonsensor,mg/L,4049,1984-05-25T00:00:00Z,2018-08-16T00:00:00Z,0.3,0,86.44
SO4_S,Sulfate-S,grab-nonsensor,mg/L,4049,1984-05-25T00:00:00Z,2018-08-16T00:00:00Z,0.3,0,86.44
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,2756,1995-05-17T00:00:00Z,2018-08-16T00:00:00Z,0.3,0,86.03
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,1734,1995-05-17T00:00:00Z,2018-08-16T00:00:00Z,0.2,0,87.25
TIN,Total Inorganic Nitrogen,grab-nonsensor,mg/L,2889,1994-05-07T00:00:00Z,2018-08-16T00:00:00Z,0.3,0,85.95
TIP,Total Inorganic Phosphorus,grab-nonsensor,mg/L,880,1997-05-30T00:00:00Z,2018-08-16T00:00:00Z,0.1,0,87.5
TN,Total Nitrogen,grab-nonsensor,mg/L,1446,1995-05-17T00:00:00Z,2008-10-04T00:00:00Z,0.3,0,85.34
TOC,Total Organic Carbon,grab-nonsensor,mg/L,227,2002-05-07T00:00:00Z,2004-05-28T00:00:00Z,0.3,0,84.14
TP,Total Phosphorus,grab-nonsensor,mg/L,1473,1995-05-17T00:00:00Z,2008-10-04T00:00:00Z,0.3,0,87.78
TPN,Total Particulate Nitrogen,grab-nonsensor,mg/L,1294,1995-05-17T00:00:00Z,2008-10-04T00:00:00Z,0.3,0,88.95
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,1367,1995-05-17T00:00:00Z,2011-09-21T00:00:00Z,0.2,0,89.1
