VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,installed-sensor,L/s,3023,1999-04-29T00:00:00Z,2020-09-24T00:00:00Z,0.4,3.67,2.05
precipitation,Basin Precip,installed-sensor,mm,21712,1952-10-01T00:00:00Z,2019-12-31T00:00:00Z,0.9,7.12,14.13
ANC,Acid Neutralizing Capacity,grab-nonsensor,eq/L,2445,1994-05-27T00:00:00Z,2018-07-25T00:00:00Z,0.3,0,85.6
anionCharge,TOTAL Anion Charge,grab-nonsensor,ueq/L,2445,1994-05-27T00:00:00Z,2018-07-25T00:00:00Z,0.3,0,85.6
Ca,Calcium,grab-nonsensor,mg/L,2445,1994-05-27T00:00:00Z,2018-07-25T00:00:00Z,0.3,0,85.52
cationCharge,TOTAL Cation Charge,grab-nonsensor,ueq/L,2445,1994-05-27T00:00:00Z,2018-07-25T00:00:00Z,0.3,0,85.56
Cl,Chloride,grab-nonsensor,mg/L,2445,1994-05-27T00:00:00Z,2018-07-25T00:00:00Z,0.3,0,85.56
d18O,Delta 18 Oxygen,grab-nonsensor,ppt,1360,2002-05-07T00:00:00Z,2017-06-30T00:00:00Z,0.2,0,85.96
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,1926,1998-06-12T00:00:00Z,2018-07-25T00:00:00Z,0.3,0,86.24
DOP,Dissolved Organic Phosphorus,grab-nonsensor,mg/L,1502,1998-05-29T00:00:00Z,2018-07-04T00:00:00Z,0.2,0,87.88
H,Hydrogen,grab-nonsensor,mg/L,2445,1994-05-27T00:00:00Z,2018-07-25T00:00:00Z,0.3,0,85.56
ionBalance,Ion Balance,grab-nonsensor,ueq/L,2445,1994-05-27T00:00:00Z,2018-07-25T00:00:00Z,0.3,0,85.6
K,Potassium,grab-nonsensor,mg/L,2445,1994-05-27T00:00:00Z,2018-07-25T00:00:00Z,0.3,0,85.52
Mg,Magnesium,grab-nonsensor,mg/L,2353,1994-05-27T00:00:00Z,2018-07-25T00:00:00Z,0.3,0,85.51
Na,Sodium,grab-nonsensor,mg/L,2353,1994-05-27T00:00:00Z,2018-07-25T00:00:00Z,0.3,0,85.51
NH4_N,Ammonium-N,grab-nonsensor,mg/L,1459,1994-06-03T00:00:00Z,2018-07-25T00:00:00Z,0.2,0,87.53
NO3_N,Nitrate-N,grab-nonsensor,mg/L,2062,1994-05-27T00:00:00Z,2018-07-25T00:00:00Z,0.2,0,86.28
pH,pH,grab-nonsensor,unitless,2445,1994-05-27T00:00:00Z,2018-07-25T00:00:00Z,0.3,0,85.6
PO4_P,Phosphate-P,grab-nonsensor,mg/L,848,1999-04-21T00:00:00Z,2018-07-25T00:00:00Z,0.1,0,86.56
POC,Particulate Organic Carbon,grab-nonsensor,mg/L,99,2002-05-07T00:00:00Z,2004-05-21T00:00:00Z,0.1,0,84.85
Si,Silicon,grab-nonsensor,mg/L,2445,1994-05-27T00:00:00Z,2018-07-25T00:00:00Z,0.3,0,85.52
SO4_S,Sulfate-S,grab-nonsensor,mg/L,2445,1994-05-27T00:00:00Z,2018-07-25T00:00:00Z,0.3,0,85.52
spCond,Specific Conductivity,grab-nonsensor,uS/cm,2445,1994-05-27T00:00:00Z,2018-07-25T00:00:00Z,0.3,0,85.52
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,2176,1996-05-24T00:00:00Z,2018-07-25T00:00:00Z,0.3,0,85.52
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,1772,1996-05-24T00:00:00Z,2018-07-25T00:00:00Z,0.2,0,87.7
TIN,Total Inorganic Nitrogen,grab-nonsensor,mg/L,2328,1994-05-27T00:00:00Z,2018-07-25T00:00:00Z,0.3,0,86.68
TIP,Total Inorganic Phosphorus,grab-nonsensor,mg/L,848,1999-04-21T00:00:00Z,2018-07-25T00:00:00Z,0.1,0,86.56
TN,Total Nitrogen,grab-nonsensor,mg/L,1097,1996-05-24T00:00:00Z,2008-09-19T00:00:00Z,0.2,0,85.69
TOC,Total Organic Carbon,grab-nonsensor,mg/L,144,2002-05-07T00:00:00Z,2004-05-28T00:00:00Z,0.2,0,84.03
TP,Total Phosphorus,grab-nonsensor,mg/L,1237,1996-05-24T00:00:00Z,2008-09-19T00:00:00Z,0.3,0,87.07
TPN,Total Particulate Nitrogen,grab-nonsensor,mg/L,1069,1996-05-24T00:00:00Z,2008-09-19T00:00:00Z,0.2,0,88.21
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,1202,1996-05-31T00:00:00Z,2008-09-19T00:00:00Z,0.3,0,88.77
Ca,Calcium,grab-nonsensor,mg/L,1925,1999-04-29T00:00:00Z,2018-07-25T00:00:00Z,0.3,4.21,85.56
