VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
ANC,Acid Neutralizing Capacity,grab-nonsensor,eq/L,2160,1994-05-19T00:00:00Z,2018-06-21T00:00:00Z,0.2,0,80.74
anionCharge,TOTAL Anion Charge,grab-nonsensor,ueq/L,2160,1994-05-19T00:00:00Z,2018-06-21T00:00:00Z,0.2,0,80.74
Ca,Calcium,grab-nonsensor,mg/L,2192,1994-05-18T00:00:00Z,2018-06-21T00:00:00Z,0.2,0,80.57
cationCharge,TOTAL Cation Charge,grab-nonsensor,ueq/L,2190,1994-05-19T00:00:00Z,2018-06-21T00:00:00Z,0.2,0,80.64
Cl,Chloride,grab-nonsensor,mg/L,2192,1994-05-18T00:00:00Z,2018-06-21T00:00:00Z,0.2,0,80.57
d18O,Delta 18 Oxygen,grab-nonsensor,ppt,1380,2000-05-23T00:00:00Z,2017-06-28T00:00:00Z,0.2,0,80.29
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,1516,2000-05-23T00:00:00Z,2018-06-21T00:00:00Z,0.2,0,81.27
DOP,Dissolved Organic Phosphorus,grab-nonsensor,mg/L,1816,1997-05-22T00:00:00Z,2018-06-21T00:00:00Z,0.2,0,82.05
H,Hydrogen,grab-nonsensor,mg/L,2192,1994-05-18T00:00:00Z,2018-06-21T00:00:00Z,0.2,0,80.57
ionBalance,Ion Balance,grab-nonsensor,ueq/L,2160,1994-05-19T00:00:00Z,2018-06-21T00:00:00Z,0.2,0,80.74
K,Potassium,grab-nonsensor,mg/L,2192,1994-05-18T00:00:00Z,2018-06-21T00:00:00Z,0.2,0,80.57
Mg,Magnesium,grab-nonsensor,mg/L,2192,1994-05-18T00:00:00Z,2018-06-21T00:00:00Z,0.2,0,80.57
Na,Sodium,grab-nonsensor,mg/L,2192,1994-05-18T00:00:00Z,2018-06-21T00:00:00Z,0.2,0,80.57
NH4_N,Ammonium-N,grab-nonsensor,mg/L,1530,1994-05-18T00:00:00Z,2018-06-21T00:00:00Z,0.2,0,82.61
NO3_N,Nitrate-N,grab-nonsensor,mg/L,1826,1994-05-18T00:00:00Z,2018-06-21T00:00:00Z,0.2,0,81.16
pH,pH,grab-nonsensor,unitless,2192,1994-05-18T00:00:00Z,2018-06-21T00:00:00Z,0.2,0,80.57
PO4_P,Phosphate-P,grab-nonsensor,mg/L,1072,1997-06-19T00:00:00Z,2018-06-21T00:00:00Z,0.1,0,82.28
POC,Particulate Organic Carbon,grab-nonsensor,mg/L,50,2003-05-28T00:00:00Z,2004-05-28T00:00:00Z,0.1,0,72
Si,Silicon,grab-nonsensor,mg/L,2192,1994-05-18T00:00:00Z,2018-06-21T00:00:00Z,0.2,0,80.66
SO4_S,Sulfate-S,grab-nonsensor,mg/L,2192,1994-05-18T00:00:00Z,2018-06-21T00:00:00Z,0.2,0,80.57
spCond,Specific Conductivity,grab-nonsensor,uS/cm,2192,1994-05-18T00:00:00Z,2018-06-21T00:00:00Z,0.2,0,80.57
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,2036,1995-06-28T00:00:00Z,2018-06-21T00:00:00Z,0.2,0,81.14
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,2020,1995-07-07T00:00:00Z,2018-06-21T00:00:00Z,0.2,0,81.68
TIN,Total Inorganic Nitrogen,grab-nonsensor,mg/L,1926,1995-06-28T00:00:00Z,2018-06-21T00:00:00Z,0.2,0,81.41
TIP,Total Inorganic Phosphorus,grab-nonsensor,mg/L,1072,1997-06-19T00:00:00Z,2018-06-21T00:00:00Z,0.1,0,82.28
TN,Total Nitrogen,grab-nonsensor,mg/L,1202,1995-06-28T00:00:00Z,2008-07-25T00:00:00Z,0.3,0,80.03
TOC,Total Organic Carbon,grab-nonsensor,mg/L,144,2003-05-28T00:00:00Z,2004-05-28T00:00:00Z,0.4,0,76.39
TP,Total Phosphorus,grab-nonsensor,mg/L,1316,1995-06-28T00:00:00Z,2008-07-25T00:00:00Z,0.3,0,80.85
TPN,Total Particulate Nitrogen,grab-nonsensor,mg/L,1122,1995-06-28T00:00:00Z,2008-07-25T00:00:00Z,0.2,0,85.2
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,1268,1995-06-28T00:00:00Z,2008-07-25T00:00:00Z,0.3,0,85.02
