VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
ANC,Acid Neutralizing Capacity,grab-nonsensor,eq/L,748,1999-06-05T00:00:00Z,2013-10-16T00:00:00Z,0.1,0,78.21
anionCharge,TOTAL Anion Charge,grab-nonsensor,ueq/L,748,1999-06-05T00:00:00Z,2013-10-16T00:00:00Z,0.1,0,78.21
Ca,Calcium,grab-nonsensor,mg/L,748,1999-06-05T00:00:00Z,2013-10-16T00:00:00Z,0.1,0,78.21
cationCharge,TOTAL Cation Charge,grab-nonsensor,ueq/L,744,1999-06-05T00:00:00Z,2013-10-16T00:00:00Z,0.1,0,78.23
Cl,Chloride,grab-nonsensor,mg/L,748,1999-06-05T00:00:00Z,2013-10-16T00:00:00Z,0.1,0,78.21
d18O,Delta 18 Oxygen,grab-nonsensor,ppt,659,2000-05-18T00:00:00Z,2013-10-16T00:00:00Z,0.1,0,78.3
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,717,2000-05-18T00:00:00Z,2013-10-16T00:00:00Z,0.1,0,77.96
DOP,Dissolved Organic Phosphorus,grab-nonsensor,mg/L,619,1999-06-05T00:00:00Z,2013-06-25T00:00:00Z,0.1,0,82.07
H,Hydrogen,grab-nonsensor,mg/L,748,1999-06-05T00:00:00Z,2013-10-16T00:00:00Z,0.1,0,78.21
ionBalance,Ion Balance,grab-nonsensor,ueq/L,744,1999-06-05T00:00:00Z,2013-10-16T00:00:00Z,0.1,0,78.23
K,Potassium,grab-nonsensor,mg/L,744,1999-06-05T00:00:00Z,2013-10-16T00:00:00Z,0.1,0,78.23
Mg,Magnesium,grab-nonsensor,mg/L,744,1999-06-05T00:00:00Z,2013-10-16T00:00:00Z,0.1,0,78.23
Na,Sodium,grab-nonsensor,mg/L,748,1999-06-05T00:00:00Z,2013-10-16T00:00:00Z,0.1,0,78.21
NH4_N,Ammonium-N,grab-nonsensor,mg/L,344,1999-06-05T00:00:00Z,2013-10-16T00:00:00Z,0.1,0,81.98
NO3_N,Nitrate-N,grab-nonsensor,mg/L,200,1999-06-05T00:00:00Z,2013-06-18T00:00:00Z,0,0,77
pH,pH,grab-nonsensor,unitless,748,1999-06-05T00:00:00Z,2013-10-16T00:00:00Z,0.1,0,78.21
PO4_P,Phosphate-P,grab-nonsensor,mg/L,338,2005-05-25T00:00:00Z,2013-10-16T00:00:00Z,0.1,0,82.25
POC,Particulate Organic Carbon,grab-nonsensor,mg/L,2,2003-06-04T00:00:00Z,2004-05-26T00:00:00Z,0,0,0
Si,Silicon,grab-nonsensor,mg/L,744,1999-06-05T00:00:00Z,2013-10-16T00:00:00Z,0.1,0,78.23
SO4_S,Sulfate-S,grab-nonsensor,mg/L,748,1999-06-05T00:00:00Z,2013-10-16T00:00:00Z,0.1,0,78.21
spCond,Specific Conductivity,grab-nonsensor,uS/cm,748,1999-06-05T00:00:00Z,2013-10-16T00:00:00Z,0.1,0,78.21
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,708,1999-06-05T00:00:00Z,2013-10-16T00:00:00Z,0.1,0,77.68
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,627,1999-06-05T00:00:00Z,2013-09-18T00:00:00Z,0.1,0,80.7
TIN,Total Inorganic Nitrogen,grab-nonsensor,mg/L,417,1999-06-05T00:00:00Z,2013-10-16T00:00:00Z,0.1,0,80.82
TIP,Total Inorganic Phosphorus,grab-nonsensor,mg/L,338,2005-05-25T00:00:00Z,2013-10-16T00:00:00Z,0.1,0,82.25
TN,Total Nitrogen,grab-nonsensor,mg/L,422,1999-06-05T00:00:00Z,2008-07-30T00:00:00Z,0.1,0,76.78
TOC,Total Organic Carbon,grab-nonsensor,mg/L,75,2003-06-03T00:00:00Z,2004-05-28T00:00:00Z,0.2,0,77.33
TP,Total Phosphorus,grab-nonsensor,mg/L,445,1999-06-05T00:00:00Z,2008-07-25T00:00:00Z,0.1,0,78.65
TPN,Total Particulate Nitrogen,grab-nonsensor,mg/L,402,1999-06-11T00:00:00Z,2008-07-16T00:00:00Z,0.1,0,83.58
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,437,1999-06-05T00:00:00Z,2008-07-19T00:00:00Z,0.1,0,83.07
